timestamp,cycle_id,chain_version,pg_basebackup_s,mongo_basebackup_s,pg_wal_extract_s,pg_wal_compress_s,mongo_oplog_extract_s,mongo_oplog_compress_s,unstructured_chunk_s,unstructured_delta_compress_s,verify_s,retention_s,transfer_s,total_cycle_s,pg_wal_raw_bytes,pg_basebackup_raw_bytes,mongo_oplog_raw_bytes,mongo_basebackup_raw_bytes,unstructured_raw_bytes,pg_wal_stored_bytes,mongo_oplog_stored_bytes,unstructured_stored_bytes,cycle_total_stored_bytes,wal_file_count,pfc_chunk_count,pg_raw_size,pg_compressed_size,mongo_raw_size,mongo_compressed_size,unstr_raw_size,unstr_compressed_size,cycle_raw_total_size,cycle_final_transfered_size,unstr_base_s,unstr_base_size
2026-06-20T01:59:27+07:00,20260620_015817,chain-v1,7.413,0.404,0.443,0.0,1.678,0.026,13.715,0.0,4.983,0.008,15.825,70.02,83886418,3352764,1162214,18677,1060364381,2093724,40167,396137029,796133422,6,1046,3352764,3352764,1180891,58844,1454201092,789973740,1458734747,796133422,22.688,393836711
2026-06-20T02:19:41+07:00,20260620_021928,chain-v1,0.0,0.0,0.24,0.0,2.37,0.035,5.077,0.0,0.446,0.002,4.587,13.404,67108864,0,2058939,0,317214728,702554,74628,265613155,266601688,4,318,0,0,2058939,74628,317214728,265613155,319273667,266601688,0.0,0
2026-06-20T02:39:49+07:00,20260620_023941,chain-v1,0.0,0.0,0.323,0.0,2.774,0.036,2.435,0.0,0.041,0.001,1.728,7.435,67108864,0,2029906,0,75732413,943100,77095,16057256,17137129,4,87,0,0,2029906,77095,75732413,16057256,77762319,17137129,0.0,0
2026-06-20T02:59:56+07:00,20260620_025949,chain-v1,0.0,0.0,0.271,0.0,2.187,0.04,2.529,0.0,0.074,0.001,1.935,7.141,67108864,0,2111255,0,76119563,1073750,83187,18528767,19744754,4,86,0,0,2111255,83187,76119563,18528767,78230818,19744754,0.0,0
2026-06-20T03:20:02+07:00,20260620_031956,chain-v1,0.0,0.0,0.273,0.0,2.055,0.046,1.887,0.0,0.07,0.002,1.775,6.194,67108864,0,2006279,0,40926723,1405706,80818,11901701,13428302,4,59,0,0,2006279,80818,40926723,11901701,42933002,13428302,0.0,0
2026-06-20T03:40:10+07:00,20260620_034002,chain-v1,0.001,0.0,0.297,0.0,2.327,0.044,2.617,0.0,0.05,0.001,1.944,7.407,67108864,0,2081618,0,71446505,1255224,82712,18630435,20027938,4,87,0,0,2081618,82712,71446505,18630435,73528123,20027938,0.0,0
2026-06-20T04:00:19+07:00,20260620_040010,chain-v1,0.0,0.0,0.256,0.0,1.731,0.03,3.145,0.0,0.203,0.002,2.99,8.632,67108864,0,1937521,0,189938483,1652666,77920,104368980,106233367,4,198,0,0,1937521,77920,189938483,104368980,191876004,106233367,0.0,0
2026-06-20T04:21:13+07:00,20260620_042019,chain-v2,13.948,0.513,0.288,0.0,1.9,0.03,1.628,0.0,1.852,0.001,6.152,54.288,100663637,4025185,2127092,233737,39064832,1643130,85283,13167591,585473625,7,56,4025185,4025185,2360829,319020,605343470,579446229,611729484,585473625,26.379,566278638
2026-06-20T04:41:21+07:00,20260620_044113,chain-v2,0.001,0.0,0.404,0.0,2.511,0.039,2.388,0.0,0.032,0.001,1.927,7.375,67108864,0,1975914,0,40383162,1710670,80081,12460507,14287913,4,54,0,0,1975914,80081,40383162,12460507,42359076,14287913,0.0,0
2026-06-20T05:01:30+07:00,20260620_050121,chain-v2,0.0,0.0,0.425,0.0,3.188,0.047,3.347,0.0,0.051,0.001,1.824,8.989,67108864,0,2120709,0,105659094,1888924,86710,21298426,23354334,4,121,0,0,2120709,86710,105659094,21298426,107779803,23354334,0.0,0
