timestamp,avail (GiBy),anomaly%,annotations
03:14:27,2.4028,-,-
03:15:18,2.4015,-,-
03:16:09,2.3957,-,-
03:17:00,2.3941,-,-
03:17:51,2.4086,-,-
03:18:42,2.3855,-,-
03:19:33,2.3786,-,-
03:20:24,2.3796,-,-
03:21:15,2.3747,-,-
03:22:06,2.3694,-,-
03:22:57,2.36,-,-
03:23:48,2.335,-,-
03:24:39,2.3491,-,-
03:25:30,2.3656,-,-
03:26:21,2.3847,-,-
03:27:12,2.4029,-,-
03:28:03,2.3734,-,-
03:28:54,2.3191,-,-
03:29:45,2.3222,-,-
03:30:36,2.3219,-,-
03:31:27,2.3358,-,-
03:32:18,2.3591,-,-
03:33:09,2.3699,-,-
03:34:00,2.3851,-,-
03:34:51,2.4119,-,-
03:35:42,2.3894,-,-
03:36:33,2.399,-,-
03:37:24,2.4042,-,-
03:38:15,2.388,-,-
03:39:06,2.3942,-,-
03:39:57,2.3927,-,-
03:40:48,2.3659,-,-
03:41:39,2.3616,-,-
03:42:30,2.3308,-,-
03:43:21,2.3019,-,-
03:44:12,2.3083,-,-
03:45:03,2.3114,-,-
03:45:54,2.3393,-,-
03:46:45,2.3663,-,-
03:47:36,2.3613,-,-
03:48:27,2.3638,-,-
03:49:18,2.3779,-,-
03:50:09,2.3739,-,-
03:51:00,2.3455,-,-
03:51:51,2.3423,-,-
03:52:42,2.2948,-,-
03:53:33,2.3086,-,-
03:54:24,2.3332,-,-
03:55:15,2.3231,-,-
03:56:06,2.3121,-,-
03:56:57,2.3534,-,-
03:57:48,2.3685,-,-
03:58:39,2.3573,-,-
03:59:30,2.341,-,-
04:00:21,2.3194,-,-
04:01:12,2.2928,-,-
04:02:03,2.2838,-,-
04:02:54,2.3047,-,-
04:03:45,2.3371,-,-
04:04:36,2.3267,-,-
04:05:27,2.3241,-,-
04:06:18,2.3369,-,-
04:07:09,2.3331,-,-
04:08:00,2.3169,-,-
04:08:51,2.3275,-,-
04:09:42,2.2956,-,-
04:10:33,2.3198,-,-
04:11:24,2.3567,-,-
04:12:15,2.3586,-,-
04:13:06,2.3383,-,-
04:13:57,2.3231,-,-
04:14:48,2.3515,-,-
04:15:39,2.3618,-,-
04:16:30,2.3402,-,-
04:17:21,2.3331,-,-
04:18:12,2.3636,-,-
04:19:03,2.3632,-,-
04:19:54,2.3273,-,-
04:20:45,2.3275,-,-
04:21:36,2.0563,-,-
04:22:27,1.8531,-,-
04:23:18,1.8367,-,-
04:24:09,1.8557,-,-
04:25:00,1.8341,-,-
04:25:51,2.2253,-,-
04:26:42,2.3413,-,-
04:27:33,2.366,-,-
04:28:24,2.3708,-,-
04:29:15,2.3705,-,-
04:30:06,2.3675,-,-
04:30:57,2.3888,-,-
04:31:48,2.3672,-,-
04:32:39,2.3652,-,-
04:33:30,2.3712,-,-
04:34:21,2.3737,-,-
04:35:12,2.3697,-,-
04:36:03,2.3647,-,-
04:36:54,2.3586,-,-
04:37:45,2.3551,-,-
04:38:36,2.3548,-,-
04:39:27,2.3523,-,-
04:40:18,2.349,-,-
04:41:09,2.3445,-,-
04:42:00,2.3158,-,-
04:42:51,2.2158,-,-
04:43:42,2.1795,-,-
04:44:33,2.2164,-,-
04:45:24,2.2591,-,-
04:46:15,2.2689,-,-
04:47:06,2.2711,-,-
04:47:57,2.2702,-,-
04:48:48,2.308,-,-
04:49:39,2.308,-,-
04:50:30,2.2922,-,-
04:51:21,2.2905,-,-
04:52:12,2.3033,-,-
04:53:03,2.287,-,-
04:53:54,2.2441,-,-
04:54:45,2.2449,-,-
04:55:36,2.2483,-,-
04:56:27,2.2437,-,-
04:57:18,2.2458,-,-
04:58:09,2.2682,-,-
04:59:00,2.2773,-,-
04:59:51,2.2944,-,-
05:00:42,2.3032,-,-
05:01:33,2.2793,-,-
05:02:24,2.255,-,-
05:03:15,2.2484,-,-
05:04:06,2.2467,-,-
05:04:57,2.293,-,-
05:05:48,2.3022,-,-
05:06:39,2.2752,-,-
05:07:30,2.2652,-,-
05:08:21,2.2638,-,-
05:09:12,2.2499,-,-
05:10:03,2.2452,-,-
05:10:54,2.2424,-,-
05:11:45,2.2196,-,-
05:12:36,2.2336,-,-
05:13:27,2.2759,-,-
05:14:18,2.3114,-,-
05:15:09,2.3013,-,-
05:16:00,2.2239,-,-
05:16:51,2.2284,-,-
05:17:42,2.2318,-,-
05:18:33,2.2158,-,-
05:19:24,2.2124,-,-
05:20:15,2.2301,-,-
05:21:06,2.2338,-,-
05:21:57,2.2158,-,-
05:22:48,2.2138,-,-
05:23:39,2.2397,-,-
05:24:30,2.2608,-,-
05:25:21,2.2709,-,-
05:26:12,2.2635,-,-
05:27:03,2.2104,-,-
05:27:54,2.1881,-,-
05:28:45,2.1669,-,-
05:29:36,2.1279,-,-
05:30:27,2.1346,-,-
05:31:18,2.1808,-,-
05:32:09,2.1927,-,-
05:33:00,2.1087,-,-
05:33:51,2.0503,-,-
05:34:42,2.0678,-,-
05:35:33,2.1354,-,-
05:36:24,2.1792,-,-
05:37:15,2.1804,-,-
05:38:06,2.1885,-,-
05:38:57,2.16,-,-
05:39:48,2.1902,-,-
05:40:39,2.2013,-,-
05:41:30,2.219,-,-
05:42:21,2.2061,-,-
05:43:12,2.1428,-,-
05:44:03,2.1045,-,-
05:44:54,2.1224,-,-
05:45:45,2.1638,-,-
05:46:36,2.1711,-,-
05:47:27,2.1637,-,-
05:48:18,2.1687,-,-
05:49:09,2.196,-,-
05:50:00,2.2276,-,-
05:50:51,2.2624,-,-
05:51:42,2.247,-,-
05:52:33,2.217,-,-
05:53:24,2.1829,-,-
05:54:15,2.1625,-,-
05:55:06,2.185,-,-
05:55:57,2.2429,-,-
05:56:48,2.2439,-,-
05:57:39,2.2545,-,-
05:58:30,2.2664,-,-
05:59:21,2.2619,-,-
06:00:12,2.2513,-,-
06:01:03,2.285,-,-
06:01:54,2.265,-,-
06:02:45,2.2435,-,-
06:03:36,2.2548,-,-
06:04:27,2.2662,-,-
06:05:18,2.2707,-,-
06:06:09,2.2805,-,-
06:07:00,2.2695,-,-
06:07:51,2.2857,-,-
06:08:42,2.2718,-,-
06:09:33,2.2433,-,-
06:10:24,2.2126,-,-
06:11:15,2.2029,-,-
06:12:06,2.2342,-,-
06:12:57,2.2418,-,-
06:13:48,2.243,-,-
06:14:39,2.2453,-,-
06:15:30,2.2291,-,-
06:16:21,2.2029,-,-
06:17:12,2.1839,-,-
06:18:03,2.1764,-,-
06:18:54,2.2158,-,-
06:19:45,2.2548,-,-
06:20:36,2.2648,-,-
06:21:27,2.2309,-,-
06:22:18,2.1825,-,-
06:23:09,2.162,-,-
06:24:00,2.1542,-,-
06:24:51,2.1778,-,-
06:25:42,2.2211,-,-
06:26:33,2.2301,-,-
06:27:24,2.2098,-,-
06:28:15,2.1926,-,-
06:29:06,2.2075,-,-
06:29:57,2.2387,-,-
06:30:48,2.2633,-,-
06:31:39,2.2728,-,-
06:32:30,2.2551,-,-
06:33:21,2.2319,-,-
06:34:12,2.2513,-,-
06:35:03,2.3512,-,-
06:35:54,2.2879,-,-
06:36:45,2.2352,-,-
06:37:36,2.183,-,-
06:38:27,2.1681,-,-
06:39:18,2.1787,-,-
06:40:09,2.1824,-,-
06:41:00,2.2232,-,-
06:41:51,2.2502,-,-
06:42:42,2.1738,-,-
06:43:33,1.883,-,-
06:44:24,1.6626,-,-
06:45:15,1.653,-,-
06:46:06,1.6764,-,-
06:46:57,1.7028,-,-
06:47:48,2.1392,-,-
06:48:39,2.2321,-,-
06:49:30,2.2292,-,-
06:50:21,2.2331,-,-
06:51:12,2.2295,-,-
06:52:03,2.23,-,-
06:52:54,2.2589,-,-
06:53:45,2.2664,-,-
06:54:36,2.2372,-,-
06:55:27,2.1933,-,-
06:56:18,2.1681,-,-
06:57:09,2.1841,-,-
06:58:00,2.2292,-,-
06:58:51,2.2349,-,-
06:59:42,2.2248,-,-
07:00:33,2.2169,-,-
07:01:24,2.2094,-,-
07:02:15,2.1951,-,-
07:03:06,2.1727,-,-
07:03:57,2.1568,-,-
07:04:48,2.1577,-,-
07:05:39,2.1919,-,-
07:06:30,2.222,-,-
07:07:21,2.2329,-,-
07:08:12,2.2309,-,-
07:09:03,2.2299,-,-
07:09:54,2.2333,-,-
07:10:45,2.2393,-,-
07:11:36,2.2358,-,-
07:12:27,2.237,-,-
07:13:18,2.2339,-,-
07:14:09,2.219,-,-
07:15:00,2.2503,-,-
07:15:51,2.2485,-,-
07:16:42,2.1899,-,-
07:17:33,2.1331,-,-
07:18:24,2.1102,-,-
07:19:15,2.1292,-,-
07:20:06,2.1729,-,-
07:20:57,2.1836,-,-
07:21:48,2.2293,-,-
07:22:39,2.2341,-,-
07:23:30,2.1984,-,-
07:24:21,2.1624,-,-
07:25:12,2.1549,-,-
07:26:03,2.1549,-,-
07:26:54,2.1887,-,-
07:27:45,2.2135,-,-
07:28:36,2.2209,-,-
07:29:27,2.2046,-,-
07:30:18,2.1867,-,-
