timestamp,avail (mebibytes),anomaly%,annotations
1781900067000,2460.5118359,-,-
1781900118000,2459.1088802,-,-
1781900169000,2453.2268229,-,-
1781900220000,2451.5799479,-,-
1781900271000,2466.3958464,-,-
1781900322000,2442.7709896,-,-
1781900373000,2435.6705729,-,-
1781900424000,2436.6763542,-,-
1781900475000,2431.6700521,-,-
1781900526000,2426.2584115,-,-
1781900577000,2416.670013,-,-
1781900628000,2391.0276562,-,-
1781900679000,2405.4356901,-,-
1781900730000,2422.3809896,-,-
1781900781000,2441.8826562,-,-
1781900832000,2460.5813021,-,-
1781900883000,2430.4002865,-,-
1781900934000,2374.7257292,-,-
1781900985000,2377.9708984,-,-
1781901036000,2377.669375,-,-
1781901087000,2391.8529557,-,-
1781901138000,2415.6778906,-,-
1781901189000,2426.7819531,-,-
1781901240000,2442.325,-,-
1781901291000,2469.8105469,-,-
1781901342000,2446.7786979,-,-
1781901393000,2456.5739323,-,-
1781901444000,2461.8802083,-,-
1781901495000,2445.3189453,-,-
1781901546000,2451.6342187,-,-
1781901597000,2450.0789844,-,-
1781901648000,2422.6408333,-,-
1781901699000,2418.2956641,-,-
1781901750000,2386.7167969,-,-
1781901801000,2357.1144271,-,-
1781901852000,2363.6532292,-,-
1781901903000,2366.8443229,-,-
1781901954000,2395.4795833,-,-
1781902005000,2423.0708984,-,-
1781902056000,2417.9606771,-,-
1781902107000,2420.5666406,-,-
1781902158000,2434.9336719,-,-
1781902209000,2430.8339193,-,-
1781902260000,2401.7955729,-,-
1781902311000,2398.563138,-,-
1781902362000,2349.8301563,-,-
1781902413000,2363.9854427,-,-
1781902464000,2389.1922917,-,-
1781902515000,2378.8679688,-,-
1781902566000,2367.5544271,-,-
1781902617000,2409.8529948,-,-
1781902668000,2425.3557292,-,-
1781902719000,2413.9261458,-,-
1781902770000,2397.1451823,-,-
1781902821000,2375.0257161,-,-
1781902872000,2347.8196875,-,-
1781902923000,2338.6439974,-,-
1781902974000,2360.0310156,-,-
1781903025000,2393.201237,-,-
1781903076000,2382.5848958,-,-
1781903127000,2379.8400781,-,-
1781903178000,2393.0194271,-,-
1781903229000,2389.0642318,-,-
1781903280000,2372.4960938,-,-
1781903331000,2383.3178776,-,-
1781903382000,2350.7019271,-,-
1781903433000,2375.4633854,-,-
1781903484000,2413.3116667,-,-
1781903535000,2415.2005208,-,-
1781903586000,2394.3758073,-,-
1781903637000,2378.9055859,-,-
1781903688000,2407.8939063,-,-
1781903739000,2418.5040625,-,-
1781903790000,2396.35625,-,-
1781903841000,2389.0758724,-,-
1781903892000,2420.2799479,-,-
1781903943000,2419.9464193,-,-
1781903994000,2383.1628906,-,-
1781904045000,2383.3201823,-,-
1781904096000,2105.6443229,-,-
1781904147000,1897.6008789,-,-
1781904198000,1880.8019531,-,-
1781904249000,1900.236569,-,-
1781904300000,1878.0921875,-,-
1781904351000,2278.6560156,-,-
1781904402000,2397.4435938,-,-
1781904453000,2422.7797917,-,-
1781904504000,2427.6855208,-,-
1781904555000,2427.3847656,-,-
1781904606000,2424.3515625,-,-
1781904657000,2446.10625,-,-
1781904708000,2424.0067708,-,-
1781904759000,2421.9257161,-,-
1781904810000,2428.102474,-,-
1781904861000,2430.666849,-,-
1781904912000,2426.5521354,-,-
1781904963000,2421.5013932,-,-
1781905014000,2415.1810677,-,-
1781905065000,2411.6119141,-,-
1781905116000,2411.3089583,-,-
1781905167000,2408.7705208,-,-
1781905218000,2405.3913802,-,-
1781905269000,2400.7716146,-,-
1781905320000,2371.3669271,-,-
1781905371000,2269.0289193,-,-
1781905422000,2231.8384896,-,-
1781905473000,2269.576901,-,-
1781905524000,2313.3052083,-,-
1781905575000,2323.3122396,-,-
1781905626000,2325.5878646,-,-
1781905677000,2324.7298958,-,-
1781905728000,2363.4135938,-,-
1781905779000,2363.3425651,-,-
1781905830000,2347.2523437,-,-
1781905881000,2345.4220703,-,-
1781905932000,2358.6042708,-,-
1781905983000,2341.8373307,-,-
1781906034000,2297.9266406,-,-
1781906085000,2298.7757161,-,-
1781906136000,2302.2701042,-,-
1781906187000,2297.5414583,-,-
1781906238000,2299.6848438,-,-
1781906289000,2322.6518359,-,-
1781906340000,2331.9945312,-,-
1781906391000,2349.5001042,-,-
1781906442000,2358.4434375,-,-
1781906493000,2334.0490365,-,-
1781906544000,2309.1598438,-,-
1781906595000,2302.3958333,-,-
1781906646000,2300.6328646,-,-
1781906697000,2348.0695052,-,-
1781906748000,2357.4844792,-,-
1781906799000,2329.7580859,-,-
1781906850000,2319.5484375,-,-
1781906901000,2318.144388,-,-
1781906952000,2303.9359896,-,-
1781907003000,2299.0527083,-,-
1781907054000,2296.2167187,-,-
1781907105000,2272.8395182,-,-
1781907156000,2287.2364583,-,-
1781907207000,2330.4732552,-,-
1781907258000,2366.8777083,-,-
1781907309000,2356.5134766,-,-
1781907360000,2277.3007812,-,-
1781907411000,2281.8936589,-,-
1781907462000,2285.3789323,-,-
1781907513000,2269.0187891,-,-
1781907564000,2265.4644792,-,-
1781907615000,2283.6229167,-,-
1781907666000,2287.4572656,-,-
1781907717000,2268.9297005,-,-
1781907768000,2266.9604688,-,-
1781907819000,2293.4669661,-,-
1781907870000,2315.0979167,-,-
1781907921000,2325.409375,-,-
1781907972000,2317.8597396,-,-
1781908023000,2263.4986068,-,-
1781908074000,2240.635599,-,-
1781908125000,2218.8614583,-,-
1781908176000,2179.0158594,-,-
1781908227000,2185.7950326,-,-
1781908278000,2233.095,-,-
1781908329000,2245.286543,-,-
1781908380000,2159.2628906,-,-
1781908431000,2099.5133138,-,-
1781908482000,2117.4033073,-,-
1781908533000,2186.6794661,-,-
1781908584000,2231.5472917,-,-
1781908635000,2232.7121745,-,-
1781908686000,2241.0630208,-,-
1781908737000,2211.8730469,-,-
1781908788000,2242.7153646,-,-
1781908839000,2254.1592057,-,-
1781908890000,2272.228776,-,-
1781908941000,2259.0489974,-,-
1781908992000,2194.2338802,-,-
1781909043000,2154.9741211,-,-
1781909094000,2173.3116536,-,-
1781909145000,2215.766862,-,-
1781909196000,2223.2372917,-,-
1781909247000,2215.6578125,-,-
1781909298000,2220.7616146,-,-
1781909349000,2248.6731771,-,-
1781909400000,2281.1015625,-,-
1781909451000,2316.6481641,-,-
1781909502000,2300.9505729,-,-
1781909553000,2270.2411849,-,-
1781909604000,2235.3034375,-,-
1781909655000,2214.375,-,-
1781909706000,2237.3903385,-,-
1781909757000,2296.7152474,-,-
1781909808000,2297.7393229,-,-
1781909859000,2308.565625,-,-
1781909910000,2320.7692708,-,-
1781909961000,2316.1871354,-,-
1781910012000,2305.3652604,-,-
1781910063000,2339.7971875,-,-
1781910114000,2319.3272396,-,-
1781910165000,2297.3598307,-,-
1781910216000,2308.8930729,-,-
1781910267000,2320.5516276,-,-
1781910318000,2325.2445052,-,-
1781910369000,2335.2724089,-,-
1781910420000,2323.9583333,-,-
1781910471000,2340.5833594,-,-
1781910522000,2326.2727604,-,-
1781910573000,2297.1054427,-,-
1781910624000,2265.7030208,-,-
1781910675000,2255.7251953,-,-
1781910726000,2287.8356771,-,-
1781910777000,2295.5830729,-,-
1781910828000,2296.8040104,-,-
1781910879000,2299.1904167,-,-
1781910930000,2282.6183594,-,-
1781910981000,2255.7482813,-,-
1781911032000,2236.3103125,-,-
1781911083000,2228.6492969,-,-
1781911134000,2268.9680729,-,-
1781911185000,2308.8651693,-,-
1781911236000,2319.1463542,-,-
1781911287000,2284.4576432,-,-
1781911338000,2234.848724,-,-
1781911389000,2213.8790104,-,-
1781911440000,2205.8828125,-,-
1781911491000,2230.0453906,-,-
1781911542000,2274.4292188,-,-
1781911593000,2283.6505859,-,-
1781911644000,2262.8406771,-,-
1781911695000,2245.2397786,-,-
1781911746000,2260.480625,-,-
1781911797000,2292.3857292,-,-
1781911848000,2317.5908333,-,-
1781911899000,2327.3005729,-,-
1781911950000,2309.2403646,-,-
1781912001000,2285.5057812,-,-
1781912052000,2305.3557143,-,-
1781912103000,2407.5889918,-,-
1781912154000,2342.8473884,-,-
1781912205000,2288.8276042,-,-
1781912256000,2235.3973958,-,-
1781912307000,2220.15875,-,-
1781912358000,2230.948099,-,-
1781912409000,2234.7845443,-,-
1781912460000,2276.5963542,-,-
1781912511000,2304.1682292,-,-
1781912562000,2225.9303646,-,-
1781912613000,1928.1877344,-,-
1781912664000,1702.5344271,-,-
1781912715000,1692.6799154,-,-
1781912766000,1716.6282552,-,-
1781912817000,1743.6190755,-,-
1781912868000,2190.5573958,-,-
1781912919000,2285.6398047,-,-
1781912970000,2282.6989583,-,-
1781913021000,2286.6752604,-,-
1781913072000,2282.9775,-,-
1781913123000,2283.5602474,-,-
1781913174000,2313.0948698,-,-
1781913225000,2320.7427734,-,-
1781913276000,2290.8479167,-,-
1781913327000,2245.956875,-,-
1781913378000,2220.1122917,-,-
1781913429000,2236.4988411,-,-
1781913480000,2282.6815104,-,-
1781913531000,2288.5828125,-,-
1781913582000,2278.1509635,-,-
1781913633000,2270.0994271,-,-
1781913684000,2262.4251042,-,-
1781913735000,2247.7721354,-,-
1781913786000,2224.8875,-,-
1781913837000,2208.5692708,-,-
1781913888000,2209.4833333,-,-
1781913939000,2244.4889974,-,-
1781913990000,2275.2893229,-,-
1781914041000,2286.5338542,-,-
1781914092000,2284.4379687,-,-
1781914143000,2283.3857682,-,-
1781914194000,2286.9289844,-,-
1781914245000,2293.0157552,-,-
1781914296000,2289.5049479,-,-
1781914347000,2290.6939974,-,-
1781914398000,2287.545651,-,-
1781914449000,2272.2124349,-,-
1781914500000,2304.3541667,-,-
1781914551000,2302.5102865,-,-
1781914602000,2242.4810938,-,-
1781914653000,2184.2803255,-,-
1781914704000,2160.8879687,-,-
1781914755000,2180.2998698,-,-
1781914806000,2225.0123438,-,-
1781914857000,2235.9591927,-,-
1781914908000,2282.7554167,-,-
1781914959000,2287.7230729,-,-
1781915010000,2251.1261719,-,-
1781915061000,2214.2513672,-,-
1781915112000,2206.6427083,-,-
1781915163000,2206.5939844,-,-
1781915214000,2241.2708854,-,-
1781915265000,2266.589388,-,-
1781915316000,2274.2263542,-,-
1781915367000,2257.5527604,-,-
1781915418000,2239.215651,-,-
