timestamp,4k (mebibytes),2m (mebibytes),1g (mebibytes),anomaly%,annotations
1781900067000,171.8125,2900,3072,-,-
1781900118000,171.8125,2900,3072,-,-
1781900169000,171.8125,2900,3072,-,-
1781900220000,171.8125,2900,3072,-,-
1781900271000,171.8125,2900,3072,-,-
1781900322000,171.8125,2900,3072,-,-
1781900373000,171.8125,2900,3072,-,-
1781900424000,171.8125,2900,3072,-,-
1781900475000,171.8125,2900,3072,-,-
1781900526000,171.8125,2900,3072,-,-
1781900577000,171.8125,2900,3072,-,-
1781900628000,171.8125,2900,3072,-,-
1781900679000,171.8125,2900,3072,-,-
1781900730000,171.8125,2900,3072,-,-
1781900781000,171.8125,2900,3072,-,-
1781900832000,171.8125,2900,3072,-,-
1781900883000,171.8125,2900,3072,-,-
1781900934000,171.8125,2900,3072,-,-
1781900985000,171.8125,2900,3072,-,-
1781901036000,171.8125,2900,3072,-,-
1781901087000,171.8125,2900,3072,-,-
1781901138000,171.8125,2900,3072,-,-
1781901189000,171.8125,2900,3072,-,-
1781901240000,171.8125,2900,3072,-,-
1781901291000,171.8125,2900,3072,-,-
1781901342000,171.8125,2900,3072,-,-
1781901393000,171.8125,2900,3072,-,-
1781901444000,171.8125,2900,3072,-,-
1781901495000,171.8125,2900,3072,-,-
1781901546000,171.8125,2900,3072,-,-
1781901597000,171.8125,2900,3072,-,-
1781901648000,171.8125,2900,3072,-,-
1781901699000,171.8125,2900,3072,-,-
1781901750000,171.8125,2900,3072,-,-
1781901801000,171.8125,2900,3072,-,-
1781901852000,171.8125,2900,3072,-,-
1781901903000,171.8125,2900,3072,-,-
1781901954000,171.8125,2900,3072,-,-
1781902005000,171.8125,2900,3072,-,-
1781902056000,171.8125,2900,3072,-,-
1781902107000,171.8125,2900,3072,-,-
1781902158000,171.8125,2900,3072,-,-
1781902209000,171.8125,2900,3072,-,-
1781902260000,171.8125,2900,3072,-,-
1781902311000,171.8125,2900,3072,-,-
1781902362000,171.8125,2900,3072,-,-
1781902413000,171.8125,2900,3072,-,-
1781902464000,171.8125,2900,3072,-,-
1781902515000,171.8125,2900,3072,-,-
1781902566000,171.8125,2900,3072,-,-
1781902617000,171.8125,2900,3072,-,-
1781902668000,171.8125,2900,3072,-,-
1781902719000,171.8125,2900,3072,-,-
1781902770000,171.8125,2900,3072,-,-
1781902821000,171.8125,2900,3072,-,-
1781902872000,171.8125,2900,3072,-,-
1781902923000,171.8125,2900,3072,-,-
1781902974000,171.8125,2900,3072,-,-
1781903025000,171.8125,2900,3072,-,-
1781903076000,171.8125,2900,3072,-,-
1781903127000,171.8125,2900,3072,-,-
1781903178000,171.8125,2900,3072,-,-
1781903229000,171.8125,2900,3072,-,-
1781903280000,171.8125,2900,3072,-,-
1781903331000,171.8125,2900,3072,-,-
1781903382000,171.8125,2900,3072,-,-
1781903433000,171.8125,2900,3072,-,-
1781903484000,171.8125,2900,3072,-,-
1781903535000,171.8125,2900,3072,-,-
1781903586000,171.8125,2900,3072,-,-
1781903637000,171.8125,2900,3072,-,-
1781903688000,171.8125,2900,3072,-,-
1781903739000,171.8125,2900,3072,-,-
1781903790000,171.8125,2900,3072,-,-
1781903841000,171.8125,2900,3072,-,-
1781903892000,171.8125,2900,3072,-,-
1781903943000,171.8125,2900,3072,-,-
1781903994000,171.8125,2900,3072,-,-
1781904045000,171.8125,2900,3072,-,-
1781904096000,171.8125,2900,3072,-,-
1781904147000,171.8125,2900,3072,-,-
1781904198000,171.8125,2900,3072,-,-
1781904249000,171.8125,2900,3072,-,-
1781904300000,171.8125,2900,3072,-,-
1781904351000,171.8125,2900,3072,-,-
1781904402000,171.8125,2900,3072,-,-
1781904453000,171.8125,2900,3072,-,-
1781904504000,171.8125,2900,3072,-,-
1781904555000,171.8125,2900,3072,-,-
1781904606000,171.8125,2900,3072,-,-
1781904657000,171.8125,2900,3072,-,-
1781904708000,171.8125,2900,3072,-,-
1781904759000,171.8125,2900,3072,-,-
1781904810000,171.8125,2900,3072,-,-
1781904861000,171.8125,2900,3072,-,-
1781904912000,171.8125,2900,3072,-,-
1781904963000,171.8125,2900,3072,-,-
1781905014000,171.8125,2900,3072,-,-
1781905065000,171.8125,2900,3072,-,-
1781905116000,171.8125,2900,3072,-,-
1781905167000,171.8125,2900,3072,-,-
1781905218000,171.8125,2900,3072,-,-
1781905269000,171.8125,2900,3072,-,-
1781905320000,171.8125,2900,3072,-,-
1781905371000,171.8125,2900,3072,-,-
1781905422000,171.8125,2900,3072,-,-
1781905473000,171.8125,2900,3072,-,-
1781905524000,171.8125,2900,3072,-,-
1781905575000,171.8125,2900,3072,-,-
1781905626000,171.8125,2900,3072,-,-
1781905677000,171.8125,2900,3072,-,-
1781905728000,171.8125,2900,3072,-,-
1781905779000,171.8125,2900,3072,-,-
1781905830000,171.8125,2900,3072,-,-
1781905881000,171.8125,2900,3072,-,-
1781905932000,171.8125,2900,3072,-,-
1781905983000,171.8125,2900,3072,-,-
1781906034000,171.8125,2900,3072,-,-
1781906085000,171.8125,2900,3072,-,-
1781906136000,171.8125,2900,3072,-,-
1781906187000,171.8125,2900,3072,-,-
1781906238000,171.8125,2900,3072,-,-
1781906289000,171.8125,2900,3072,-,-
1781906340000,171.8125,2900,3072,-,-
1781906391000,171.8125,2900,3072,-,-
1781906442000,171.8125,2900,3072,-,-
1781906493000,171.8125,2900,3072,-,-
1781906544000,171.8125,2900,3072,-,-
1781906595000,171.8125,2900,3072,-,-
1781906646000,171.8125,2900,3072,-,-
1781906697000,171.8125,2900,3072,-,-
1781906748000,171.8125,2900,3072,-,-
1781906799000,171.8125,2900,3072,-,-
1781906850000,171.8125,2900,3072,-,-
1781906901000,171.8125,2900,3072,-,-
1781906952000,171.8125,2900,3072,-,-
1781907003000,171.8125,2900,3072,-,-
1781907054000,171.8125,2900,3072,-,-
1781907105000,171.8125,2900,3072,-,-
1781907156000,171.8125,2900,3072,-,-
1781907207000,171.8125,2900,3072,-,-
1781907258000,171.8125,2900,3072,-,-
1781907309000,171.8125,2900,3072,-,-
1781907360000,171.8125,2900,3072,-,-
1781907411000,171.8125,2900,3072,-,-
1781907462000,171.8125,2900,3072,-,-
1781907513000,171.8125,2900,3072,-,-
1781907564000,171.8125,2900,3072,-,-
1781907615000,171.8125,2900,3072,-,-
1781907666000,171.8125,2900,3072,-,-
1781907717000,171.8125,2900,3072,-,-
1781907768000,171.8125,2900,3072,-,-
1781907819000,171.8125,2900,3072,-,-
1781907870000,171.8125,2900,3072,-,-
1781907921000,171.8125,2900,3072,-,-
1781907972000,171.8125,2900,3072,-,-
1781908023000,171.8125,2900,3072,-,-
1781908074000,171.8125,2900,3072,-,-
1781908125000,171.8125,2900,3072,-,-
1781908176000,171.8125,2900,3072,-,-
1781908227000,171.8125,2900,3072,-,-
1781908278000,171.8125,2900,3072,-,-
1781908329000,171.8125,2900,3072,-,-
1781908380000,171.8125,2900,3072,-,-
1781908431000,171.8125,2900,3072,-,-
1781908482000,171.8125,2900,3072,-,-
1781908533000,171.8125,2900,3072,-,-
1781908584000,171.8125,2900,3072,-,-
1781908635000,171.8125,2900,3072,-,-
1781908686000,171.8125,2900,3072,-,-
1781908737000,171.8125,2900,3072,-,-
1781908788000,171.8125,2900,3072,-,-
1781908839000,171.8125,2900,3072,-,-
1781908890000,171.8125,2900,3072,-,-
1781908941000,171.8125,2900,3072,-,-
1781908992000,171.8125,2900,3072,-,-
1781909043000,171.8125,2900,3072,-,-
1781909094000,171.8125,2900,3072,-,-
1781909145000,171.8125,2900,3072,-,-
1781909196000,171.8125,2900,3072,-,-
1781909247000,171.8125,2900,3072,-,-
1781909298000,171.8125,2900,3072,-,-
1781909349000,171.8125,2900,3072,-,-
1781909400000,171.8125,2900,3072,-,-
1781909451000,171.8125,2900,3072,-,-
1781909502000,171.8125,2900,3072,-,-
1781909553000,171.8125,2900,3072,-,-
1781909604000,171.8125,2900,3072,-,-
1781909655000,171.8125,2900,3072,-,-
1781909706000,171.8125,2900,3072,-,-
