timestamp,minor (K faults/s),major (K faults/s),anomaly%,annotations
03:14:27,14,-0,-,-
03:15:18,12.8,-0,-,-
03:16:09,13.5,-0,-,-
03:17:00,13.5,-0,-,-
03:17:51,13.5,-0,-,-
03:18:42,13.5,-0,-,-
03:19:33,13.7,-0,-,-
03:20:24,14.2,-0,-,-
03:21:15,14.1,-0,-,-
03:22:06,12.9,-0,-,-
03:22:57,13.5,-0,-,-
03:23:48,13.4,-0,-,-
03:24:39,13.3,-0,-,-
03:25:30,13.5,-0,-,-
03:26:21,13.3,-0,-,-
03:27:12,12.8,-0,-,-
03:28:03,13.9,-0,-,-
03:28:54,13.3,-0,-,-
03:29:45,13.4,-0,-,-
03:30:36,13.4,-0,-,-
03:31:27,13.3,-0,-,-
03:32:18,13.4,-0,-,-
03:33:09,13.5,-0,-,-
03:34:00,12.6,-0,-,-
03:34:51,14.2,-0,-,-
03:35:42,13.1,-0,-,-
03:36:33,13.1,-0,-,-
03:37:24,13.5,-0,-,-
03:38:15,13.5,-0,-,-
03:39:06,13.4,-0,-,-
03:39:57,13.5,-0,-,-
03:40:48,14.3,-0,-,-
03:41:39,14.4,-0,-,-
03:42:30,13.5,-0,-,-
03:43:21,13.1,-0,-,-
03:44:12,13.7,-0,-,-
03:45:03,13.3,-0,-,-
03:45:54,13.1,-0,-,-
03:46:45,13.1,-0,-,-
03:47:36,12.8,-0,-,-
03:48:27,13.4,-0,-,-
03:49:18,13.9,-0,-,-
03:50:09,12.9,-0,-,-
03:51:00,14.3,0,-,-
03:51:51,13.1,-0,-,-
03:52:42,14.2,-0,-,-
03:53:33,14.4,-0,-,-
03:54:24,13.7,-0,-,-
03:55:15,13.4,-0,-,-
03:56:06,13.7,-0,-,-
03:56:57,12.7,-0,-,-
03:57:48,14,-0,-,-
03:58:39,13.3,-0,-,-
03:59:30,13.5,0,-,-
04:00:21,14.4,-0,-,-
04:01:12,14.6,-0,-,-
04:02:03,14.3,-0,-,-
04:02:54,12.7,-0,-,-
04:03:45,14,-0,-,-
04:04:36,13.3,-0,-,-
04:05:27,13.4,-0,-,-
04:06:18,13.9,-0,-,-
04:07:09,13.1,-0,-,-
04:08:00,14.3,-0,-,-
04:08:51,13,-0,-,-
04:09:42,13.9,-0,-,-
04:10:33,13.5,-0,-,-
04:11:24,13.2,-0,-,-
04:12:15,13.8,-0,-,-
04:13:06,13.2,-0,-,-
04:13:57,14.1,-0,-,-
04:14:48,13.2,-0,-,-
04:15:39,13.8,-0,-,-
04:16:30,13.6,-0,-,-
04:17:21,13.4,-0,-,-
04:18:12,13.8,-0,-,-
04:19:03,13.1,-0,-,-
04:19:54,13.5,-0,-,-
04:20:45,14.7,-0,-,-
04:21:36,15.9,-0,-,-
04:22:27,15.3,-0,-,-
04:23:18,13.4,-0,-,-
04:24:09,12.5,-0,-,-
04:25:00,13.8,-0,-,-
04:25:51,13.6,-0,-,-
04:26:42,13.6,-0,-,-
04:27:33,13.6,-0,-,-
04:28:24,13.5,-0,-,-
04:29:15,13.5,-0,-,-
04:30:06,13.7,-0,-,-
04:30:57,13.4,-0,-,-
04:31:48,13.6,-0,-,-
04:32:39,13.5,-0,-,-
04:33:30,13.6,-0,-,-
04:34:21,13.6,-0,-,-
04:35:12,13.4,-0,-,-
04:36:03,14,-0,-,-
04:36:54,13.3,-0,-,-
04:37:45,13.9,-0,-,-
04:38:36,13.2,-0,-,-
04:39:27,13.4,-0,-,-
04:40:18,13.9,-0,-,-
04:41:09,13.3,-0,-,-
04:42:00,15.4,-0,-,-
04:42:51,14.7,-0,-,-
04:43:42,13.4,-0,-,-
04:44:33,13.8,-0,-,-
04:45:24,13.7,-0,-,-
04:46:15,13.1,-0,-,-
04:47:06,14.1,-0,-,-
04:47:57,13.2,-0,-,-
04:48:48,13.5,-0,-,-
04:49:39,13.6,-0,-,-
04:50:30,13.2,-0,-,-
04:51:21,13.4,-0,-,-
04:52:12,14.2,-0,-,-
04:53:03,13,-0,-,-
04:53:54,13.7,-0,-,-
04:54:45,13.6,-0,-,-
04:55:36,13.4,-0,-,-
04:56:27,13.4,-0,-,-
04:57:18,13.2,-0,-,-
04:58:09,12.6,-0,-,-
04:59:00,14.4,-0,-,-
04:59:51,13.2,-0,-,-
05:00:42,13.5,-0,-,-
05:01:33,14.7,-0,-,-
05:02:24,14.4,-0,-,-
05:03:15,13.2,-0,-,-
05:04:06,14.3,-0,-,-
05:04:57,13,-0,-,-
05:05:48,14,-0,-,-
05:06:39,13.4,-0,-,-
05:07:30,13.3,-0,-,-
05:08:21,13.7,-0,-,-
05:09:12,13.7,-0,-,-
05:10:03,12.7,-0,-,-
05:10:54,14.7,-0,-,-
05:11:45,13.3,-0,-,-
05:12:36,13.8,-0,-,-
05:13:27,13.9,-0,-,-
05:14:18,13,-0,-,-
05:15:09,13.2,-0,-,-
05:16:00,14.4,-0,-,-
05:16:51,13.2,-0,-,-
05:17:42,14.1,-0,-,-
05:18:33,13.7,-0,-,-
05:19:24,13.2,-0,-,-
05:20:15,13.7,-0,-,-
05:21:06,13.8,-0,-,-
05:21:57,14.5,-0,-,-
05:22:48,14.6,-0,-,-
05:23:39,13.4,0,-,-
05:24:30,13.7,-0,-,-
05:25:21,14,-0,-,-
05:26:12,13.2,-0,-,-
05:27:03,14.2,-0,-,-
05:27:54,13.3,-0,-,-
05:28:45,13.6,-0,-,-
05:29:36,14.3,-0,-,-
05:30:27,13.9,-0,-,-
05:31:18,13.4,-0,-,-
05:32:09,14.4,-0,-,-
05:33:00,14.3,-0,-,-
05:33:51,13.6,-0,-,-
