timestamp,minor (faults per second),major (faults per second),anomaly%,annotations
1781900067000,13991.8940885,-0.215,-,-
1781900118000,12833.8557292,-0.2704703,-,-
1781900169000,13498.7478125,-0.2905418,-,-
1781900220000,13464.646875,-0.3539879,-,-
1781900271000,13539.0971354,-0.2237087,-,-
1781900322000,13495.3932292,-0.223046,-,-
1781900373000,13740.2051563,-0.1321768,-,-
1781900424000,14173.1975,-0.0633333,-,-
1781900475000,14063.1825521,-0.1583333,-,-
1781900526000,12854.35,-0.36,-,-
1781900577000,13522.7244792,-0.1616667,-,-
1781900628000,13431.3814583,-0.03,-,-
1781900679000,13295.1689583,-0.1924089,-,-
1781900730000,13491.8130208,-0.3416667,-,-
1781900781000,13313.5017187,-0.3800911,-,-
1781900832000,12805.9602083,-0.3466667,-,-
1781900883000,13940.6139063,-0.2758333,-,-
1781900934000,13349.7992708,-0.4316667,-,-
1781900985000,13403.2260417,-0.3875,-,-
1781901036000,13410.1716667,-0.1842724,-,-
1781901087000,13311.6166146,-0.0512676,-,-
1781901138000,13359.0696875,-0.1411267,-,-
1781901189000,13523.1538542,-0.4083333,-,-
1781901240000,12599.4854167,-0.55,-,-
1781901291000,14152.5275,-0.3658333,-,-
1781901342000,13115.0671875,-0.7183333,-,-
1781901393000,13052.2016146,-0.4983333,-,-
1781901444000,13471.7191667,-0.17,-,-
1781901495000,13477.4833333,-0.1833333,-,-
1781901546000,13446.8104167,-0.2683333,-,-
1781901597000,13462.4203125,-0.1408333,-,-
1781901648000,14281.041875,-0.0666667,-,-
1781901699000,14415.915,-0.0391667,-,-
1781901750000,13531.23125,-0.1146735,-,-
1781901801000,13062.3536979,-0.1404708,-,-
1781901852000,13677.99,-0.0431891,-,-
1781901903000,13318.5390104,-0.0679345,-,-
1781901954000,13125.4021875,-0.089487,-,-
1781902005000,13053.0919271,-0.0414887,-,-
1781902056000,12812.078125,-0.0198576,-,-
1781902107000,13433.3890625,-0.0166667,-,-
1781902158000,13860.3744792,-0.0366667,-,-
1781902209000,12908.2425521,-0.0708333,-,-
1781902260000,14326.3427083,0,-,-
1781902311000,13084.2545313,-0.0141667,-,-
1781902362000,14162.13625,-0.4483333,-,-
1781902413000,14385.7992188,-0.7158333,-,-
1781902464000,13741.9297917,-0.47,-,-
1781902515000,13352.2601563,-0.0458333,-,-
1781902566000,13737.2794792,-0.17,-,-
1781902617000,12715.6706771,-0.0566667,-,-
1781902668000,14012.229375,-0.1433333,-,-
1781902719000,13270.4846875,-0.0583333,-,-
1781902770000,13487.2484375,0,-,-
1781902821000,14400.93,-0.2566667,-,-
1781902872000,14569.3335417,-0.5966667,-,-
1781902923000,14294.6585938,-0.0525,-,-
1781902974000,12682.7619792,-0.095,-,-
1781903025000,13992.7817708,-0.3,-,-
1781903076000,13348.0022917,-0.4066667,-,-
1781903127000,13390.1897396,-0.4483333,-,-
1781903178000,13920.6432292,-0.3692737,-,-
1781903229000,13080.4553646,-0.1469163,-,-
1781903280000,14319.6145833,-0.1746433,-,-
1781903331000,12958.3227604,-0.0686965,-,-
1781903382000,13885.8260417,-0.0616667,-,-
1781903433000,13464.8816146,-0.1675,-,-
1781903484000,13224.4129167,-0.1566667,-,-
1781903535000,13757.8486979,-0.0125,-,-
1781903586000,13154.25625,-0.0016667,-,-
1781903637000,14058.8333333,-0.0158333,-,-
1781903688000,13205.9529167,-0.0166667,-,-
1781903739000,13781.1828646,-0.1791667,-,-
1781903790000,13646.5661458,-0.1416667,-,-
1781903841000,13378.7266667,-0.0225,-,-
1781903892000,13771.5583333,-0.0333333,-,-
1781903943000,13146.3645313,-0.0316667,-,-
1781903994000,13500.5657292,-0.0033333,-,-
1781904045000,14695.6903646,-1.384493,-,-
1781904096000,15903.716875,-0.8208019,-,-
1781904147000,15311.4491667,-0.1205385,-,-
1781904198000,13419.7079167,-0.075,-,-
1781904249000,12485.7832292,-0.0241667,-,-
1781904300000,13762.665625,-0.0666667,-,-
1781904351000,13642.8988542,-1.3031443,-,-
1781904402000,13632.5522917,-0.7797948,-,-
1781904453000,13604.6664583,-0.3178942,-,-
1781904504000,13537.0385417,-0.1333333,-,-
1781904555000,13530.2536458,-0.0375,-,-
1781904606000,13667.6146875,-0.0533333,-,-
1781904657000,13438.8327604,-0.0816667,-,-
1781904708000,13612.8033333,-0.0166667,-,-
1781904759000,13489.5953646,-0.0108333,-,-
1781904810000,13590.6572917,-0.0166667,-,-
1781904861000,13589.5888542,-0.0225,-,-
1781904912000,13397.8716667,-0.0533333,-,-
1781904963000,14026.6346875,-0.1291667,-,-
1781905014000,13290.3452083,-0.0583333,-,-
1781905065000,13895.1236979,-0.05,-,-
1781905116000,13249.151875,-0.02,-,-
1781905167000,13421.0951562,-0.03,-,-
1781905218000,13922.3817708,-0.068076,-,-
1781905269000,13305.288125,-0.099955,-,-
1781905320000,15401.4447917,-0.261969,-,-
1781905371000,14727.1220833,-0.903462,-,-
1781905422000,13448.1794792,-0.3283333,-,-
1781905473000,13750.2224479,-0.0311377,-,-
1781905524000,13744.8910417,-0.0192016,-,-
1781905575000,13109.0317708,-0.0071607,-,-
