timestamp,Active (GiBy),Inactive (GiBy),Active(anon) (GiBy),Inactive(anon) (GiBy),Active(file) (GiBy),Inactive(file) (GiBy),Unevictable (GiBy),Mlocked (GiBy),anomaly%,annotations
03:14:27,1.0687,1.7485,0.7602,0.0695,0.3085,1.6789,0.0263,0.0263,-,-
03:15:18,1.063,1.7539,0.7545,0.0695,0.3085,1.6843,0.0263,0.0263,-,-
03:16:09,1.0585,1.7438,0.75,0.0695,0.3085,1.6743,0.0263,0.0263,-,-
03:17:00,1.0478,1.6847,0.7393,0.0695,0.3085,1.6152,0.0263,0.0263,-,-
03:17:51,1.056,1.6785,0.7475,0.0695,0.3085,1.609,0.0263,0.0263,-,-
03:18:42,1.0641,1.6847,0.7556,0.0695,0.3085,1.6152,0.0263,0.0263,-,-
03:19:33,1.0772,1.6916,0.7687,0.0695,0.3085,1.6221,0.0263,0.0263,-,-
03:20:24,1.0861,1.7265,0.7775,0.0695,0.3085,1.657,0.0263,0.0263,-,-
03:21:15,1.0883,1.7743,0.7797,0.0695,0.3085,1.7048,0.0263,0.0263,-,-
03:22:06,1.0934,1.7744,0.7848,0.0695,0.3086,1.705,0.0263,0.0263,-,-
03:22:57,1.0985,1.775,0.7899,0.0694,0.3086,1.7056,0.0263,0.0263,-,-
03:23:48,1.0972,1.7832,0.7886,0.0693,0.3086,1.7139,0.0263,0.0263,-,-
03:24:39,1.0907,1.7868,0.7821,0.0693,0.3086,1.7175,0.0263,0.0263,-,-
03:25:30,1.0861,1.7877,0.7774,0.0693,0.3087,1.7184,0.0263,0.0263,-,-
03:26:21,1.0763,1.788,0.7676,0.0693,0.3087,1.7188,0.0263,0.0263,-,-
03:27:12,1.06,1.7887,0.7512,0.0693,0.3087,1.7194,0.0263,0.0263,-,-
03:28:03,1.0607,1.7896,0.752,0.0693,0.3087,1.7203,0.0263,0.0263,-,-
03:28:54,1.1186,1.7985,0.8099,0.0693,0.3087,1.7292,0.0263,0.0263,-,-
03:29:45,1.1394,1.8045,0.8299,0.0693,0.3094,1.7352,0.0263,0.0263,-,-
03:30:36,1.1451,1.8066,0.8353,0.0693,0.3097,1.7373,0.0263,0.0263,-,-
03:31:27,1.1221,1.8072,0.8123,0.0693,0.3098,1.7379,0.0263,0.0263,-,-
03:32:18,1.0868,1.8078,0.7769,0.0693,0.3099,1.7385,0.0263,0.0263,-,-
03:33:09,1.0723,1.8099,0.7624,0.0693,0.3099,1.7406,0.0263,0.0263,-,-
03:34:00,1.0751,1.8184,0.7652,0.0693,0.3099,1.7491,0.0263,0.0263,-,-
03:34:51,1.0735,1.824,0.7636,0.0693,0.31,1.7547,0.0263,0.0263,-,-
03:35:42,1.0724,1.8254,0.7624,0.0693,0.31,1.7561,0.0263,0.0263,-,-
03:36:33,1.0735,1.8261,0.7634,0.0693,0.31,1.7568,0.0263,0.0263,-,-
03:37:24,1.0753,1.8267,0.7652,0.0693,0.3101,1.7574,0.0263,0.0263,-,-
03:38:15,1.0763,1.8297,0.7662,0.0693,0.3101,1.7605,0.0263,0.0263,-,-
03:39:06,1.0767,1.8383,0.7665,0.0693,0.3101,1.769,0.0263,0.0263,-,-
03:39:57,1.0759,1.8439,0.7657,0.0693,0.3102,1.7746,0.0263,0.0263,-,-
03:40:48,1.1102,1.8461,0.8001,0.0693,0.3102,1.7768,0.0263,0.0263,-,-
03:41:39,1.1184,1.8462,0.8082,0.0693,0.3102,1.7769,0.0263,0.0263,-,-
03:42:30,1.1384,1.8464,0.8281,0.0693,0.3102,1.7771,0.0263,0.0263,-,-
03:43:21,1.1568,1.8503,0.8465,0.0693,0.3103,1.781,0.0263,0.0263,-,-
03:44:12,1.1532,1.8582,0.843,0.0693,0.3103,1.789,0.0263,0.0263,-,-
03:45:03,1.1505,1.8637,0.8402,0.0693,0.3103,1.7944,0.0263,0.0263,-,-
03:45:54,1.1196,1.8642,0.8094,0.0693,0.3103,1.7949,0.0263,0.0263,-,-
03:46:45,1.0891,1.8645,0.7788,0.0693,0.3103,1.7952,0.0263,0.0263,-,-
03:47:36,1.0806,1.8648,0.7703,0.0693,0.3103,1.7955,0.0263,0.0263,-,-
03:48:27,1.0837,1.8696,0.7734,0.0693,0.3103,1.8003,0.0263,0.0263,-,-
03:49:18,1.0882,1.8772,0.7779,0.0693,0.3103,1.808,0.0263,0.0263,-,-
03:50:09,1.0966,1.8819,0.7863,0.0693,0.3103,1.8126,0.0263,0.0263,-,-
03:51:00,1.1312,1.8825,0.8209,0.0693,0.3103,1.8132,0.0263,0.0263,-,-
03:51:51,1.1287,1.883,0.8184,0.0692,0.3103,1.8137,0.0263,0.0263,-,-
03:52:42,1.1855,1.9224,0.8738,0.0692,0.3118,1.8532,0.0263,0.0263,-,-
03:53:33,1.1509,1.9454,0.8597,0.0784,0.2913,1.8669,0.0263,0.0263,-,-
03:54:24,1.0928,1.9546,0.8234,0.0878,0.2695,1.8668,0.0263,0.0263,-,-
03:55:15,1.0801,1.9613,0.8173,0.0906,0.2629,1.8707,0.0263,0.0263,-,-
03:56:06,1.0815,1.9619,0.8182,0.0906,0.2633,1.8713,0.0263,0.0263,-,-
03:56:57,1.0471,1.9625,0.7838,0.0906,0.2633,1.8719,0.0263,0.0263,-,-
03:57:48,1.0344,1.9629,0.7711,0.0906,0.2633,1.8724,0.0263,0.0263,-,-
03:58:39,1.043,1.9698,0.7797,0.0906,0.2633,1.8792,0.0263,0.0263,-,-
03:59:30,1.0559,1.9553,0.7853,0.0882,0.2706,1.8671,0.0263,0.0263,-,-
04:00:21,1.0845,1.9246,0.802,0.0846,0.2825,1.84,0.0263,0.0263,-,-
04:01:12,1.1235,1.9002,0.8353,0.0832,0.2882,1.8171,0.0263,0.0263,-,-
04:02:03,1.1148,1.8964,0.8381,0.0865,0.2767,1.8099,0.0263,0.0263,-,-
04:02:54,1.067,1.9009,0.7994,0.088,0.2676,1.813,0.0263,0.0263,-,-
04:03:45,1.0539,1.9083,0.7873,0.0872,0.2666,1.8211,0.0263,0.0263,-,-
04:04:36,1.0529,1.9145,0.7863,0.0869,0.2667,1.8277,0.0263,0.0263,-,-
04:05:27,1.0539,1.9175,0.7872,0.0869,0.2667,1.8306,0.0263,0.0263,-,-
04:06:18,1.0503,1.9181,0.7836,0.0869,0.2667,1.8312,0.0263,0.0263,-,-
04:07:09,1.0438,1.9187,0.7771,0.0869,0.2667,1.8318,0.0263,0.0263,-,-
04:08:00,1.0541,1.9191,0.7874,0.0869,0.2667,1.8322,0.0263,0.0263,-,-
04:08:51,1.0382,1.928,0.7714,0.0869,0.2668,1.8411,0.0263,0.0263,-,-
04:09:42,1.0531,1.9342,0.7863,0.0869,0.2668,1.8473,0.0263,0.0263,-,-
