timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781900067000,7.3259928,0.0015641,-,-
1781900118000,0.3067057,0.0000391,-,-
1781900169000,0.2951042,0.0001204,-,-
1781900220000,0.3145833,0.0000651,-,-
1781900271000,0.2481217,0.0000098,-,-
1781900322000,6.5416797,0.0008203,-,-
1781900373000,4.5287337,0.0008496,-,-
1781900424000,0.7102865,0.0003516,-,-
1781900475000,0.6461263,0,-,-
1781900526000,0.2854818,0.0000195,-,-
1781900577000,0.3651693,0.0001855,-,-
1781900628000,7.1426172,0.0000391,-,-
1781900679000,3.3210059,0,-,-
1781900730000,0.3249349,0.0000977,-,-
1781900781000,0.3868978,0.000127,-,-
1781900832000,0.4916927,0.0003516,-,-
1781900883000,0.6809668,0.0017057,-,-
1781900934000,7.9520638,0.0008203,-,-
1781900985000,2.7549479,0.000179,-,-
1781901036000,0.5419661,0,-,-
1781901087000,0.3373275,0.0003223,-,-
1781901138000,0.2754297,0.0005013,-,-
1781901189000,1.3261328,0,-,-
1781901240000,6.8973958,0,-,-
1781901291000,1.4229753,0.000332,-,-
1781901342000,0.388724,0.0001172,-,-
1781901393000,0.4091341,0,-,-
1781901444000,0.3744531,0.0002604,-,-
1781901495000,2.4715007,0.0005697,-,-
1781901546000,8.2236849,0.000293,-,-
1781901597000,0.762832,0.0000163,-,-
1781901648000,1.5879167,0.0008854,-,-
1781901699000,0.9390625,0.001276,-,-
1781901750000,0.5032227,0.0011719,-,-
1781901801000,3.5978939,0.0006348,-,-
1781901852000,7.415,0,-,-
1781901903000,0.3140625,0.0000488,-,-
1781901954000,0.2786458,0.0008789,-,-
1781902005000,0.224235,0.0006348,-,-
1781902056000,0.2260807,0.0009505,-,-
1781902107000,4.4918555,0.0019108,-,-
1781902158000,6.8666016,0.0019141,-,-
1781902209000,0.3262142,0.0002441,-,-
1781902260000,0.6013021,0.0016276,-,-
1781902311000,0.3542708,0.0012402,-,-
1781902362000,3.7162044,0.0013542,-,-
1781902413000,6.102015,0.002793,-,-
1781902464000,4.3084115,0.0030208,-,-
1781902515000,0.436084,0.0014486,-,-
1781902566000,0.3049154,0.0007031,-,-
1781902617000,0.3400553,0.0005924,-,-
1781902668000,0.3051953,0.0005859,-,-
1781902719000,6.4674089,0.0002897,-,-
1781902770000,5.037207,0.0007161,-,-
1781902821000,2.6872754,0.0010286,-,-
1781902872000,5.7723958,0.0004297,-,-
1781902923000,0.2717741,0.0000618,-,-
1781902974000,0.4825586,0.0000065,-,-
1781903025000,6.3433431,0.0003906,-,-
1781903076000,3.5358984,0.0002474,-,-
1781903127000,0.3493066,0.0000651,-,-
1781903178000,0.355612,0.0000456,-,-
1781903229000,0.4013477,0,-,-
1781903280000,0.285026,0,-,-
1781903331000,7.3956413,0.0016602,-,-
1781903382000,2.7761523,0.0011328,-,-
1781903433000,0.2699089,0.0003516,-,-
1781903484000,0.2826302,0.000625,-,-
1781903535000,0.3125,0.0013021,-,-
1781903586000,1.2332682,0.0005404,-,-
1781903637000,8.430599,0.0007064,-,-
1781903688000,2.0901693,0.0004036,-,-
1781903739000,0.3269401,0.0002409,-,-
1781903790000,0.3163086,0.0003255,-,-
1781903841000,0.3151563,0.0008431,-,-
1781903892000,2.0509245,0.00125,-,-
1781903943000,8.7746745,0,-,-
1781903994000,1.3283203,0,-,-
1781904045000,40.2581868,0.0624512,-,-
1781904096000,37.8576042,0.0346354,-,-
1781904147000,15.256097,0.0012174,-,-
1781904198000,0.3594076,0.0000195,-,-
1781904249000,0.2841634,0.0003092,-,-
1781904300000,0.3884766,0.0016927,-,-
1781904351000,6.9040918,0.0026335,-,-
1781904402000,3.6393034,0.0023893,-,-
1781904453000,0.8666862,0.0013542,-,-
1781904504000,0.1565495,0.0003906,-,-
1781904555000,0.2141276,0.0001953,-,-
