timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
06:00:09,0.3785,0.3895,0.4995,-,-
06:00:18,0.359,0.383,0.49,-,-
06:00:27,0.344,0.378,0.49,-,-
06:00:36,0.288,0.369,0.489,-,-
06:00:45,0.25,0.35,0.48,-,-
06:00:54,0.2405,0.35,0.48,-,-
06:01:03,0.252,0.349,0.473,-,-
06:01:12,0.31,0.362,0.48,-,-
06:01:21,0.327,0.359,0.479,-,-
06:01:30,0.27,0.35,0.47,-,-
06:01:39,0.242,0.34,0.466,-,-
06:01:48,0.2222,0.3361,0.46,-,-
06:01:57,0.27,0.338,0.46,-,-
06:02:06,0.543,0.391,0.48,-,-
06:02:15,0.53,0.39,0.48,-,-
06:02:24,0.4785,0.3895,0.47,-,-
06:02:33,0.429,0.377,0.47,-,-
06:02:42,0.36,0.362,0.462,-,-
06:02:51,0.367,0.369,0.46,-,-
06:03:00,0.47,0.39,0.47,-,-
06:03:09,0.508,0.3995,0.47,-,-
06:03:18,0.47,0.39,0.47,-,-
06:03:27,0.424,0.388,0.468,-,-
06:03:36,0.367,0.37,0.46,-,-
06:03:45,0.31,0.36,0.45,-,-
06:03:54,0.304,0.358,0.45,-,-
06:04:03,0.3283,0.3661,0.45,-,-
06:04:12,0.296,0.352,0.45,-,-
06:04:21,0.367,0.369,0.45,-,-
06:04:30,0.31,0.36,0.45,-,-
06:04:39,0.282,0.346,0.446,-,-
06:04:48,0.2583,0.34,0.44,-,-
06:04:57,0.276,0.34,0.44,-,-
06:05:06,0.325,0.351,0.441,-,-
06:05:15,0.34,0.35,0.44,-,-
06:05:24,0.309,0.3495,0.44,-,-
06:05:33,0.284,0.337,0.44,-,-
06:05:42,0.234,0.328,0.43,-,-
06:05:51,0.196,0.311,0.43,-,-
06:06:00,0.23,0.32,0.43,-,-
06:06:09,0.2205,0.3152,0.43,-,-
06:06:18,0.177,0.3,0.42,-,-
06:06:27,0.148,0.29,0.418,-,-
06:06:36,0.129,0.28,0.41,-,-
06:06:45,0.11,0.27,0.41,-,-
06:06:54,0.1433,0.2748,0.41,-,-
06:07:03,0.161,0.277,0.407,-,-
06:07:12,0.208,0.276,0.404,-,-
06:07:21,0.4795,0.3399,0.42,-,-
06:07:30,0.44,0.33,0.42,-,-
06:07:39,0.358,0.316,0.41,-,-
06:07:48,0.304,0.307,0.41,-,-
06:07:57,0.256,0.298,0.408,-,-
06:08:06,0.218,0.289,0.4,-,-
06:08:15,0.83,0.41,0.44,-,-
06:08:24,0.736,0.4,0.436,-,-
06:08:33,0.6381,0.3896,0.43,-,-
06:08:42,0.582,0.38,0.43,-,-
06:08:51,0.5,0.371,0.421,-,-
06:09:00,0.46,0.37,0.42,-,-
06:09:09,0.796,0.446,0.45,-,-
06:09:18,0.682,0.427,0.44,-,-
06:09:27,0.58,0.418,0.44,-,-
06:09:36,0.496,0.4,0.43,-,-
06:09:45,0.42,0.39,0.43,-,-
06:09:54,0.4057,0.3852,0.43,-,-
06:10:03,0.321,0.367,0.42,-,-
06:10:12,0.432,0.388,0.428,-,-
06:10:21,0.367,0.379,0.42,-,-
06:10:30,0.3362,0.3687,0.42,-,-
06:10:39,0.302,0.36,0.416,-,-
06:10:48,0.311,0.36,0.417,-,-
06:10:57,0.266,0.348,0.41,-,-
