timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1781910009000,0.3784774,0.3894925,0.4994925,-,-
1781910018000,0.359,0.383,0.49,-,-
1781910027000,0.344,0.378,0.49,-,-
1781910036000,0.288,0.369,0.489,-,-
1781910045000,0.25,0.35,0.48,-,-
1781910054000,0.2404783,0.35,0.48,-,-
1781910063000,0.252,0.349,0.473,-,-
1781910072000,0.31,0.362,0.48,-,-
1781910081000,0.327,0.359,0.479,-,-
1781910090000,0.27,0.35,0.47,-,-
1781910099000,0.242,0.34,0.466,-,-
1781910108000,0.2222249,0.3361124,0.46,-,-
1781910117000,0.27,0.338,0.46,-,-
1781910126000,0.543,0.391,0.48,-,-
1781910135000,0.53,0.39,0.48,-,-
1781910144000,0.4784779,0.3894926,0.47,-,-
1781910153000,0.429,0.377,0.47,-,-
1781910162000,0.36,0.362,0.462,-,-
1781910171000,0.367,0.369,0.46,-,-
1781910180000,0.47,0.39,0.47,-,-
1781910189000,0.5079699,0.3994925,0.47,-,-
1781910198000,0.47,0.39,0.47,-,-
1781910207000,0.424,0.388,0.468,-,-
1781910216000,0.367,0.37,0.46,-,-
1781910225000,0.31,0.36,0.45,-,-
1781910234000,0.304,0.358,0.45,-,-
1781910243000,0.3283362,0.366112,0.45,-,-
1781910252000,0.296,0.352,0.45,-,-
1781910261000,0.367,0.369,0.45,-,-
1781910270000,0.31,0.36,0.45,-,-
1781910279000,0.282,0.346,0.446,-,-
1781910288000,0.2583357,0.34,0.44,-,-
1781910297000,0.276,0.34,0.44,-,-
1781910306000,0.325,0.351,0.441,-,-
1781910315000,0.34,0.35,0.44,-,-
1781910324000,0.308985,0.3494925,0.44,-,-
1781910333000,0.284,0.337,0.44,-,-
1781910342000,0.234,0.328,0.43,-,-
1781910351000,0.196,0.311,0.43,-,-
1781910360000,0.23,0.32,0.43,-,-
1781910369000,0.2204776,0.3152388,0.43,-,-
1781910378000,0.177,0.3,0.42,-,-
1781910387000,0.148,0.29,0.418,-,-
1781910396000,0.129,0.28,0.41,-,-
1781910405000,0.11,0.27,0.41,-,-
1781910414000,0.1433264,0.2747609,0.41,-,-
1781910423000,0.161,0.277,0.407,-,-
1781910432000,0.208,0.276,0.404,-,-
1781910441000,0.4794925,0.3398731,0.42,-,-
1781910450000,0.44,0.33,0.42,-,-
1781910459000,0.358,0.316,0.41,-,-
1781910468000,0.304,0.307,0.41,-,-
1781910477000,0.256,0.298,0.408,-,-
1781910486000,0.218,0.289,0.4,-,-
1781910495000,0.83,0.41,0.44,-,-
1781910504000,0.736,0.4,0.436,-,-
1781910513000,0.6380973,0.3896195,0.43,-,-
1781910522000,0.582,0.38,0.43,-,-
1781910531000,0.5,0.371,0.421,-,-
1781910540000,0.46,0.37,0.42,-,-
1781910549000,0.796,0.446,0.45,-,-
1781910558000,0.682,0.427,0.44,-,-
1781910567000,0.58,0.418,0.44,-,-
1781910576000,0.496,0.4,0.43,-,-
1781910585000,0.42,0.39,0.43,-,-
1781910594000,0.4057162,0.3852387,0.43,-,-
1781910603000,0.321,0.367,0.42,-,-
1781910612000,0.432,0.388,0.428,-,-
1781910621000,0.367,0.379,0.42,-,-
1781910630000,0.3361934,0.3687311,0.42,-,-
1781910639000,0.302,0.36,0.416,-,-
1781910648000,0.311,0.36,0.417,-,-
1781910657000,0.266,0.348,0.41,-,-
1781910666000,0.2297462,0.3398731,0.4098731,-,-
1781910675000,0.21,0.33,0.4,-,-
1781910684000,0.328,0.35,0.41,-,-
1781910693000,0.274,0.34,0.407,-,-
1781910702000,0.25397,0.336985,0.4,-,-
1781910711000,0.216,0.319,0.399,-,-
1781910720000,0.17,0.31,0.39,-,-
1781910729000,0.184,0.304,0.39,-,-
1781910738000,0.204,0.307,0.39,-,-
1781910747000,0.248,0.316,0.386,-,-
1781910756000,0.515,0.369,0.409,-,-
1781910765000,0.4661953,0.36,0.4,-,-
1781910774000,0.52,0.376,0.408,-,-
1781910783000,0.528,0.387,0.41,-,-
1781910792000,0.452,0.37,0.408,-,-
1781910801000,0.387,0.359,0.4,-,-
1781910810000,0.33,0.35,0.4,-,-
1781910819000,0.468072,0.3785667,0.4095222,-,-
1781910828000,0.539,0.403,0.41,-,-
1781910837000,0.528,0.402,0.412,-,-
1781910846000,0.506,0.4,0.41,-,-
1781910855000,0.43,0.39,0.41,-,-
1781910864000,0.452,0.392,0.41,-,-
1781910873000,0.5584774,0.4196194,0.42,-,-
1781910882000,0.512,0.408,0.418,-,-
1781910891000,0.397,0.389,0.41,-,-
1781910900000,0.34,0.38,0.4,-,-
1781910909000,0.378,0.386,0.406,-,-
1781910918000,0.324,0.37,0.4,-,-
1781910927000,0.3250756,0.3730151,0.4,-,-
1781910936000,0.328,0.37,0.4,-,-
1781910945000,0.28,0.36,0.4,-,-
1781910954000,0.302,0.36,0.396,-,-
1781910963000,0.334,0.367,0.397,-,-
1781910972000,0.310955,0.36,0.39,-,-
1781910981000,0.268,0.349,0.39,-,-
1781910990000,0.22,0.34,0.39,-,-
1781910999000,0.182,0.326,0.38,-,-
1781911008000,0.157,0.317,0.377,-,-
1781911017000,0.232,0.322,0.38,-,-
1781911026000,0.2757173,0.33,0.38,-,-
1781911035000,0.22,0.32,0.37,-,-
1781911044000,0.224,0.314,0.37,-,-
1781911053000,0.314,0.33,0.377,-,-
1781911062000,0.266,0.32,0.37,-,-
1781911071000,0.2297463,0.31,0.3698732,-,-
1781911080000,0.21,0.31,0.36,-,-
1781911089000,0.388,0.346,0.376,-,-
1781911098000,0.355,0.336,0.37,-,-
1781911107000,0.432,0.358,0.38,-,-
1781911116000,0.367,0.34,0.37,-,-
1781911125000,0.3361948,0.3387316,0.37,-,-
1781911134000,0.302,0.33,0.37,-,-
1781911143000,0.311,0.33,0.367,-,-
1781911152000,0.314,0.33,0.364,-,-
1781911161000,0.446,0.359,0.37,-,-
1781911170000,0.46,0.36,0.38,-,-
1781911179000,0.5552233,0.3838058,0.3847612,-,-
1781911188000,0.572,0.393,0.383,-,-
1781911197000,0.54,0.398,0.388,-,-
1781911206000,0.4914326,0.3878582,0.38,-,-
1781911215000,0.67,0.43,0.39,-,-
1781911224000,0.544,0.41,0.39,-,-
