timestamp,some 10 (percent),some 60 (percent),some 300 (percent),anomaly%,annotations
1781894016000,-,-,-,-,-
1781894112000,-,-,-,-,-
1781894208000,0,0,0,-,-
1781894304000,0,0,0,-,-
1781894400000,0,0,0,-,-
1781894496000,0,0,0,-,-
1781894592000,0.7724296,0.5115508,0.1557049,-,-
1781894688000,1.3185494,1.06059,0.4258926,-,-
1781894784000,8.1248544,5.5955362,2.0604026,-,-
1781894880000,35.1630737,22.4872884,7.6001363,-,-
1781894976000,36.9460946,32.9789909,15.8210006,-,-
1781895072000,37.4628385,36.3867627,21.7629842,-,-
1781895168000,34.5681453,35.7352376,25.739974,-,-
1781895264000,29.5854606,32.7525277,27.756842,-,-
1781895360000,27.3068359,27.870223,27.5094462,-,-
1781895456000,35.963946,33.5263254,29.5461656,-,-
1781895552000,19.6383502,24.6531082,27.7379817,-,-
1781895648000,4.4146549,12.352034,23.0633655,-,-
1781895744000,0.0594064,3.4646276,17.1278703,-,-
1781895840000,0.0210917,0.5724758,12.1641317,-,-
1781895936000,0.0087499,0.1781252,8.8738265,-,-
1781896032000,0.0022658,0.033715,6.4139617,-,-
1781896128000,0,0.0019,4.5990323,-,-
1781896224000,0.0083846,0.004492,3.2768056,-,-
1781896320000,0.041923,0.0224602,2.3283211,-,-
1781896416000,0.0418117,0.0296244,1.7016904,-,-
1781896512000,0.0169882,0.0218154,1.2305341,-,-
1781896608000,0.0241233,0.0212522,0.8809539,-,-
1781896704000,0.0477223,0.0278059,0.6260817,-,-
1781896800000,0.0001244,0.019,0.4460797,-,-
1781896896000,0.0000249,0.0038,0.3151144,-,-
1781896992000,0,0,0.2169478,-,-
1781897088000,0,0,0.145098,-,-
1781897184000,0,0,0.0932572,-,-
1781897280000,0,0,0.0552911,-,-
1781897376000,0,0,0.0318244,-,-
1781897472000,0,0,0.0116577,-,-
1781897568000,0,0,0.0012746,-,-
1781897664000,0,0,0,-,-
1781897760000,0,0,0,-,-
1781897856000,0,0,0,-,-
1781897952000,0,0,0,-,-
1781898048000,0,0,0,-,-
1781898144000,0,0,0,-,-
1781898240000,0,0,0,-,-
1781898336000,0,0,0,-,-
1781898432000,0,0,0,-,-
1781898528000,0,0,0,-,-
1781898624000,0,0,0,-,-
1781898720000,0,0,0,-,-
1781898816000,0,0,0,-,-
1781898912000,0,0,0,-,-
1781899008000,0,0,0,-,-
1781899104000,0,0,0,-,-
1781899200000,0,0,0,-,-
1781899296000,0,0,0,-,-
1781899392000,0,0,0,-,-
1781899488000,0,0,0,-,-
1781899584000,0,0,0,-,-
1781899680000,0,0,0,-,-
1781899776000,0,0,0,-,-
1781899872000,0,0,0,-,-
1781899968000,0,0,0,-,-
1781900064000,0,0,0,-,-
1781900160000,0,0,0,-,-
1781900256000,0,0,0,-,-
1781900352000,0,0,0,-,-
1781900448000,0,0,0,-,-
1781900544000,0,0,0,-,-
1781900640000,0,0,0,-,-
1781900736000,0,0,0,-,-
1781900832000,0,0,0,-,-
1781900928000,0,0,0,-,-
1781901024000,0,0,0,-,-
1781901120000,0,0,0,-,-
1781901216000,0,0,0,-,-
1781901312000,0,0,0,-,-
1781901408000,0,0,0,-,-
1781901504000,0,0,0,-,-
1781901600000,0,0,0,-,-
1781901696000,0,0,0,-,-
1781901792000,0,0,0,-,-
1781901888000,0,0,0,-,-
1781901984000,0,0,0,-,-
1781902080000,0,0,0,-,-
1781902176000,0,0,0,-,-
1781902272000,0,0,0,-,-
1781902368000,0.0409161,0.0193868,0.0042676,-,-
1781902464000,0.0819322,0.0453399,0.0107516,-,-
1781902560000,0.0005,0.0328309,0.0110821,-,-
1781902656000,0.0001,0.0065662,0.0022164,-,-
1781902752000,0,0,0,-,-
1781902848000,0,0,0,-,-
1781902944000,0,0,0,-,-
1781903040000,0,0,0,-,-
1781903136000,0,0,0,-,-
1781903232000,0,0,0,-,-
1781903328000,0,0,0,-,-
1781903424000,0,0,0,-,-
1781903520000,0,0,0,-,-
1781903616000,0,0,0,-,-
1781903712000,0,0,0,-,-
1781903808000,0,0,0,-,-
1781903904000,0,0,0,-,-
1781904000000,0,0,0,-,-
1781904096000,0.2751524,0.1795722,0.0499358,-,-
1781904192000,0.1376762,0.1527324,0.0752172,-,-
1781904288000,0.0001,0.0652459,0.0686493,-,-
