timestamp,in (kibibytes per second),out (kibibytes per second),anomaly%,annotations
1781900067000,6.615,-518.1739954,-,-
1781900118000,7.6285479,-89.7317415,-,-
1781900169000,5.2355006,-85.8744491,-,-
1781900220000,6.2826182,-90.2708333,-,-
1781900271000,4.2917117,-74.3428585,-,-
1781900322000,6.5905166,-487.3776066,-,-
1781900373000,4.8701645,-383.431783,-,-
1781900424000,548.08,-152.8338444,-,-
1781900475000,1027.25,-132.5064168,-,-
1781900526000,9.0733333,-71.56,-,-
1781900577000,2.8966667,-81.9866667,-,-
1781900628000,2.64,-530.5767708,-,-
1781900679000,4.9482355,-284.8053988,-,-
1781900730000,5.8666667,-88.4812012,-,-
1781900781000,6.0850978,-85.22,-,-
1781900832000,6.7066667,-84.1802881,-,-
1781900883000,5.1766667,-105.5346301,-,-
1781900934000,3.6466667,-592.298855,-,-
1781900985000,3.1666667,-237.0943481,-,-
1781901036000,3.3202038,-95.5591895,-,-
1781901087000,3.4389229,-87.4644377,-,-
1781901138000,4.8442067,-85.0066667,-,-
1781901189000,8.9866667,-180.5418717,-,-
1781901240000,13.0666667,-667.1680339,-,-
1781901291000,8.8166667,-177.9487838,-,-
1781901342000,10.4933333,-90.1192806,-,-
1781901393000,9.0622456,-99.6676599,-,-
1781901444000,6.5014226,-97.6295378,-,-
1781901495000,6.1863318,-225.2666667,-,-
1781901546000,7.34,-597.3155037,-,-
1781901597000,4.5633333,-108.1306189,-,-
1781901648000,1.4133333,-189.506984,-,-
1781901699000,1.5333333,-129.667922,-,-
1781901750000,1.6441912,-86.4,-,-
1781901801000,1.0165147,-286.8178178,-,-
1781901852000,0.5292941,-540.3466667,-,-
1781901903000,0.5993447,-92.7406258,-,-
1781901954000,0.5882045,-75.864598,-,-
1781902005000,1.3565531,-85.2625203,-,-
1781902056000,1.8052425,-80.861097,-,-
1781902107000,1.1533333,-335.7684513,-,-
1781902158000,0.56,-481.16,-,-
1781902209000,1.19,-79.8523161,-,-
1781902260000,0,-91.1043294,-,-
1781902311000,0.1133333,-83.5603027,-,-
1781902362000,14.18,-1050.6353678,-,-
1781902413000,42.7866667,-1020.7533333,-,-
1781902464000,36.76,-429.8503646,-,-
1781902515000,3.2333333,-89.0962891,-,-
1781902566000,11.66,-88.1424756,-,-
1781902617000,0.8366667,-90.9904321,-,-
1781902668000,0.7333333,-81.3585579,-,-
1781902719000,0.3033333,-450.57948,-,-
1781902770000,0,-367.0999959,-,-
1781902821000,17.15,-130.636956,-,-
1781902872000,39.3066667,-192.4192285,-,-
1781902923000,0.8933333,-89.2481205,-,-
1781902974000,7.0133333,-88.1196362,-,-
1781903025000,12.8333333,-498.1241597,-,-
1781903076000,13.3733333,-307.4546354,-,-
1781903127000,11.43,-92.59,-,-
1781903178000,7.2664985,-94.0454744,-,-
1781903229000,1.9718297,-86.4716626,-,-
1781903280000,8.111672,-79.092863,-,-
1781903331000,5.4100841,-568.5572628,-,-
1781903382000,2.6933333,-260.0288118,-,-
1781903433000,9.69,-107.778265,-,-
1781903484000,10.12,-106.3962565,-,-
1781903535000,0.75,-85.55,-,-
1781903586000,0.04,-147.36,-,-
1781903637000,0.38,-619.62,-,-
1781903688000,2.8879213,-206.1733333,-,-
1781903739000,8.523696,-98.9989071,-,-
1781903790000,5.645049,-96.8333333,-,-
1781903841000,0.1133333,-92.5444263,-,-
1781903892000,0.68,-205.2533333,-,-
1781903943000,2.6033333,-631.559316,-,-
1781903994000,2.66,-159.4010213,-,-
1781904045000,2220.5328776,-7115.6202779,-,-
1781904096000,7019.3155208,-3913.4189909,-,-
1781904147000,5352.2546354,-159.2595365,-,-
1781904198000,5.42,-85.8318774,-,-
1781904249000,2.4933333,-90.112856,-,-
1781904300000,6.8,-96.4188558,-,-
1781904351000,149.6772249,-352.4770325,-,-
1781904402000,58.7969879,-387.5857975,-,-
1781904453000,5.2424468,-228.2033333,-,-
1781904504000,2.1866667,-105.5158919,-,-
1781904555000,3.6166667,-113.1472961,-,-
1781904606000,7.96,-171.2570256,-,-
1781904657000,10.4533333,-630.5717843,-,-
1781904708000,2.12,-215.7400326,-,-
1781904759000,0.4333333,-109.8134269,-,-
1781904810000,0.5666667,-102.478654,-,-
1781904861000,1.3066667,-97.3204321,-,-
1781904912000,2.5333333,-218.9852279,-,-
1781904963000,1.1566667,-642.5620431,-,-
1781905014000,0.42,-153.4744572,-,-
