timestamp,free (GiBy),used (GiBy),cached (GiBy),buffers (GiBy),anomaly%,annotations
01:20:00,0.9254,1.2453,1.5818,0.0249,-,-
01:20:51,0.9161,1.247,1.5891,0.0252,-,-
01:21:42,0.9229,1.234,1.5949,0.0255,-,-
01:22:33,0.9061,1.2504,1.5952,0.0257,-,-
01:23:24,0.8626,1.2932,1.5956,0.026,-,-
01:24:15,0.8628,1.2924,1.596,0.0262,-,-
01:25:06,0.861,1.2889,1.601,0.0265,-,-
01:25:57,0.849,1.2935,1.6082,0.0268,-,-
01:26:48,0.8458,1.2913,1.6132,0.027,-,-
01:27:39,0.8676,1.2689,1.6136,0.0273,-,-
01:28:30,0.8761,1.2597,1.614,0.0275,-,-
01:29:21,0.8927,1.2426,1.6144,0.0277,-,-
01:30:12,0.8956,1.2338,1.62,0.028,-,-
01:31:03,0.8633,1.2575,1.6282,0.0284,-,-
01:31:54,0.8341,1.2817,1.6326,0.0289,-,-
01:32:45,0.8275,1.2883,1.6323,0.0293,-,-
01:33:36,0.8252,1.2901,1.6326,0.0295,-,-
01:34:27,0.8708,1.2437,1.6331,0.0297,-,-
01:35:18,0.8733,1.2345,1.6396,0.03,-,-
01:36:09,0.8388,1.2615,1.6469,0.0303,-,-
01:37:00,0.8253,1.2714,1.6502,0.0305,-,-
01:37:51,0.8236,1.2728,1.6503,0.0308,-,-
01:38:42,0.8097,1.2866,1.65,0.031,-,-
01:39:33,0.8029,1.2914,1.6519,0.0313,-,-
01:40:24,0.7662,1.2937,1.6859,0.0315,-,-
01:41:15,0.7191,1.3162,1.7103,0.0318,-,-
01:42:06,0.726,1.3021,1.7173,0.032,-,-
01:42:57,0.7676,1.2599,1.7177,0.0322,-,-
01:43:48,0.8026,1.2243,1.7181,0.0325,-,-
01:44:39,0.7907,1.2344,1.7196,0.0327,-,-
01:45:30,0.7061,1.3117,1.7266,0.033,-,-
01:46:21,0.7003,1.3071,1.7368,0.0333,-,-
01:47:12,0.7,1.3036,1.7403,0.0335,-,-
01:48:03,0.6829,1.3196,1.7412,0.0337,-,-
01:48:54,0.6789,1.323,1.7416,0.0339,-,-
01:49:45,0.6898,1.3052,1.7483,0.0341,-,-
01:50:36,0.6719,1.3012,1.7699,0.0344,-,-
01:51:27,0.6345,1.319,1.789,0.0349,-,-
01:52:18,0.6319,1.3208,1.7893,0.0353,-,-
01:53:09,0.6577,1.295,1.7891,0.0356,-,-
01:54:00,0.6787,1.2738,1.789,0.0359,-,-
01:54:51,0.6857,1.2637,1.7918,0.0361,-,-
01:55:42,0.671,1.271,1.799,0.0364,-,-
01:56:33,0.6108,1.324,1.806,0.0366,-,-
01:57:24,0.5885,1.3464,1.8057,0.0368,-,-
01:58:15,0.5555,1.3675,1.8174,0.0371,-,-
01:59:06,0.5032,1.4062,1.8307,0.0373,-,-
01:59:57,0.4996,1.3995,1.8407,0.0376,-,-
02:00:48,0.5385,1.3532,1.8479,0.0378,-,-
02:01:39,0.5386,1.3411,1.8596,0.0381,-,-
02:02:30,0.4234,1.4247,1.891,0.0383,-,-
02:03:21,0.3271,1.4825,1.9292,0.0385,-,-
02:04:12,0.3643,1.4652,1.9097,0.0382,-,-
02:05:03,0.447,1.3977,1.8935,0.0392,-,-
02:05:54,0.4902,1.3539,1.893,0.0402,-,-
02:06:45,0.4857,1.3527,1.8985,0.0405,-,-
02:07:36,0.4932,1.3446,1.899,0.0407,-,-
02:08:27,0.4642,1.3731,1.8992,0.0409,-,-
02:09:18,0.494,1.3429,1.8994,0.0411,-,-
02:10:09,0.4996,1.3317,1.9049,0.0412,-,-
02:11:00,0.5041,1.3139,1.9179,0.0416,-,-
02:11:51,0.4807,1.3266,1.928,0.042,-,-
02:12:42,0.4167,1.39,1.9282,0.0425,-,-
02:13:33,0.3784,1.4283,1.9279,0.0427,-,-
02:14:24,0.4069,1.4105,1.9171,0.0429,-,-
02:15:15,0.4561,1.3692,1.909,0.0432,-,-
02:16:06,0.4602,1.3618,1.9119,0.0434,-,-
02:16:57,0.4489,1.3692,1.9156,0.0436,-,-
02:17:48,0.4532,1.3642,1.9161,0.0439,-,-
02:18:39,0.4799,1.337,1.9165,0.044,-,-
02:19:30,0.511,1.3053,1.9169,0.0442,-,-
02:20:21,0.5386,1.2705,1.9239,0.0444,-,-
02:21:12,0.5158,1.2857,1.9313,0.0447,-,-
02:22:03,0.4827,1.3157,1.9341,0.0449,-,-
02:22:54,0.448,1.3498,1.9346,0.0451,-,-
02:23:45,0.4269,1.3702,1.935,0.0453,-,-
02:24:36,0.4482,1.3477,1.9361,0.0455,-,-
02:25:27,0.4989,1.2897,1.9431,0.0457,-,-
02:26:18,0.4924,1.2886,1.9505,0.0459,-,-
02:27:09,0.5008,1.278,1.9525,0.0462,-,-
02:28:00,0.512,1.2661,1.9529,0.0464,-,-
02:28:51,0.5068,1.2705,1.9534,0.0466,-,-
02:29:42,0.4968,1.2811,1.9527,0.0468,-,-
