timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1781900067000,585.3318555,1159.4569727,2071.9919141,51.2778516,-,-
1781900118000,578.3135482,1160.7767839,2077.4428906,51.5253906,-,-
1781900169000,582.8241634,1166.7883008,2066.6963346,51.74986,-,-
1781900220000,642.4658854,1169.2033854,2004.4470052,51.9423828,-,-
1781900271000,663.7415625,1154.4713802,1997.7168424,52.1288184,-,-
1781900322000,633.6746549,1178.0091406,2004.0581771,52.3167122,-,-
1781900373000,619.435918,1185.01375,2011.0667188,52.5422656,-,-
1781900424000,584.6090755,1183.9426042,2046.5094792,52.997487,-,-
1781900475000,530.5741211,1188.915918,2095.0232422,53.5454102,-,-
1781900526000,524.9242318,1194.3303516,2095.0522396,53.7517839,-,-
1781900577000,514.6479753,1203.9150977,2095.5294792,53.9661654,-,-
1781900628000,480.47,1229.4517188,2103.8552604,54.2815885,-,-
1781900679000,491.0966602,1214.9919987,2107.4052214,54.5646908,-,-
1781900730000,507.0303385,1198.0314453,2108.1950521,54.8017904,-,-
1781900781000,526.1245215,1178.523776,2108.4004557,55.00986,-,-
1781900832000,544.1792969,1159.815026,2108.8498177,55.214401,-,-
1781900883000,513.0200488,1189.9807617,2109.6255013,55.4322786,-,-
1781900934000,448.0768945,1245.5301432,2118.7870182,55.6644792,-,-
1781900985000,444.423584,1242.196224,2125.5544922,55.8842773,-,-
1781901036000,441.613737,1242.4618229,2127.8719792,56.1109766,-,-
1781901087000,455.0907324,1228.2661719,2128.3638346,56.3377539,-,-
1781901138000,478.2235417,1204.4305729,2128.8310286,56.5734049,-,-
1781901189000,487.0807389,1193.2940365,2130.8522656,56.8315625,-,-
1781901240000,493.7900391,1177.6341146,2139.5421875,57.0923177,-,-
1781901291000,515.4520345,1150.069987,2145.2115104,57.3250716,-,-
1781901342000,490.9497591,1173.0835938,2146.4686458,57.5565951,-,-
1781901393000,499.9891341,1163.2766732,2146.9886393,57.8041471,-,-
1781901444000,504.5386589,1157.957526,2147.5007031,58.0617578,-,-
1781901495000,484.802474,1174.4734375,2150.4673177,58.3154948,-,-
1781901546000,482.2309635,1168.0342188,2159.2373438,58.5561719,-,-
1781901597000,474.8696094,1169.5071094,2164.889401,58.7923568,-,-
1781901648000,445.061849,1196.8760417,2166.7652083,59.3555208,-,-
1781901699000,440.5890397,1201.210026,2166.5910937,59.668457,-,-
1781901750000,408.7853516,1232.7898438,2166.5919271,59.8914388,-,-
1781901801000,375.0803385,1262.3470443,2170.5114388,60.1197298,-,-
1781901852000,373.3849219,1255.7075,2178.6003646,60.3657943,-,-
1781901903000,370.8997721,1252.4357096,2184.1013151,60.6217318,-,-
1781901954000,399.0499349,1223.7886068,2184.3671615,60.8528255,-,-
1781902005000,426.3123047,1196.1966797,2184.4608398,61.0887533,-,-
1781902056000,420.8530208,1201.3009896,2184.6207813,61.2838802,-,-
1781902107000,418.4498372,1198.6249349,2189.4889323,61.494873,-,-
1781902158000,424.8926172,1184.1478906,2197.3052083,61.7127018,-,-
1781902209000,415.9798796,1188.1767383,2202.0088151,61.8930599,-,-
1781902260000,386.2781901,1217.2016927,2202.4867187,62.0920573,-,-
1781902311000,382.551748,1220.4194076,2202.7773568,62.3099251,-,-
1781902362000,291.1655729,1268.4601823,2246.7623958,61.6703385,-,-
1781902413000,311.9736589,1254.0373503,2243.4152604,58.6322949,-,-
1781902464000,359.6336198,1228.8570052,2223.3994792,56.1684115,-,-
1781902515000,352.0998372,1239.1843099,2220.8334635,55.9408203,-,-
1781902566000,339.7045378,1250.4896875,2221.6154167,56.2489062,-,-
1781902617000,381.3687598,1208.183151,2222.0961979,56.4106055,-,-
1781902668000,396.3823568,1192.6742187,2222.3861458,56.6157943,-,-
1781902719000,377.847028,1204.0036849,2229.3977604,56.8100326,-,-
1781902770000,365.8921875,1220.6847005,2224.8509115,56.6307943,-,-
1781902821000,359.2769434,1242.6973828,2209.7772656,56.3070671,-,-
1781902872000,349.6392318,1269.8180729,2192.4948698,56.1064714,-,-
1781902923000,359.7436426,1279.1000781,2173.4184505,55.7964193,-,-
1781902974000,387.2284701,1257.7495833,2167.2796354,55.8008464,-,-
1781903025000,413.109196,1224.5313151,2174.4119141,56.0061035,-,-
1781903076000,395.641237,1235.0978646,2181.1234375,56.1959896,-,-
1781903127000,389.8277865,1237.8173698,2183.994668,56.418763,-,-
1781903178000,402.4211393,1224.6303906,2184.3464714,56.660638,-,-
1781903229000,397.8149219,1228.5775781,2184.8154427,56.8506803,-,-
1781903280000,380.7777344,1245.140625,2185.1213542,57.0190755,-,-
1781903331000,382.3076237,1234.1875781,2194.2949349,57.2685417,-,-
1781903382000,343.2108073,1266.7099089,2200.6120052,57.5258464,-,-
1781903433000,364.9195671,1241.9120247,2203.3062891,57.9206836,-,-
