timestamp,received (K packets/s),sent (K packets/s),delivered (K packets/s),anomaly%,annotations
03:14:27,0.0331,-0.029,0.0331,-,-
03:15:18,0.0341,-0.029,0.0341,-,-
03:16:09,0.0329,-0.0284,0.0329,-,-
03:17:00,0.0317,-0.0279,0.0317,-,-
03:17:51,0.0331,-0.0274,0.0331,-,-
03:18:42,0.0329,-0.0276,0.0329,-,-
03:19:33,0.0323,-0.028,0.0323,-,-
03:20:24,0.1218,-0.0576,0.1218,-,-
03:21:15,0.2002,-0.0833,0.2002,-,-
03:22:06,0.0314,-0.0275,0.0314,-,-
03:22:57,0.0336,-0.028,0.0336,-,-
03:23:48,0.0334,-0.0281,0.0334,-,-
03:24:39,0.032,-0.0274,0.032,-,-
03:25:30,0.0324,-0.0273,0.0324,-,-
03:26:21,0.0336,-0.0279,0.0336,-,-
03:27:12,0.0332,-0.0281,0.0332,-,-
03:28:03,0.0319,-0.0273,0.0319,-,-
03:28:54,0.0331,-0.0282,0.0331,-,-
03:29:45,0.033,-0.0284,0.033,-,-
03:30:36,0.0324,-0.0279,0.0324,-,-
03:31:27,0.0328,-0.0281,0.0328,-,-
03:32:18,0.0336,-0.0287,0.0336,-,-
03:33:09,0.0335,-0.0286,0.0335,-,-
03:34:00,0.033,-0.0283,0.033,-,-
03:34:51,0.0333,-0.0284,0.0333,-,-
03:35:42,0.0318,-0.0271,0.0318,-,-
03:36:33,0.0324,-0.0271,0.0324,-,-
03:37:24,0.0332,-0.0273,0.0332,-,-
03:38:15,0.0325,-0.0273,0.0325,-,-
03:39:06,0.0321,-0.0279,0.0321,-,-
03:39:57,0.033,-0.0278,0.033,-,-
03:40:48,0.3007,-0.1159,0.3007,-,-
03:41:39,0.1502,-0.0664,0.1502,-,-
03:42:30,0.0333,-0.0278,0.0333,-,-
03:43:21,0.0327,-0.0278,0.0327,-,-
03:44:12,0.0317,-0.0277,0.0317,-,-
03:45:03,0.0331,-0.0277,0.0331,-,-
03:45:54,0.0317,-0.0278,0.0317,-,-
