timestamp,received (packets per second),sent (packets per second),delivered (packets per second),anomaly%,annotations
1781900067000,33.0537935,-28.9912054,33.0537935,-,-
1781900118000,34.1366838,-29.0396828,34.1366838,-,-
1781900169000,32.9323821,-28.3699403,32.9323821,-,-
1781900220000,31.7273214,-27.8827657,31.7273214,-,-
1781900271000,33.1016627,-27.4061902,33.1016627,-,-
1781900322000,32.916664,-27.6490857,32.916664,-,-
1781900373000,32.2720456,-27.9814655,32.2720456,-,-
1781900424000,121.7608927,-57.6452397,121.7608927,-,-
1781900475000,200.2119344,-83.3009669,200.2119344,-,-
1781900526000,31.4204879,-27.5423352,31.4204879,-,-
1781900577000,33.5794899,-27.9961043,33.5794899,-,-
1781900628000,33.420922,-28.1021505,33.420922,-,-
1781900679000,31.9776031,-27.4071265,31.9776031,-,-
1781900730000,32.4199148,-27.3309672,32.4199148,-,-
1781900781000,33.5635081,-27.8725189,33.5635081,-,-
1781900832000,33.1661902,-28.0827136,33.1661902,-,-
1781900883000,31.9268206,-27.2520533,31.9268206,-,-
1781900934000,33.1459926,-28.2350128,33.1459926,-,-
1781900985000,32.994222,-28.4074743,32.994222,-,-
1781901036000,32.4172347,-27.8876432,32.4172347,-,-
1781901087000,32.7992339,-28.0583883,32.7992339,-,-
1781901138000,33.6175722,-28.6943056,33.6175722,-,-
1781901189000,33.451075,-28.6176478,33.451075,-,-
1781901240000,33.0167643,-28.3388713,33.0167643,-,-
1781901291000,33.257001,-28.3619837,33.257001,-,-
1781901342000,31.8144037,-27.1103548,31.8144037,-,-
1781901393000,32.4248321,-27.052227,32.4248321,-,-
1781901444000,33.1581303,-27.3216516,33.1581303,-,-
1781901495000,32.5331965,-27.3168543,32.5331965,-,-
1781901546000,32.0637726,-27.8528221,32.0637726,-,-
1781901597000,33.0372899,-27.8135334,33.0372899,-,-
1781901648000,300.654432,-115.8687809,300.654432,-,-
1781901699000,150.1879306,-66.3723333,150.1879306,-,-
1781901750000,33.3278147,-27.8417603,33.3278147,-,-
1781901801000,32.7473532,-27.7779831,32.7473532,-,-
1781901852000,31.7176115,-27.7087012,31.7176115,-,-
1781901903000,33.148405,-27.7246786,33.148405,-,-
1781901954000,31.7135476,-27.7773212,31.7135476,-,-
1781902005000,32.8992711,-28.3798859,32.8992711,-,-
1781902056000,33.5806445,-28.1585421,33.5806445,-,-
1781902107000,32.6934357,-27.8379478,32.6934357,-,-
1781902158000,31.9167788,-27.9017086,31.9167788,-,-
1781902209000,33.134302,-28.0943777,33.134302,-,-
1781902260000,33.4885274,-27.6885335,33.4885274,-,-
1781902311000,31.9640768,-27.6986864,31.9640768,-,-
1781902362000,37.1038977,-31.3557778,37.1038977,-,-
1781902413000,34.9212311,-29.6068851,34.9212311,-,-
1781902464000,32.0633195,-27.354408,32.0633195,-,-
1781902515000,33.3638585,-28.2153066,33.3638585,-,-
1781902566000,33.3957556,-28.6851017,33.3957556,-,-
1781902617000,32.0407707,-28.3267017,32.0407707,-,-
1781902668000,33.2504569,-28.3327075,33.2504569,-,-
1781902719000,33.1174371,-28.1224426,33.1174371,-,-
1781902770000,32.3194265,-27.9415283,32.3194265,-,-
1781902821000,474.6572703,-181.9472728,474.6572703,-,-
1781902872000,1146.8425651,-414.080306,1146.8425651,-,-
1781902923000,519.8904502,-189.5815666,519.8904502,-,-
1781902974000,83.8673621,-44.8705745,83.8673621,-,-
1781903025000,33.1091161,-27.8906906,33.1091161,-,-
1781903076000,32.2520597,-27.9588721,32.2520597,-,-
1781903127000,32.2712321,-28.084514,32.2712321,-,-
1781903178000,33.0925087,-28.2363141,33.0925087,-,-
1781903229000,32.9824981,-28.3291826,32.9824981,-,-
1781903280000,32.9776611,-28.3055583,32.9776611,-,-
1781903331000,33.4504235,-28.4900639,33.4504235,-,-
1781903382000,32.6035765,-28.2768746,32.6035765,-,-
1781903433000,33.0671477,-28.6518032,33.0671477,-,-
1781903484000,33.9124841,-28.8824097,33.9124841,-,-
1781903535000,33.7555578,-28.5083639,33.7555578,-,-
1781903586000,32.7932501,-28.2278194,32.7932501,-,-
1781903637000,33.9645301,-29.1724276,33.9645301,-,-
1781903688000,33.1095081,-28.799775,33.1095081,-,-
1781903739000,32.2566136,-28.1785908,32.2566136,-,-
1781903790000,32.5636363,-27.8148743,32.5636363,-,-
1781903841000,32.6105195,-27.5567858,32.6105195,-,-
1781903892000,31.8510604,-27.4754806,31.8510604,-,-
1781903943000,33.2869588,-28.4501826,33.2869588,-,-
1781903994000,34.1983846,-28.9273651,34.1983846,-,-
1781904045000,33.2635824,-28.6371343,33.2635824,-,-
1781904096000,691.0955583,-328.7442765,691.0955583,-,-
1781904147000,1495.450931,-591.7190186,1495.450931,-,-
1781904198000,1800.0071745,-626.7841439,1800.0071745,-,-
1781904249000,1450.6694401,-524.0458203,1450.6694401,-,-
1781904300000,1351.9567708,-493.527832,1351.9567708,-,-
1781904351000,1726.7024023,-585.7306689,1726.7024023,-,-
1781904402000,1512.6309115,-524.481862,1512.6309115,-,-
1781904453000,1202.8664974,-429.6620394,1202.8664974,-,-
1781904504000,641.5208993,-238.8050586,641.5208993,-,-
1781904555000,32.5496775,-28.0051122,32.5496775,-,-
1781904606000,33.3735337,-27.7303786,33.3735337,-,-
1781904657000,33.7132484,-28.2206902,33.7132484,-,-
1781904708000,32.3777108,-27.4412622,32.3777108,-,-
1781904759000,32.808062,-27.6904919,32.808062,-,-
1781904810000,32.9584422,-27.8656657,32.9584422,-,-
1781904861000,32.4572941,-27.4745625,32.4572941,-,-
1781904912000,32.2520671,-26.9904395,32.2520671,-,-
1781904963000,33.1089179,-27.4442971,33.1089179,-,-
1781905014000,31.6598558,-27.2557621,31.6598558,-,-
1781905065000,32.997143,-27.9456985,32.997143,-,-
1781905116000,33.0627856,-27.4963363,33.0627856,-,-
1781905167000,32.6896183,-27.5688736,32.6896183,-,-
1781905218000,33.1479057,-28.4721816,33.1479057,-,-
1781905269000,70.0040727,-40.3374227,70.0040727,-,-
1781905320000,271.4730469,-104.2009359,271.4730469,-,-
1781905371000,68.4207592,-39.6891075,68.4207592,-,-
1781905422000,33.9425051,-28.7101251,33.9425051,-,-
1781905473000,32.8152971,-27.7905362,32.8152971,-,-
1781905524000,32.237686,-27.3776139,32.237686,-,-
1781905575000,33.4136597,-27.8662099,33.4136597,-,-
1781905626000,33.0897618,-27.1271307,33.0897618,-,-
1781905677000,31.6992028,-26.8085762,31.6992028,-,-
1781905728000,32.5892281,-27.5260291,32.5892281,-,-
1781905779000,32.3191239,-27.4991006,32.3191239,-,-
1781905830000,32.399705,-27.8690918,32.399705,-,-
1781905881000,33.4193879,-28.6941406,33.4193879,-,-
1781905932000,34.1502071,-28.9514364,34.1502071,-,-
1781905983000,32.2370498,-27.4993791,32.2370498,-,-
1781906034000,33.7247469,-28.4391935,33.7247469,-,-
1781906085000,34.3002599,-28.8002604,34.3002599,-,-
1781906136000,33.303256,-28.5365279,33.303256,-,-
1781906187000,33.1448301,-28.3778788,33.1448301,-,-
1781906238000,34.0972152,-28.7366685,34.0972152,-,-
1781906289000,34.1452092,-29.0261524,34.1452092,-,-
1781906340000,31.4439189,-27.0996847,31.4439189,-,-
1781906391000,33.0841429,-27.8563925,33.0841429,-,-
1781906442000,32.3184814,-27.3512461,32.3184814,-,-
1781906493000,241.8534358,-93.7071681,241.8534358,-,-
1781906544000,261.8944303,-100.4911702,261.8944303,-,-
1781906595000,33.9041718,-28.833342,33.9041718,-,-
1781906646000,32.996723,-28.6017247,32.996723,-,-
1781906697000,33.9598782,-28.1907097,33.9598782,-,-
1781906748000,33.9943941,-28.6154126,33.9943941,-,-
1781906799000,32.5988533,-28.0634589,32.5988533,-,-
1781906850000,33.0779022,-28.1612366,33.0779022,-,-
1781906901000,33.7377197,-28.4066862,33.7377197,-,-
1781906952000,33.0244246,-28.2444246,33.0244246,-,-
1781907003000,34.360121,-29.1178927,34.360121,-,-
1781907054000,33.8791132,-28.4856706,33.8791132,-,-
1781907105000,32.8304921,-28.3320297,32.8304921,-,-
1781907156000,33.4564054,-28.8187183,33.4564054,-,-
1781907207000,34.2143943,-29.0510083,34.2143943,-,-
1781907258000,33.8596739,-28.8018563,33.8596739,-,-
1781907309000,32.9764942,-28.6276878,32.9764942,-,-
1781907360000,34.6054932,-29.1609334,34.6054932,-,-
1781907411000,34.1571489,-28.7346952,34.1571489,-,-
1781907462000,34.0157981,-28.8915525,34.0157981,-,-
1781907513000,33.9797237,-28.8430724,33.9797237,-,-
1781907564000,33.5486987,-28.6779126,33.5486987,-,-
1781907615000,33.0123077,-28.4793523,33.0123077,-,-
1781907666000,65.7761721,-38.159539,65.7761721,-,-
1781907717000,341.7545826,-123.8169366,341.7545826,-,-
1781907768000,99.0168197,-49.7899349,99.0168197,-,-
1781907819000,33.9871241,-28.69347,33.9871241,-,-
1781907870000,33.5051656,-27.7247325,33.5051656,-,-
1781907921000,32.6954424,-27.4215468,32.6954424,-,-
1781907972000,32.0665767,-27.4130973,32.0665767,-,-
1781908023000,33.0427196,-27.7157188,33.0427196,-,-
1781908074000,31.5091001,-27.0413529,31.5091001,-,-
1781908125000,32.9069443,-27.9027751,32.9069443,-,-
1781908176000,33.3533455,-27.9866801,33.3533455,-,-
1781908227000,32.4632382,-27.4614129,32.4632382,-,-
1781908278000,31.9163546,-27.177876,31.9163546,-,-
1781908329000,33.0149448,-27.6257049,33.0149448,-,-
1781908380000,32.9452718,-27.8983215,32.9452718,-,-
1781908431000,32.0851898,-27.1463953,32.0851898,-,-
1781908482000,32.44341,-27.1641571,32.44341,-,-
1781908533000,31.8788914,-27.1880568,31.8788914,-,-
1781908584000,31.949613,-27.3662842,31.949613,-,-
1781908635000,33.0176865,-27.6510203,33.0176865,-,-
1781908686000,32.8316052,-27.4421454,32.8316052,-,-
1781908737000,31.2262964,-26.4931292,31.2262964,-,-
1781908788000,32.6396415,-27.0163753,32.6396415,-,-
1781908839000,33.45743,-27.7750949,33.45743,-,-
1781908890000,171.6732666,-86.4440043,171.6732666,-,-
1781908941000,701.1916097,-256.7266113,701.1916097,-,-
1781908992000,1149.2468974,-377.2102336,1149.2468974,-,-
1781909043000,32.8449645,-27.5594351,32.8449645,-,-
1781909094000,32.1465212,-27.5738076,32.1465212,-,-
1781909145000,32.7531026,-27.3933787,32.7531026,-,-
1781909196000,32.7900277,-27.7588013,32.7900277,-,-
1781909247000,32.4538398,-27.8594752,32.4538398,-,-
1781909298000,32.3482463,-27.7179049,32.3482463,-,-
1781909349000,32.4785928,-27.7049542,32.4785928,-,-
1781909400000,31.2560832,-26.5394104,31.2560832,-,-
1781909451000,33.2757238,-27.8365597,33.2757238,-,-
1781909502000,33.9641382,-28.1446143,33.9641382,-,-
1781909553000,33.3572613,-28.1170606,33.3572613,-,-
1781909604000,33.1798804,-28.2378459,33.1798804,-,-
1781909655000,33.816775,-28.5468633,33.816775,-,-
1781909706000,33.5850244,-28.5754466,33.5850244,-,-
1781909757000,32.0349953,-27.4823288,32.0349953,-,-
1781909808000,32.9757605,-27.6705945,32.9757605,-,-
1781909859000,32.2367041,-27.1629721,32.2367041,-,-
1781909910000,32.7027466,-27.3306468,32.7027466,-,-
1781909961000,33.6278678,-27.9669071,33.6278678,-,-
1781910012000,33.3055013,-28.2163725,33.3055013,-,-
1781910063000,33.2281236,-28.5483585,33.2281236,-,-
1781910114000,44.0098458,-37.5922032,44.0098458,-,-
1781910165000,236.3819244,-92.0764058,236.3819244,-,-
1781910216000,139.1601851,-60.4867082,139.1601851,-,-
1781910267000,33.0129312,-28.1080762,33.0129312,-,-
1781910318000,34.1869275,-28.6209668,34.1869275,-,-
1781910369000,33.6364518,-28.2547773,33.6364518,-,-
1781910420000,33.3317993,-28.3240214,33.3317993,-,-
1781910471000,33.9611334,-28.809062,33.9611334,-,-
1781910522000,33.1077926,-28.6183346,33.1077926,-,-
1781910573000,33.4827736,-28.6923747,33.4827736,-,-
1781910624000,33.954248,-28.5875098,33.954248,-,-
1781910675000,33.1052648,-27.8760981,33.1052648,-,-
1781910726000,31.5307395,-27.0129865,31.5307395,-,-
1781910777000,33.1601846,-27.7831969,33.1601846,-,-
1781910828000,32.458894,-27.5498657,32.458894,-,-
