timestamp,avail (GiBy),anomaly%,annotations
03:14:27,2.621,-,-
03:15:18,2.6273,-,-
03:16:09,2.6344,-,-
03:17:00,2.6277,-,-
03:17:51,2.6306,-,-
03:18:42,2.6226,-,-
03:19:33,2.6194,-,-
03:20:24,2.6107,-,-
03:21:15,2.597,-,-
03:22:06,2.5967,-,-
03:22:57,2.6003,-,-
03:23:48,2.6001,-,-
03:24:39,2.6039,-,-
03:25:30,2.6069,-,-
03:26:21,2.6071,-,-
03:27:12,2.6068,-,-
03:28:03,2.6103,-,-
03:28:54,2.6123,-,-
03:29:45,2.608,-,-
03:30:36,2.606,-,-
03:31:27,2.6044,-,-
03:32:18,2.6019,-,-
03:33:09,2.5996,-,-
03:34:00,2.5996,-,-
03:34:51,2.6004,-,-
03:35:42,2.6068,-,-
03:36:33,2.6053,-,-
03:37:24,2.6036,-,-
03:38:15,2.6076,-,-
03:39:06,2.6119,-,-
03:39:57,2.6093,-,-
03:40:48,2.6089,-,-
03:41:39,2.6158,-,-
03:42:30,2.6189,-,-
03:43:21,2.6212,-,-
03:44:12,2.6248,-,-
03:45:03,2.6187,-,-
03:45:54,2.6348,-,-
03:46:45,2.6282,-,-
03:47:36,2.6282,-,-
03:48:27,2.6281,-,-
03:49:18,2.6238,-,-
03:50:09,2.6195,-,-
03:51:00,2.6186,-,-
03:51:51,2.6345,-,-
03:52:42,2.6105,-,-
03:53:33,2.5899,-,-
03:54:24,2.5879,-,-
03:55:15,2.6002,-,-
03:56:06,2.613,-,-
03:56:57,2.6137,-,-
03:57:48,2.6094,-,-
03:58:39,2.6099,-,-
03:59:30,2.6071,-,-
04:00:21,2.5855,-,-
04:01:12,2.5618,-,-
04:02:03,2.6019,-,-
04:02:54,2.6161,-,-
04:03:45,2.6124,-,-
04:04:36,2.6099,-,-
04:05:27,2.6107,-,-
04:06:18,2.6134,-,-
04:07:09,2.6153,-,-
04:08:00,2.6107,-,-
04:08:51,2.6102,-,-
04:09:42,2.6087,-,-
04:10:33,2.6086,-,-
04:11:24,2.6106,-,-
04:12:15,2.6111,-,-
04:13:06,2.605,-,-
04:13:57,2.6061,-,-
04:14:48,2.6058,-,-
04:15:39,2.6132,-,-
04:16:30,2.6174,-,-
04:17:21,2.6189,-,-
04:18:12,2.6207,-,-
04:19:03,2.619,-,-
04:19:54,2.6186,-,-
04:20:45,2.6093,-,-
04:21:36,2.5861,-,-
04:22:27,2.553,-,-
04:23:18,2.5309,-,-
04:24:09,2.5359,-,-
04:25:00,2.5376,-,-
04:25:51,2.5349,-,-
04:26:42,2.5414,-,-
04:27:33,2.5558,-,-
04:28:24,2.5821,-,-
04:29:15,2.6051,-,-
04:30:06,2.5984,-,-
04:30:57,2.6032,-,-
04:31:48,2.6035,-,-
04:32:39,2.6026,-,-
04:33:30,2.6019,-,-
04:34:21,2.6002,-,-
04:35:12,2.6006,-,-
04:36:03,2.6136,-,-
04:36:54,2.6153,-,-
04:37:45,2.6116,-,-
04:38:36,2.6048,-,-
04:39:27,2.599,-,-
04:40:18,2.5984,-,-
04:41:09,2.6037,-,-
04:42:00,2.6079,-,-
04:42:51,2.6068,-,-
04:43:42,2.6184,-,-
04:44:33,2.6208,-,-
04:45:24,2.615,-,-
04:46:15,2.6082,-,-
04:47:06,2.6042,-,-
04:47:57,2.6083,-,-
04:48:48,2.6138,-,-
04:49:39,2.6076,-,-
04:50:30,2.5986,-,-
04:51:21,2.5945,-,-
04:52:12,2.5967,-,-
04:53:03,2.5996,-,-
04:53:54,2.6006,-,-
04:54:45,2.5994,-,-
04:55:36,2.6101,-,-
04:56:27,2.6163,-,-
04:57:18,2.6146,-,-
04:58:09,2.614,-,-
04:59:00,2.6135,-,-
04:59:51,2.6068,-,-
05:00:42,2.6045,-,-
05:01:33,2.5997,-,-
05:02:24,2.5937,-,-
05:03:15,2.5918,-,-
05:04:06,2.598,-,-
05:04:57,2.6067,-,-
05:05:48,2.6117,-,-
05:06:39,2.6088,-,-
05:07:30,2.6048,-,-
05:08:21,2.6026,-,-
05:09:12,2.6017,-,-
05:10:03,2.6015,-,-
05:10:54,2.5992,-,-
05:11:45,2.5971,-,-
05:12:36,2.597,-,-
05:13:27,2.5966,-,-
05:14:18,2.5975,-,-
05:15:09,2.6027,-,-
05:16:00,2.6086,-,-
