timestamp,avail (mebibytes),anomaly%,annotations
1781900067000,2683.8963281,-,-
1781900118000,2690.3796615,-,-
1781900169000,2697.6172005,-,-
1781900220000,2690.8098958,-,-
1781900271000,2693.7773698,-,-
1781900322000,2685.5357292,-,-
1781900373000,2682.2158724,-,-
1781900424000,2673.3755729,-,-
1781900475000,2659.325651,-,-
1781900526000,2659.0039583,-,-
1781900577000,2662.7342187,-,-
1781900628000,2662.4807292,-,-
1781900679000,2666.4434505,-,-
1781900730000,2669.5010417,-,-
1781900781000,2669.6985677,-,-
1781900832000,2669.3477083,-,-
1781900883000,2672.9829427,-,-
1781900934000,2674.9596354,-,-
1781900985000,2670.5513672,-,-
1781901036000,2668.5013021,-,-
1781901087000,2666.9256901,-,-
1781901138000,2664.3919271,-,-
1781901189000,2662.0068229,-,-
1781901240000,2661.9510417,-,-
1781901291000,2662.826276,-,-
1781901342000,2669.3230208,-,-
1781901393000,2667.839375,-,-
1781901444000,2666.0916667,-,-
1781901495000,2670.1871745,-,-
1781901546000,2674.5564063,-,-
1781901597000,2671.9059115,-,-
1781901648000,2671.5620833,-,-
1781901699000,2678.5682812,-,-
1781901750000,2681.7410156,-,-
1781901801000,2684.1110286,-,-
1781901852000,2687.8463021,-,-
1781901903000,2681.5089453,-,-
1781901954000,2698.0190885,-,-
1781902005000,2691.2673177,-,-
1781902056000,2691.2711458,-,-
1781902107000,2691.1476823,-,-
1781902158000,2686.7932292,-,-
1781902209000,2682.3434896,-,-
1781902260000,2681.4447917,-,-
1781902311000,2697.7222917,-,-
1781902362000,2673.154974,-,-
1781902413000,2652.0565104,-,-
1781902464000,2649.9586979,-,-
1781902515000,2662.6240885,-,-
1781902566000,2675.761901,-,-
1781902617000,2676.4784245,-,-
1781902668000,2672.0414062,-,-
1781902719000,2672.5323958,-,-
1781902770000,2669.6859375,-,-
1781902821000,2647.5364323,-,-
1781902872000,2623.329375,-,-
1781902923000,2664.3113672,-,-
1781902974000,2678.9191927,-,-
1781903025000,2675.0680339,-,-
1781903076000,2672.4933333,-,-
1781903127000,2673.3239193,-,-
1781903178000,2676.1201563,-,-
1781903229000,2678.0732161,-,-
1781903280000,2673.3276042,-,-
1781903331000,2672.7959115,-,-
1781903382000,2671.3285156,-,-
1781903433000,2671.160651,-,-
1781903484000,2673.2667188,-,-
1781903535000,2673.7761719,-,-
1781903586000,2667.5066667,-,-
1781903637000,2668.6125521,-,-
1781903688000,2668.3792708,-,-
1781903739000,2675.8754948,-,-
1781903790000,2680.2221354,-,-
1781903841000,2681.7227474,-,-
1781903892000,2683.5776042,-,-
1781903943000,2681.8308854,-,-
1781903994000,2681.4085417,-,-
1781904045000,2671.9203776,-,-
1781904096000,2648.1409375,-,-
1781904147000,2614.2420573,-,-
1781904198000,2591.6598177,-,-
1781904249000,2596.7252083,-,-
1781904300000,2598.4898438,-,-
1781904351000,2595.754349,-,-
1781904402000,2602.3494531,-,-
1781904453000,2617.1301823,-,-
1781904504000,2644.0859375,-,-
1781904555000,2667.6246094,-,-
1781904606000,2660.7685938,-,-
1781904657000,2665.6746875,-,-
1781904708000,2665.9405729,-,-
1781904759000,2665.0216797,-,-
1781904810000,2664.3532552,-,-
1781904861000,2662.6301823,-,-
1781904912000,2663.0579167,-,-
1781904963000,2676.3569922,-,-
1781905014000,2678.0696094,-,-
1781905065000,2674.2669922,-,-
1781905116000,2667.2916667,-,-
1781905167000,2661.3734766,-,-
1781905218000,2660.7271354,-,-
1781905269000,2666.1392578,-,-
1781905320000,2670.4833333,-,-
1781905371000,2669.3967057,-,-
1781905422000,2681.2894271,-,-
1781905473000,2683.6823958,-,-
1781905524000,2677.7813021,-,-
1781905575000,2670.825,-,-
1781905626000,2666.7422656,-,-
1781905677000,2670.8999609,-,-
1781905728000,2676.5382813,-,-
1781905779000,2670.210625,-,-
1781905830000,2661.0161458,-,-
1781905881000,2656.7707031,-,-
1781905932000,2659.0107813,-,-
1781905983000,2661.970612,-,-
1781906034000,2662.980651,-,-
1781906085000,2661.8090495,-,-
1781906136000,2672.7234375,-,-
1781906187000,2679.0482552,-,-
1781906238000,2677.3116146,-,-
1781906289000,2676.7033984,-,-
1781906340000,2676.2091146,-,-
