timestamp,Committed_AS (mebibytes),anomaly%,annotations
1781900067000,2352.0110482,-,-
1781900118000,2352.1764323,-,-
1781900169000,2352.1951693,-,-
1781900220000,2352.3375,-,-
1781900271000,2352.3270964,-,-
1781900322000,2353.4791667,-,-
1781900373000,2353.2532552,-,-
1781900424000,2360.6558854,-,-
1781900475000,2368.5491536,-,-
1781900526000,2355.9105729,-,-
1781900577000,2352.9014844,-,-
1781900628000,2354.2898958,-,-
1781900679000,2353.393099,-,-
1781900730000,2352.5454427,-,-
1781900781000,2352.5511849,-,-
1781900832000,2352.8341667,-,-
1781900883000,2352.890013,-,-
1781900934000,2354.774401,-,-
1781900985000,2353.1826172,-,-
1781901036000,2352.8025,-,-
1781901087000,2352.8147396,-,-
1781901138000,2352.7752344,-,-
1781901189000,2353.0305208,-,-
1781901240000,2352.7799479,-,-
1781901291000,2353.0090495,-,-
1781901342000,2354.5570312,-,-
1781901393000,2354.1250391,-,-
1781901444000,2353.1977604,-,-
1781901495000,2353.1723958,-,-
1781901546000,2353.289974,-,-
1781901597000,2353.2069661,-,-
1781901648000,2384.5170833,-,-
1781901699000,2367.1041667,-,-
1781901750000,2353.3595052,-,-
1781901801000,2353.2714974,-,-
1781901852000,2353.3908854,-,-
1781901903000,2353.3620182,-,-
1781901954000,2352.9598177,-,-
1781902005000,2363.9513672,-,-
1781902056000,2358.9720833,-,-
1781902107000,2353.3329557,-,-
1781902158000,2353.543125,-,-
1781902209000,2353.9806771,-,-
1781902260000,2355.8382812,-,-
1781902311000,2355.0783724,-,-
1781902362000,2356.4080729,-,-
1781902413000,2357.2284896,-,-
1781902464000,2356.466875,-,-
1781902515000,2355.5984375,-,-
1781902566000,2356.9302344,-,-
1781902617000,2355.2216016,-,-
1781902668000,2354.9113021,-,-
1781902719000,2354.9722656,-,-
1781902770000,2355.0052083,-,-
1781902821000,2388.6997656,-,-
1781902872000,2439.8152083,-,-
1781902923000,2391.9198047,-,-
1781902974000,2360.5408594,-,-
1781903025000,2355.6611328,-,-
1781903076000,2355.3638542,-,-
1781903127000,2355.3645313,-,-
1781903178000,2355.228099,-,-
1781903229000,2355.1420964,-,-
1781903280000,2355.4057292,-,-
1781903331000,2355.6726823,-,-
1781903382000,2355.6330208,-,-
1781903433000,2355.4998698,-,-
1781903484000,2355.3955208,-,-
1781903535000,2355.4429036,-,-
1781903586000,2355.6966927,-,-
1781903637000,2355.657513,-,-
1781903688000,2355.8727083,-,-
1781903739000,2355.9192969,-,-
1781903790000,2356.6145833,-,-
1781903841000,2356.8630729,-,-
1781903892000,2355.9963021,-,-
1781903943000,2355.8983073,-,-
1781903994000,2356.2192708,-,-
1781904045000,2356.2654297,-,-
1781904096000,2399.8483854,-,-
1781904147000,2462.8122526,-,-
1781904198000,2504.3006771,-,-
1781904249000,2504.6581901,-,-
1781904300000,2506.1242188,-,-
1781904351000,2504.7662109,-,-
1781904402000,2504.73,-,-
1781904453000,2479.2315885,-,-
1781904504000,2417.981875,-,-
1781904555000,2357.472526,-,-
1781904606000,2357.378099,-,-
1781904657000,2357.4752734,-,-
1781904708000,2357.8324479,-,-
1781904759000,2357.6674219,-,-
1781904810000,2357.5260417,-,-
1781904861000,2358.0304297,-,-
1781904912000,2358.7209375,-,-
1781904963000,2357.6825391,-,-
