timestamp,minor (K faults/s),major (K faults/s),anomaly%,annotations
03:14:27,1.29,0,-,-
03:15:18,1.36,0,-,-
03:16:09,1.32,0,-,-
03:17:00,1.31,0,-,-
03:17:51,1.36,0,-,-
03:18:42,1.35,0,-,-
03:19:33,1.32,0,-,-
03:20:24,1.96,0,-,-
03:21:15,2.53,0,-,-
03:22:06,1.27,0,-,-
03:22:57,1.4,0,-,-
03:23:48,1.32,0,-,-
03:24:39,1.34,0,-,-
03:25:30,1.33,0,-,-
03:26:21,1.32,0,-,-
03:27:12,1.35,0,-,-
03:28:03,1.31,0,-,-
03:28:54,1.33,0,-,-
03:29:45,1.31,0,-,-
03:30:36,1.35,0,-,-
03:31:27,1.34,0,-,-
03:32:18,1.32,0,-,-
03:33:09,1.38,0,-,-
03:34:00,1.34,0,-,-
03:34:51,1.38,0,-,-
03:35:42,1.33,0,-,-
03:36:33,1.34,0,-,-
03:37:24,1.4,0,-,-
03:38:15,1.39,0,-,-
03:39:06,1.29,0,-,-
03:39:57,1.35,0,-,-
03:40:48,2.78,-0,-,-
03:41:39,1.93,-0,-,-
03:42:30,1.32,0,-,-
03:43:21,1.33,0,-,-
03:44:12,1.29,0,-,-
03:45:03,1.38,0,-,-
03:45:54,1.32,0,-,-
03:46:45,1.41,0,-,-
03:47:36,1.35,0,-,-
03:48:27,1.32,0,-,-
03:49:18,1.36,0,-,-
03:50:09,1.37,0,-,-
03:51:00,1.33,0,-,-
03:51:51,1.34,0,-,-
03:52:42,1.53,0,-,-
03:53:33,1.44,0,-,-
03:54:24,1.33,0,-,-
03:55:15,1.33,0,-,-
03:56:06,1.29,0,-,-
03:56:57,1.36,0,-,-
03:57:48,1.32,0,-,-
03:58:39,1.37,0,-,-
03:59:30,1.36,0,-,-
04:00:21,2.05,-0,-,-
04:01:12,3,-0,-,-
04:02:03,1.35,0,-,-
04:02:54,1.35,0,-,-
04:03:45,1.37,0,-,-
04:04:36,1.35,0,-,-
04:05:27,1.35,0,-,-
04:06:18,1.38,0,-,-
04:07:09,1.37,0,-,-
04:08:00,1.33,0,-,-
04:08:51,1.39,0,-,-
04:09:42,1.33,0,-,-
04:10:33,1.36,0,-,-
04:11:24,1.37,0,-,-
04:12:15,1.32,0,-,-
04:13:06,1.37,0,-,-
04:13:57,1.36,0,-,-
04:14:48,1.36,0,-,-
04:15:39,1.41,0,-,-
04:16:30,1.39,0,-,-
04:17:21,1.35,0,-,-
04:18:12,1.39,0,-,-
04:19:03,1.41,0,-,-
04:19:54,1.36,0,-,-
04:20:45,1.39,0,-,-
04:21:36,3.62,0,-,-
04:22:27,3.33,0,-,-
04:23:18,1.15,0,-,-
04:24:09,1.15,-0,-,-
04:25:00,1.35,-0,-,-
04:25:51,1.15,-0,-,-
04:26:42,1.12,0,-,-
04:27:33,1.19,-0,-,-
04:28:24,1.32,-0,-,-
04:29:15,1.4,0,-,-
04:30:06,1.32,0,-,-
04:30:57,1.41,0,-,-
04:31:48,1.3,0,-,-
04:32:39,1.32,0,-,-
04:33:30,1.32,0,-,-
04:34:21,1.32,0,-,-
04:35:12,1.37,0,-,-
04:36:03,1.31,0,-,-
04:36:54,1.35,0,-,-
04:37:45,1.41,0,-,-
04:38:36,1.38,0,-,-
04:39:27,1.35,0,-,-
04:40:18,1.36,0,-,-
04:41:09,1.66,-0,-,-
04:42:00,3.16,-0,-,-
04:42:51,1.66,-0,-,-
04:43:42,1.37,-0,-,-
04:44:33,1.36,-0,-,-
04:45:24,1.35,0,-,-
04:46:15,1.34,0,-,-
04:47:06,1.34,0,-,-
04:47:57,1.3,0,-,-
04:48:48,1.36,0,-,-
04:49:39,1.34,0,-,-
04:50:30,1.38,0,-,-
04:51:21,1.4,0,-,-
04:52:12,1.35,0,-,-
04:53:03,1.46,0,-,-
04:53:54,1.39,0,-,-
04:54:45,1.34,0,-,-
04:55:36,1.41,0,-,-
04:56:27,1.41,0,-,-
04:57:18,1.36,0,-,-
04:58:09,1.36,0,-,-
04:59:00,1.37,0,-,-
04:59:51,1.36,0,-,-
05:00:42,1.35,0,-,-
05:01:33,2.34,-0,-,-
05:02:24,2.44,-0,-,-
05:03:15,1.38,0,-,-
05:04:06,1.34,0,-,-
05:04:57,1.32,0,-,-
05:05:48,1.38,0,-,-
05:06:39,1.36,0,-,-
05:07:30,1.35,0,-,-
05:08:21,1.37,0,-,-
05:09:12,1.4,0,-,-
05:10:03,1.34,0,-,-
05:10:54,1.43,0,-,-
05:11:45,1.37,0,-,-
05:12:36,1.36,0,-,-
05:13:27,1.34,0,-,-
05:14:18,1.33,0,-,-
05:15:09,1.37,0,-,-
05:16:00,1.38,0,-,-
05:16:51,1.33,0,-,-
05:17:42,1.34,0,-,-
05:18:33,1.38,0,-,-
05:19:24,1.36,0,-,-
05:20:15,1.33,0,-,-
05:21:06,1.56,0,-,-
05:21:57,3,0,-,-
05:22:48,1.75,0,-,-
05:23:39,1.38,0,-,-
05:24:30,1.36,0,-,-
05:25:21,1.35,0,-,-
05:26:12,1.35,0,-,-
05:27:03,1.39,0,-,-
05:27:54,1.34,0,-,-
05:28:45,1.36,0,-,-
05:29:36,1.34,0,-,-
05:30:27,1.36,0,-,-
05:31:18,1.38,0,-,-
05:32:09,1.34,0,-,-
