timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781900067000,0.049777,0,-,-
1781900118000,0.0458333,0.0000781,-,-
1781900169000,0.0455892,0.0002507,-,-
1781900220000,0.0209635,0.0001953,-,-
1781900271000,0.0341341,0.0000293,-,-
1781900322000,0.0315365,0.0001823,-,-
1781900373000,0.0561035,0.0001172,-,-
1781900424000,1.3028776,0.000599,-,-
1781900475000,2.3668783,0.001123,-,-
1781900526000,0.0464063,0,-,-
1781900577000,0.0446354,0,-,-
1781900628000,0.0502604,0,-,-
1781900679000,0.0458952,0,-,-
1781900730000,0.0492513,0.0007812,-,-
1781900781000,0.0546354,0.0010156,-,-
1781900832000,0.0517839,0,-,-
1781900883000,0.0483268,0,-,-
1781900934000,0.0453385,0,-,-
1781900985000,0.0445475,0.0005371,-,-
1781901036000,0.0480729,0.0003646,-,-
1781901087000,0.0508138,0.0003939,-,-
1781901138000,0.0473633,0.0005013,-,-
1781901189000,0.0395117,0.0001074,-,-
1781901240000,0.0453776,0.0007161,-,-
1781901291000,0.0425553,0.0007715,-,-
1781901342000,0.0568685,0.0002344,-,-
1781901393000,0.0543359,0,-,-
1781901444000,0.0474349,0.0001302,-,-
1781901495000,0.0486491,0.0002441,-,-
1781901546000,0.0495312,0.0000065,-,-
1781901597000,0.040013,0.0000618,-,-
1781901648000,5.4807552,0.000013,-,-
1781901699000,2.4268359,0.0004655,-,-
1781901750000,0.0499349,0.0003581,-,-
1781901801000,0.0472233,0,-,-
1781901852000,0.0432292,0,-,-
1781901903000,0.0481445,0,-,-
1781901954000,0.0608724,0,-,-
1781902005000,0.0802897,0,-,-
1781902056000,0.0577083,0,-,-
1781902107000,0.0425098,0,-,-
1781902158000,0.078099,0,-,-
1781902209000,0.1472461,0.0000195,-,-
1781902260000,0.1305339,0.0001302,-,-
1781902311000,0.0683887,0.0000195,-,-
1781902362000,0.0563737,0,-,-
1781902413000,0.0548503,0,-,-
1781902464000,0.0499349,0.000026,-,-
1781902515000,0.0493815,0.0000488,-,-
1781902566000,0.0636133,0.0000065,-,-
1781902617000,0.0443001,0.0000618,-,-
1781902668000,0.0563411,0.000013,-,-
1781902719000,0.0485905,0.0005078,-,-
1781902770000,0.0448242,0.0003906,-,-
1781902821000,6.6452116,0.0467122,-,-
1781902872000,15.141224,0.1067708,-,-
1781902923000,0.107627,0,-,-
1781902974000,0.0668424,0,-,-
1781903025000,0.0742025,0,-,-
1781903076000,0.0838021,0,-,-
1781903127000,0.0754297,0,-,-
1781903178000,0.0540365,0,-,-
1781903229000,0.0409733,0,-,-
1781903280000,0.0547526,0,-,-
1781903331000,0.0455664,0,-,-
1781903382000,0.0513737,0,-,-
1781903433000,0.0575651,0.0000716,-,-
1781903484000,0.055,0.0000781,-,-
1781903535000,0.0474935,0,-,-
1781903586000,0.0625911,0,-,-
1781903637000,0.1900911,0,-,-
1781903688000,0.0771224,0,-,-
1781903739000,0.0481055,0.0001693,-,-
1781903790000,0.0394206,0.0001302,-,-
1781903841000,0.0312142,0,-,-
1781903892000,0.0317318,0,-,-
1781903943000,0.0263704,0,-,-
1781903994000,0.0352799,0,-,-
1781904045000,0.0397949,0,-,-
1781904096000,36.6086068,0.0416406,-,-
1781904147000,33.57639,0.0382878,-,-
1781904198000,0.0745964,0.0001823,-,-
1781904249000,0.0800944,0.0003516,-,-
1781904300000,0.1097005,0.0023438,-,-
1781904351000,0.0814225,0.0003516,-,-
1781904402000,0.0481771,0.0001823,-,-
1781904453000,0.0382161,0.0002246,-,-
1781904504000,0.0488281,0.0002214,-,-
1781904555000,0.0587077,0.0001953,-,-
1781904606000,0.0495898,0.0000195,-,-
1781904657000,0.0588314,0.0001855,-,-
1781904708000,0.0795312,0.0000911,-,-
1781904759000,0.0721712,0.0000228,-,-
1781904810000,0.0717448,0,-,-
1781904861000,0.0766732,0.0002734,-,-
1781904912000,0.0746615,0.0007682,-,-
1781904963000,0.0767448,0.0007161,-,-
1781905014000,0.0820573,0.0007161,-,-
1781905065000,0.0910807,0.0002279,-,-
1781905116000,0.0759115,0.000026,-,-
1781905167000,0.0754167,0.0000879,-,-
1781905218000,0.0841016,0.0001367,-,-
1781905269000,0.5971029,0.0131836,-,-
1781905320000,3.5748698,0.0878906,-,-
1781905371000,0.5930632,0.0134049,-,-
1781905422000,0.1248763,0.0000781,-,-
1781905473000,0.1030827,0,-,-
1781905524000,0.0652734,0,-,-
1781905575000,0.0650065,0,-,-
1781905626000,0.0637956,0,-,-
1781905677000,0.0742546,0,-,-
1781905728000,0.0598177,0.0002083,-,-
1781905779000,0.0569857,0.0000911,-,-
1781905830000,0.061556,0.0001302,-,-
1781905881000,0.0702734,0.0002604,-,-
1781905932000,0.081901,0.0002604,-,-
1781905983000,0.093776,0.000319,-,-
1781906034000,0.0920052,0.0013151,-,-
1781906085000,0.0707031,0.0003581,-,-
1781906136000,0.0783594,0,-,-
1781906187000,0.0787174,0,-,-
1781906238000,0.0644531,0.0000781,-,-
1781906289000,0.059235,0.0002214,-,-
1781906340000,0.0658203,0,-,-
1781906391000,0.0760026,0,-,-
1781906442000,0.1782878,0,-,-
1781906493000,3.9758919,0.009668,-,-
1781906544000,4.2614583,0.0105469,-,-
1781906595000,0.0807292,0.000179,-,-
1781906646000,0.0742773,0.0006445,-,-
1781906697000,0.0509798,0.0000358,-,-
1781906748000,0.056901,0,-,-
1781906799000,0.0391309,0,-,-
1781906850000,0.0317383,0.0001302,-,-
1781906901000,0.0313639,0.0001693,-,-
