timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781900067000,28.2101895,-66.0957454,-,-
1781900118000,29.1158346,-75.6966634,-,-
1781900169000,28.5530005,-73.8725488,-,-
1781900220000,25.8793742,-62.8253988,-,-
1781900271000,29.0816721,-73.396084,-,-
1781900322000,29.0756793,-75.3184196,-,-
1781900373000,28.4376512,-68.6568722,-,-
1781900424000,822.9590104,-826.9333398,-,-
1781900475000,1517.3069748,-1494.5039449,-,-
1781900526000,24.1684458,-61.8142082,-,-
1781900577000,29.3673894,-74.2154993,-,-
1781900628000,29.1904411,-75.0739388,-,-
1781900679000,26.9540169,-66.7419495,-,-
1781900730000,28.5797139,-68.7242065,-,-
1781900781000,30.552975,-75.1700203,-,-
1781900832000,28.5144413,-72.4514933,-,-
1781900883000,26.3826014,-62.5463938,-,-
1781900934000,28.784199,-73.9355326,-,-
1781900985000,28.4481623,-72.6763652,-,-
1781901036000,27.3134823,-68.1744165,-,-
1781901087000,28.7648604,-70.2873435,-,-
1781901138000,31.4741284,-72.1939091,-,-
1781901189000,31.4700939,-65.444669,-,-
1781901240000,29.0828878,-75.304541,-,-
1781901291000,29.1136802,-75.2867773,-,-
1781901342000,26.7959237,-65.9442139,-,-
1781901393000,27.7022096,-69.0664246,-,-
1781901444000,29.0132259,-73.4463395,-,-
1781901495000,28.7091537,-70.0366821,-,-
1781901546000,28.9245498,-67.2039176,-,-
1781901597000,29.1335859,-74.6288558,-,-
1781901648000,2395.1604264,-2320.4056234,-,-
1781901699000,1064.1874246,-1057.3013599,-,-
1781901750000,29.3193837,-75.5205485,-,-
1781901801000,28.2570568,-71.2798592,-,-
1781901852000,26.7763456,-64.8663835,-,-
1781901903000,30.801739,-74.6037815,-,-
1781901954000,26.4034231,-63.738429,-,-
1781902005000,28.2729492,-71.9411733,-,-
1781902056000,29.3860856,-74.9218408,-,-
1781902107000,26.8935363,-68.2570656,-,-
1781902158000,25.1976689,-64.7095203,-,-
1781902209000,29.2855413,-75.1099255,-,-
1781902260000,31.1720581,-75.181665,-,-
1781902311000,26.7220906,-64.2766036,-,-
1781902362000,33.5786412,-79.3160498,-,-
1781902413000,30.9084401,-73.2786112,-,-
1781902464000,27.3119271,-67.490835,-,-
1781902515000,29.180157,-75.206661,-,-
1781902566000,28.9803945,-74.155061,-,-
1781902617000,28.1360062,-63.549976,-,-
1781902668000,29.240459,-72.5786605,-,-
1781902719000,29.1825703,-75.107734,-,-
1781902770000,27.3764384,-68.7697571,-,-
1781902821000,5427.7751231,-3726.9059617,-,-
1781902872000,12423.4833529,-9323.7748958,-,-
1781902923000,264.663017,-4267.8388908,-,-
1781902974000,54.2951453,-508.463055,-,-
1781903025000,29.1710602,-72.8610107,-,-
1781903076000,27.1099626,-67.5621183,-,-
1781903127000,27.2705215,-68.2105206,-,-
1781903178000,29.034104,-75.1597298,-,-
1781903229000,28.6170829,-73.2423393,-,-
1781903280000,26.3893331,-62.0403727,-,-
1781903331000,30.4570739,-73.3860465,-,-
1781903382000,25.8319432,-64.6295097,-,-
1781903433000,26.506485,-68.2192649,-,-
1781903484000,28.9747807,-74.8589974,-,-
1781903535000,28.3856929,-71.5543864,-,-
1781903586000,26.6722945,-63.228693,-,-
1781903637000,28.7706836,-74.0551115,-,-
1781903688000,29.9748474,-72.3993229,-,-
1781903739000,27.8631947,-67.6602287,-,-
1781903790000,27.7873322,-69.9704997,-,-
1781903841000,28.0501654,-70.0984489,-,-
1781903892000,26.8414197,-64.4645931,-,-
1781903943000,29.0150473,-74.7940422,-,-
1781903994000,28.9690835,-74.6172217,-,-
1781904045000,28.2187007,-65.3707296,-,-
1781904096000,49337.0081502,-4139.5325749,-,-
1781904147000,45641.7295703,-11240.5959375,-,-
1781904198000,878.5810091,-15255.8011458,-,-
1781904249000,709.5881348,-11970.4257292,-,-
1781904300000,663.7990885,-11093.2770833,-,-
1781904351000,839.8545638,-14769.8688542,-,-
1781904402000,741.1684701,-12624.3061458,-,-
1781904453000,596.8865625,-9904.2947917,-,-
1781904504000,324.8907454,-5220.1484831,-,-
1781904555000,26.5941996,-65.5796346,-,-
1781904606000,29.2024396,-75.2688037,-,-
1781904657000,29.1483306,-75.4532609,-,-
1781904708000,26.5824931,-64.970319,-,-
1781904759000,28.2413644,-70.7691449,-,-
1781904810000,29.8373474,-73.7996908,-,-
1781904861000,28.9379568,-69.9577197,-,-
1781904912000,27.0700256,-67.5095475,-,-
1781904963000,28.7807204,-74.4499668,-,-
1781905014000,26.1202059,-63.7267306,-,-
1781905065000,28.6075795,-72.2077911,-,-
1781905116000,29.1736308,-75.264764,-,-
1781905167000,28.5299063,-69.6508746,-,-
1781905218000,28.3553939,-66.6819486,-,-
1781905269000,345.964531,-377.2368054,-,-
1781905320000,2141.6125,-2087.6333333,-,-
1781905371000,343.5638725,-366.2890295,-,-
1781905422000,28.3165804,-71.6341968,-,-
1781905473000,27.351178,-68.3783858,-,-
1781905524000,28.0100415,-67.8613786,-,-
1781905575000,30.5742462,-75.5909831,-,-
1781905626000,28.2957436,-73.5003377,-,-
1781905677000,26.5233003,-62.9521545,-,-
1781905728000,28.3473413,-72.6886914,-,-
1781905779000,28.2591078,-73.0035596,-,-
1781905830000,27.2958944,-68.9150208,-,-
1781905881000,28.2630443,-69.5537506,-,-
1781905932000,30.2735616,-73.3111149,-,-
1781905983000,26.3936687,-62.9677153,-,-
1781906034000,28.7166095,-73.9573755,-,-
1781906085000,29.0880366,-75.3486287,-,-
1781906136000,27.1353251,-67.6926945,-,-
1781906187000,27.2582372,-68.3807098,-,-
1781906238000,29.8157406,-75.6649805,-,-
1781906289000,30.7749079,-74.0456486,-,-
1781906340000,25.770929,-62.5095133,-,-
1781906391000,28.5401266,-73.5975655,-,-
1781906442000,26.8640167,-66.4077393,-,-
1781906493000,1923.2487338,-1879.5615902,-,-
