timestamp,received (packets per second),sent (packets per second),anomaly%,annotations
1781900067000,12.8858287,-12.1416772,-,-
1781900118000,14.2015042,-13.1380049,-,-
1781900169000,13.7593274,-13.0894242,-,-
1781900220000,12.3954356,-11.7499929,-,-
1781900271000,13.9048842,-12.1608582,-,-
1781900322000,13.7480368,-12.4952928,-,-
1781900373000,13.0233021,-12.2117157,-,-
1781900424000,162.4023869,-77.4860321,-,-
1781900475000,293.3526601,-134.7927979,-,-
1781900526000,12.2305402,-11.6353737,-,-
1781900577000,14.2150685,-12.6050935,-,-
1781900628000,14.2033069,-12.9420854,-,-
1781900679000,12.9115798,-11.9100575,-,-
1781900730000,13.3249705,-11.9022481,-,-
1781900781000,14.3450393,-12.6978601,-,-
1781900832000,13.8239549,-12.6203392,-,-
1781900883000,12.3658173,-10.8801912,-,-
1781900934000,13.9730214,-13.0926979,-,-
1781900985000,13.7747737,-12.9533582,-,-
1781901036000,13.0736029,-12.0641738,-,-
1781901087000,13.5111423,-12.431025,-,-
1781901138000,14.2198187,-12.9304218,-,-
1781901189000,13.6222747,-11.8785413,-,-
1781901240000,14.0999552,-13.3878438,-,-
1781901291000,14.0858681,-13.1432181,-,-
1781901342000,12.7703054,-11.478348,-,-
1781901393000,13.3975095,-11.6474528,-,-
1781901444000,14.0580896,-12.0942187,-,-
1781901495000,13.4246132,-11.8163383,-,-
1781901546000,13.0628164,-12.2217377,-,-
1781901597000,14.1683161,-12.7993683,-,-
1781901648000,460.2066691,-205.9969948,-,-
1781901699000,209.1920497,-97.258733,-,-
1781901750000,14.1333054,-12.5810262,-,-
1781901801000,13.4937413,-12.1456951,-,-
1781901852000,12.4560535,-11.750297,-,-
1781901903000,13.9939715,-12.4426973,-,-
1781901954000,12.5257656,-11.7253222,-,-
1781902005000,13.6348554,-12.9034114,-,-
1781902056000,14.1748368,-12.7969476,-,-
1781902107000,13.3070222,-12.1495145,-,-
1781902158000,12.6818074,-12.1778728,-,-
1781902209000,13.9678042,-12.9847209,-,-
1781902260000,14.2832581,-12.3999308,-,-
1781902311000,12.735324,-11.6775294,-,-
1781902362000,15.8784112,-14.1135419,-,-
1781902413000,14.7157633,-13.1087823,-,-
1781902464000,13.2799719,-12.0242145,-,-
1781902515000,14.3041898,-13.0852458,-,-
1781902566000,14.0140941,-13.2710729,-,-
1781902617000,12.717219,-12.1364555,-,-
1781902668000,13.8154342,-12.6345205,-,-
1781902719000,13.973194,-12.9540286,-,-
1781902770000,13.0977193,-12.3856099,-,-
1781902821000,871.4878583,-328.5237411,-,-
1781902872000,2078.957832,-809.3611914,-,-
1781902923000,500.6146278,-360.9484809,-,-
1781902974000,64.5548701,-48.6234697,-,-
1781903025000,13.8668516,-12.5505079,-,-
1781903076000,12.9957849,-12.2297182,-,-
1781903127000,13.0513013,-12.3991891,-,-
1781903178000,13.9567921,-13.0699799,-,-
1781903229000,13.6572938,-12.8034294,-,-
1781903280000,12.47117,-11.0287181,-,-
1781903331000,13.9549356,-12.6194097,-,-
1781903382000,12.7116783,-11.6750125,-,-
1781903433000,13.0200003,-12.1241704,-,-
1781903484000,13.9115122,-12.7842448,-,-
1781903535000,13.7060394,-12.2424016,-,-
1781903586000,12.7058026,-11.4050398,-,-
1781903637000,13.7077173,-12.8641554,-,-
1781903688000,13.6804474,-12.9961194,-,-
1781903739000,12.9106408,-12.2886009,-,-
1781903790000,13.2288656,-12.1794851,-,-
1781903841000,13.3650903,-11.9633356,-,-
1781903892000,12.6306386,-11.4748865,-,-
1781903943000,14.0317907,-13.1583873,-,-
1781903994000,13.9287322,-12.5800831,-,-
1781904045000,12.9416306,-11.65641,-,-
1781904096000,4599.2369678,-483.115354,-,-
1781904147000,5076.4132682,-1059.2976497,-,-
1781904198000,1780.099974,-1267.9054687,-,-
1781904249000,1430.6434245,-995.7614844,-,-
1781904300000,1331.6815104,-924.3313802,-,-
1781904351000,1706.165612,-1228.3070964,-,-
1781904402000,1493.2577474,-1050.9281771,-,-
1781904453000,1183.1958333,-826.6628971,-,-
1781904504000,621.249244,-438.985413,-,-
1781904555000,12.6708331,-11.5712204,-,-
1781904606000,14.3366662,-12.7398372,-,-
1781904657000,14.3649519,-13.0141487,-,-
1781904708000,12.9132939,-11.4750869,-,-
1781904759000,13.4738185,-12.1352403,-,-
1781904810000,13.8403315,-12.5586253,-,-
1781904861000,13.3162287,-11.8934261,-,-
1781904912000,12.8330998,-11.1398995,-,-
1781904963000,13.7432169,-11.9751745,-,-
1781905014000,12.4180655,-11.2708109,-,-
1781905065000,13.7280169,-12.496964,-,-
1781905116000,14.0048378,-12.513299,-,-
1781905167000,13.2513622,-11.856277,-,-
1781905218000,12.9984785,-11.7668288,-,-
1781905269000,73.6886223,-38.9694483,-,-
1781905320000,411.0484049,-188.2075195,-,-
1781905371000,71.9962374,-37.7342773,-,-
1781905422000,13.6494304,-12.2991561,-,-
1781905473000,13.2088681,-11.8312928,-,-
1781905524000,13.1364433,-11.7991626,-,-
1781905575000,14.239782,-12.6716192,-,-
1781905626000,13.7647497,-11.8365628,-,-
1781905677000,12.538962,-10.9120953,-,-
1781905728000,13.3649648,-12.1328239,-,-
1781905779000,13.2719146,-12.2601677,-,-
1781905830000,12.8772802,-11.9212255,-,-
1781905881000,13.2881905,-12.2313751,-,-
1781905932000,14.0075527,-12.7496604,-,-
1781905983000,12.2552018,-10.8550432,-,-
1781906034000,13.6821502,-12.3567003,-,-
1781906085000,14.0715925,-12.5924273,-,-
1781906136000,13.0508641,-11.8229958,-,-
1781906187000,13.0766077,-11.9016742,-,-
1781906238000,14.0799974,-12.7313445,-,-
1781906289000,13.944251,-12.6598149,-,-
1781906340000,12.116687,-11.0575765,-,-
1781906391000,13.7419004,-12.4896549,-,-
1781906442000,12.9204471,-11.4696883,-,-
1781906493000,365.5230085,-167.0834489,-,-
1781906544000,398.2360864,-181.9633504,-,-
1781906595000,13.6041265,-12.3416232,-,-
1781906646000,12.6199972,-11.5266633,-,-
1781906697000,13.9233754,-12.0367126,-,-
1781906748000,13.8932992,-12.56361,-,-
1781906799000,12.7449184,-11.7611406,-,-
1781906850000,13.0999868,-11.6999873,-,-
1781906901000,13.4609006,-11.6696063,-,-
1781906952000,12.713373,-11.1876184,-,-
1781907003000,14.1549552,-12.7267873,-,-
1781907054000,13.9567075,-12.5388265,-,-
1781907105000,12.6958491,-11.6098478,-,-
1781907156000,13.2978979,-12.2703198,-,-
1781907207000,14.04038,-12.7907686,-,-
1781907258000,13.5148184,-12.2233072,-,-
1781907309000,12.4424829,-11.4792942,-,-
1781907360000,14.3833516,-12.8045736,-,-
1781907411000,13.9674073,-12.3308748,-,-
1781907462000,13.4908773,-11.9731897,-,-
1781907513000,13.5214482,-12.2125384,-,-
1781907564000,13.177395,-12.1213519,-,-
1781907615000,12.7058947,-11.7161517,-,-
1781907666000,68.2574989,-36.7559494,-,-
1781907717000,532.9457363,-245.2722272,-,-
1781907768000,122.7614705,-61.037251,-,-
1781907819000,13.7540952,-12.034251,-,-
1781907870000,13.9856354,-12.2477463,-,-
1781907921000,13.4609076,-11.9611364,-,-
1781907972000,12.7372304,-11.4460291,-,-
1781908023000,13.867594,-12.5122642,-,-
1781908074000,12.1072171,-10.8163143,-,-
