timestamp,softirq (%),user (%),system (%),nice (%),iowait (%),anomaly%,annotations
03:14:24,0.04,1.91,2.76,0,0,-,-
03:15:06,0.04,2.05,2.87,0,0.01,-,-
03:15:48,0.04,2.09,2.81,0,0,-,-
03:16:30,0.04,1.97,2.8,0,0,-,-
03:17:12,0.04,1.91,2.8,0,0,-,-
03:17:54,0.04,2.1,2.79,0,0,-,-
03:18:36,0.04,2.05,2.88,0,0.01,-,-
03:19:18,0.04,1.96,2.91,0,0.01,-,-
03:20:00,0.04,1.88,2.8,0,0.01,-,-
03:20:42,0.13,2.58,3.34,0,0,-,-
03:21:24,0.12,2.46,3.23,0,0,-,-
03:22:06,0.04,1.86,2.73,0,0.01,-,-
03:22:48,0.05,2.05,2.81,0,0,-,-
03:23:30,0.05,2.07,2.79,0,0,-,-
03:24:12,0.04,2,2.76,0,0,-,-
03:24:54,0.04,1.88,2.77,0,0.01,-,-
03:25:36,0.04,1.98,2.77,0,0,-,-
03:26:18,0.05,1.98,2.77,0,0,-,-
03:27:00,0.05,1.79,2.76,0,0.01,-,-
03:27:42,0.04,2,2.76,0,0,-,-
03:28:24,0.04,2.04,2.77,0,0,-,-
03:29:06,0.04,1.97,2.77,0,0,-,-
03:29:48,0.04,1.9,2.69,0,0.01,-,-
03:30:30,0.04,1.96,2.74,0,0,-,-
03:31:12,0.05,1.98,2.79,0,0,-,-
03:31:54,0.04,1.82,2.71,0,0,-,-
03:32:36,0.05,1.94,2.77,0,0.01,-,-
03:33:18,0.05,1.99,2.82,0,0.01,-,-
03:34:00,0.03,1.9,2.83,0,0,-,-
03:34:42,0.04,2,2.81,0,0,-,-
03:35:24,0.04,1.97,2.81,0,0,-,-
03:36:06,0.03,1.87,2.8,0,0,-,-
03:36:48,0.04,2.01,2.77,0,0.01,-,-
03:37:30,0.05,2.09,2.78,0,0,-,-
03:38:12,0.05,2.06,2.79,0,0,-,-
03:38:54,0.04,1.87,2.79,0,0.01,-,-
03:39:36,0.04,1.99,2.78,0,0,-,-
03:40:18,0.11,2.34,3.11,0,0,-,-
03:41:00,0.26,2.96,3.88,0,0.01,-,-
03:41:42,0.1,2.21,3.09,0,0.01,-,-
03:42:24,0.04,1.97,2.8,0,0.01,-,-
03:43:06,0.04,2.06,2.87,0,0,-,-
03:43:48,0.05,1.89,2.78,0,0.01,-,-
03:44:30,0.04,1.97,2.79,0,0,-,-
03:45:12,0.04,2.07,2.82,0,0,-,-
03:45:54,0.04,1.94,2.79,0,0,-,-
03:46:36,0.04,2,2.8,0,0.01,-,-
03:47:18,0.04,2.03,2.76,0,0.01,-,-
03:48:00,0.04,1.99,2.64,0,0,-,-
03:48:42,0.04,1.93,2.81,0,0,-,-
03:49:24,0.04,1.96,2.82,0,0,-,-
03:50:06,0.05,2.02,2.73,0,0.01,-,-
03:50:48,0.04,1.84,2.79,0,0,-,-
03:51:30,0.04,1.9,2.8,0,0,-,-
