timestamp,softirq (percent),user (percent),system (percent),nice (percent),iowait (percent),anomaly%,annotations
1781900064000,0.0432213,1.9056883,2.7611443,0,0.0017182,-,-
1781900106000,0.043247,2.0516095,2.8679052,0,0.007732,-,-
1781900148000,0.0436949,2.0855564,2.8120807,0,0.0017182,-,-
1781900190000,0.0438022,1.97408,2.80253,0,0,-,-
1781900232000,0.0437184,1.9073653,2.8040612,0,0,-,-
1781900274000,0.0434975,2.0979779,2.7870231,0,0,-,-
1781900316000,0.0435415,2.0463405,2.8843175,0,0.0051546,-,-
1781900358000,0.0436475,1.960844,2.9056484,0,0.0085911,-,-
1781900400000,0.0437776,1.8840355,2.8002874,0,0.0085911,-,-
1781900442000,0.1336853,2.5776426,3.3435253,0,0.0025773,-,-
1781900484000,0.1208068,2.4597239,3.2342242,0,0.0036036,-,-
1781900526000,0.0445424,1.8634395,2.7319892,0,0.0081081,-,-
1781900568000,0.0505013,2.0488273,2.8085763,0,0.0018018,-,-
1781900610000,0.0479221,2.0655326,2.7935702,0,0,-,-
1781900652000,0.0436597,1.9953783,2.7593389,0,0.0017271,-,-
1781900694000,0.0437268,1.8767575,2.7686377,0,0.007772,-,-
1781900736000,0.0434581,1.9824629,2.7682527,0,0.0034542,-,-
1781900778000,0.0458925,1.9829539,2.7653465,0,0.0025641,-,-
1781900820000,0.0520058,1.7933085,2.7612307,0,0.008547,-,-
1781900862000,0.0397515,1.9958846,2.7563427,0,0.0025641,-,-
1781900904000,0.0381423,2.041814,2.7672588,0,0,-,-
1781900946000,0.0427929,1.9707403,2.7743026,0,0.0008681,-,-
1781900988000,0.0370999,1.9025584,2.6869945,0,0.0069444,-,-
1781901030000,0.0440147,1.9554101,2.7373319,0,0.0043403,-,-
1781901072000,0.0491119,1.981076,2.7894758,0,0,-,-
1781901114000,0.0370575,1.8177438,2.7084904,0,0,-,-
1781901156000,0.0455305,1.9387075,2.7653079,0,0.0052356,-,-
1781901198000,0.0469518,1.9948112,2.8164411,0,0.0061082,-,-
1781901240000,0.0344092,1.9012578,2.8293724,0,0,-,-
1781901282000,0.041161,2.0011286,2.8134263,0,0,-,-
1781901324000,0.0369982,1.9683458,2.8050672,0,0,-,-
1781901366000,0.0281428,1.8747699,2.7992188,0,0.0008636,-,-
1781901408000,0.0402482,2.0133764,2.7742929,0,0.0069085,-,-
1781901450000,0.0480803,2.0860481,2.779793,0,0.0043178,-,-
1781901492000,0.0506835,2.0635929,2.7910134,0,0.0017182,-,-
1781901534000,0.0444877,1.8692557,2.7861085,0,0.007732,-,-
1781901576000,0.0434316,1.9854447,2.7833812,0,0.0034364,-,-
1781901618000,0.1093387,2.3435531,3.1124008,0,0.0026042,-,-
1781901660000,0.263388,2.9552149,3.8832654,0,0.0086806,-,-
1781901702000,0.1035788,2.2072208,3.0878375,0,0.0085871,-,-
1781901744000,0.0351119,1.9669383,2.8029505,0,0.0051282,-,-
1781901786000,0.0369484,2.0625672,2.873217,0,0.0008547,-,-
1781901828000,0.0495662,1.8889613,2.7769705,0,0.0068376,-,-
1781901870000,0.0439032,1.9701853,2.7904985,0,0.0042735,-,-
1781901912000,0.0363196,2.0650698,2.8220937,0,0,-,-
1781901954000,0.0422153,1.9392753,2.7890825,0,0,-,-
1781901996000,0.043551,1.9971399,2.8024387,0,0.0054645,-,-
1781902038000,0.0438966,2.0316486,2.763134,0,0.0063752,-,-
1781902080000,0.0439356,1.9942029,2.6433111,0,0,-,-
1781902122000,0.0374557,1.9335537,2.8093789,0,0,-,-
1781902164000,0.041753,1.9635008,2.8189624,0,0.0034188,-,-
1781902206000,0.0506332,2.0211713,2.7348579,0,0.0076923,-,-
1781902248000,0.0385134,1.8374981,2.7928065,0,0.0017094,-,-
1781902290000,0.0438486,1.9046958,2.8015235,0,0.0045045,-,-
1781902332000,0.0543852,2.086224,2.8371648,0,0.0072072,-,-
1781902374000,0.0604699,2.3027075,2.989349,0,0.0009009,-,-
1781902416000,0.0455071,1.8904355,2.676341,0,0,-,-
1781902458000,0.034763,1.6205415,2.4873792,0,0.0026316,-,-
1781902500000,0.0343211,1.6802082,2.5671883,0,0.0087719,-,-
1781902542000,0.0408468,1.5698341,2.4521549,0,0.0026316,-,-
1781902584000,0.0365677,1.5976736,2.4241815,0,0.0034188,-,-
1781902626000,0.0285269,1.6955595,2.4501741,0,0.0085426,-,-
1781902668000,0.046537,1.591761,2.4081931,0,0.0085121,-,-
1781902710000,0.0430905,1.6924644,2.4835782,0,0.0042517,-,-
1781902752000,0.0328453,1.7643351,2.5307668,0,0,-,-
1781902794000,0.0270601,1.5596221,2.3900976,0,0,-,-
1781902836000,0.5354055,2.510788,3.7115176,0,0,-,-
1781902878000,0.6870386,2.7665406,4.0176063,0,0.0025773,-,-
1781902920000,0.2488039,1.8382132,2.6450109,0,0.0085911,-,-
1781902962000,0.1052885,1.6278978,2.5145135,0,0.0025773,-,-
1781903004000,0.0400695,1.6432786,2.4531334,0,0.0034014,-,-
1781903046000,0.0353336,1.7731922,2.4489478,0,0.0076531,-,-
1781903088000,0.0411617,1.5746685,2.4769017,0,0.0017007,-,-
1781903130000,0.0388256,1.6197336,2.4656297,0,0,-,-
1781903172000,0.034706,1.6898006,2.4485173,0,0.0017094,-,-
1781903214000,0.0342917,1.5787837,2.4560295,0,0.0076923,-,-
1781903256000,0.0241935,1.7014233,2.4528399,0,0.0034188,-,-
1781903298000,0.0251113,1.7752388,2.4525997,0,0,-,-
1781903340000,0.042869,1.7320316,2.4586706,0,0,-,-
1781903382000,0.0308415,1.5984001,2.4588183,0,0,-,-
1781903424000,0.0292315,1.6368924,2.487013,0,0.0034904,-,-
1781903466000,0.0345711,1.7585474,2.5238343,0,0.0078534,-,-
1781903508000,0.0347298,1.6046216,2.4862034,0,0.0017452,-,-
1781903550000,0.0302524,1.654105,2.5065798,0,0,-,-
1781903592000,0.0291309,1.7500707,2.5266548,0,0.0017007,-,-
1781903634000,0.0410353,1.7588327,2.4879686,0,0.0076531,-,-
1781903676000,0.0377686,1.6798662,2.4883401,0,0.0085296,-,-
1781903718000,0.034487,1.6809942,2.4742248,0,0.0059829,-,-
1781903760000,0.0345568,1.8084101,2.4321142,0,0,-,-
1781903802000,0.0345181,1.6558263,2.4392209,0,0,-,-
1781903844000,0.0345226,1.6363521,2.4539788,0,0.0035088,-,-
1781903886000,0.0354416,1.7207688,2.4751147,0,0.0078947,-,-
1781903928000,0.0416537,1.8295372,2.5000874,0,0.0017544,-,-
1781903970000,0.0390785,1.6934219,2.4732638,0,0.0042517,-,-
1781904012000,0.0363479,1.5743968,2.4708262,0,0.0068027,-,-
1781904054000,0.0420161,1.7429807,2.5811498,0,0.0008503,-,-
1781904096000,0.9349223,3.5520738,7.9293128,0,0.0552486,-,-
1781904138000,1.3805328,3.9782753,8.9459816,0,0.0671741,-,-
1781904180000,1.0325848,2.196064,3.0233604,0,0.009058,-,-
1781904222000,0.9619534,2.0195641,2.8696255,0,0.0027174,-,-
1781904264000,0.9088489,2.0189433,2.8781307,0,0.0331316,-,-
1781904306000,0.8801209,2.1157056,2.9767532,0,0.0745461,-,-
1781904348000,0.9187796,2.0053114,2.8859988,0,0.0165658,-,-
1781904390000,0.8609511,1.8468904,2.8533989,0,0,-,-
1781904432000,0.7518865,1.7313082,2.8780732,0,0.0017452,-,-
1781904474000,0.6112187,1.7708491,2.9877786,0,0.0078534,-,-
1781904516000,0.2521073,1.7691057,2.6696062,0,0.0034904,-,-
1781904558000,0.0312626,1.6900917,2.4344447,0,0,-,-
