timestamp,some 10 (%),some 60 (%),some 300 (%),anomaly%,annotations
03:14:24,2.99,2.78,2.78,-,-
03:15:06,2.82,2.84,2.79,-,-
03:15:48,2.88,2.84,2.79,-,-
03:16:30,2.83,2.86,2.81,-,-
03:17:12,2.78,2.8,2.8,-,-
03:17:54,2.82,2.85,2.82,-,-
03:18:36,2.81,2.81,2.81,-,-
03:19:18,2.84,2.81,2.81,-,-
03:20:00,2.75,2.82,2.81,-,-
03:20:42,3.56,3.16,2.9,-,-
03:21:24,2.68,2.94,2.88,-,-
03:22:06,2.57,2.75,2.84,-,-
03:22:48,2.82,2.79,2.84,-,-
03:23:30,2.59,2.69,2.81,-,-
03:24:12,2.97,2.8,2.82,-,-
03:24:54,2.69,2.79,2.82,-,-
03:25:36,2.65,2.7,2.79,-,-
03:26:18,2.9,2.83,2.81,-,-
03:27:00,2.73,2.75,2.79,-,-
03:27:42,2.85,2.82,2.8,-,-
03:28:24,2.56,2.72,2.78,-,-
03:29:06,2.72,2.67,2.75,-,-
03:29:48,2.82,2.78,2.78,-,-
03:30:30,2.85,2.8,2.78,-,-
03:31:12,3.08,2.91,2.81,-,-
03:31:54,2.7,2.86,2.82,-,-
03:32:36,2.66,2.75,2.79,-,-
03:33:18,2.95,2.83,2.8,-,-
03:34:00,2.72,2.79,2.8,-,-
03:34:42,3.12,2.91,2.83,-,-
03:35:24,2.87,2.92,2.85,-,-
03:36:06,2.84,2.85,2.84,-,-
03:36:48,2.94,2.93,2.87,-,-
03:37:30,2.78,2.87,2.86,-,-
03:38:12,2.94,2.87,2.86,-,-
03:38:54,2.63,2.81,2.85,-,-
03:39:36,2.91,2.8,2.84,-,-
03:40:18,3.3,2.96,2.87,-,-
03:41:00,3.52,3.33,2.99,-,-
03:41:42,2.84,3.11,2.98,-,-
03:42:24,2.69,2.9,2.94,-,-
03:43:06,2.71,2.81,2.91,-,-
03:43:48,2.44,2.65,2.86,-,-
03:44:30,2.77,2.67,2.83,-,-
03:45:12,2.84,2.78,2.85,-,-
03:45:54,2.66,2.74,2.83,-,-
03:46:36,2.9,2.79,2.83,-,-
03:47:18,2.66,2.75,2.82,-,-
03:48:00,2.73,2.72,2.8,-,-
03:48:42,2.69,2.73,2.8,-,-
03:49:24,2.84,2.76,2.79,-,-
03:50:06,2.87,2.82,2.8,-,-
03:50:48,2.7,2.78,2.8,-,-
03:51:30,2.98,2.84,2.8,-,-
03:52:12,2.83,2.85,2.81,-,-
03:52:54,2.97,2.96,2.85,-,-
03:53:36,2.53,2.77,2.82,-,-
03:54:18,2.4,2.56,2.75,-,-
03:55:00,2.48,2.52,2.71,-,-
03:55:42,2.21,2.38,2.65,-,-
03:56:24,2.23,2.29,2.59,-,-
03:57:06,2.22,2.28,2.54,-,-
03:57:48,2.04,2.16,2.47,-,-
03:58:30,2.33,2.23,2.45,-,-
03:59:12,2.26,2.26,2.43,-,-
03:59:54,2.04,2.16,2.38,-,-
