timestamp,some 10 (percent),some 60 (percent),some 300 (percent),anomaly%,annotations
1781900064000,2.9885482,2.7804761,2.7753451,-,-
1781900106000,2.8175117,2.8355,2.7928571,-,-
1781900148000,2.8833638,2.8359396,2.794976,-,-
1781900190000,2.8270841,2.8643811,2.8101549,-,-
1781900232000,2.778648,2.8028778,2.8009041,-,-
1781900274000,2.8196799,2.8498931,2.815131,-,-
1781900316000,2.810392,2.8086903,2.8083095,-,-
1781900358000,2.8370621,2.8088219,2.8058692,-,-
1781900400000,2.7486541,2.8198451,2.812488,-,-
1781900442000,3.56295,3.1583329,2.9011189,-,-
1781900484000,2.6788225,2.943167,2.8822739,-,-
1781900526000,2.5730724,2.7498812,2.8392025,-,-
1781900568000,2.8234418,2.7949645,2.8408453,-,-
1781900610000,2.5867491,2.692488,2.8080952,-,-
1781900652000,2.9741311,2.7982024,2.8180952,-,-
1781900694000,2.688179,2.7914763,2.8190476,-,-
1781900736000,2.64683,2.6967375,2.7883094,-,-
1781900778000,2.8990366,2.8300954,2.8111072,-,-
1781900820000,2.7252503,2.7549762,2.7905833,-,-
1781900862000,2.8516555,2.8200476,2.8016905,-,-
1781900904000,2.5570964,2.721417,2.7777739,-,-
1781900946000,2.7216891,2.6678808,2.7537024,-,-
1781900988000,2.8201312,2.7763452,2.7766667,-,-
1781901030000,2.8524996,2.802488,2.784869,-,-
1781901072000,3.0757852,2.9121308,2.814238,-,-
1781901114000,2.7018569,2.8562382,2.817619,-,-
1781901156000,2.6601651,2.7523214,2.792381,-,-
1781901198000,2.9528355,2.8250716,2.8043928,-,-
1781901240000,2.7237263,2.7942263,2.7994167,-,-
1781901282000,3.124064,2.9102505,2.827512,-,-
1781901324000,2.8749754,2.9213214,2.8466667,-,-
1781901366000,2.8414146,2.8492258,2.8412738,-,-
1781901408000,2.9405491,2.9330121,2.8661905,-,-
1781901450000,2.783205,2.8674529,2.8552383,-,-
1781901492000,2.9374048,2.8736547,2.8596309,-,-
1781901534000,2.6280123,2.81406,2.8498929,-,-
1781901576000,2.9112509,2.7975713,2.8404762,-,-
1781901618000,3.3018039,2.9601416,2.8733926,-,-
1781901660000,3.518123,3.3273337,2.9898928,-,-
1781901702000,2.8354671,3.1091793,2.9792025,-,-
1781901744000,2.690967,2.8993934,2.9426906,-,-
1781901786000,2.7084266,2.8119738,2.913071,-,-
1781901828000,2.4376071,2.6465003,2.8557621,-,-
1781901870000,2.7710465,2.6744641,2.834131,-,-
1781901912000,2.8404874,2.7809523,2.8460834,-,-
1781901954000,2.6578344,2.7447503,2.8321667,-,-
1781901996000,2.8983217,2.7909048,2.8334405,-,-
1781902038000,2.6559374,2.7497854,2.8204762,-,-
1781902080000,2.7287395,2.7182384,2.8025358,-,-
1781902122000,2.6887021,2.7345,2.7961905,-,-
1781902164000,2.8406509,2.7632852,2.7939166,-,-
1781902206000,2.871402,2.8236661,2.8041309,-,-
1781902248000,2.7021625,2.7817612,2.7961426,-,-
1781902290000,2.9832172,2.8355001,2.8032262,-,-
1781902332000,2.8324513,2.8484164,2.8130713,-,-
1781902374000,2.9749062,2.9593574,2.8503691,-,-
1781902416000,2.5282982,2.7699289,2.8167144,-,-
1781902458000,2.403287,2.5578694,2.7524288,-,-
1781902500000,2.479822,2.5220478,2.7143334,-,-
1781902542000,2.2137864,2.3832146,2.6505239,-,-
1781902584000,2.2339684,2.2897865,2.5888338,-,-
1781902626000,2.2161556,2.2765359,2.5418453,-,-
