timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781900067000,59.9071742,-96.632335,-,-
1781900118000,60.5378841,-105.7564006,-,-
1781900169000,59.7444037,-103.6956392,-,-
1781900220000,57.2744751,-93.0830973,-,-
1781900271000,60.6965483,-103.7906348,-,-
1781900322000,60.3912553,-105.3265031,-,-
1781900373000,59.7667051,-98.7846375,-,-
1781900424000,812.6986157,-838.4180062,-,-
1781900475000,1469.4325785,-1488.3382996,-,-
1781900526000,51.6501396,-88.1313883,-,-
1781900577000,60.7801792,-104.3682699,-,-
1781900628000,60.3953654,-104.9376904,-,-
1781900679000,58.1596826,-96.7454195,-,-
1781900730000,59.7741069,-98.7426392,-,-
1781900781000,61.6535105,-104.9890348,-,-
1781900832000,59.7421712,-102.3879199,-,-
1781900883000,58.2442523,-93.4030314,-,-
1781900934000,59.8592696,-103.6282796,-,-
1781900985000,59.5191416,-102.0588074,-,-
1781901036000,58.716106,-98.4888737,-,-
1781901087000,60.1403054,-100.7078788,-,-
1781901138000,63.1034424,-102.6139128,-,-
1781901189000,64.0645066,-97.0854635,-,-
1781901240000,60.094869,-104.9206055,-,-
1781901291000,60.2884882,-105.108217,-,-
1781901342000,57.9948287,-96.0349561,-,-
1781901393000,58.8152342,-99.0673425,-,-
1781901444000,60.2429102,-103.3043571,-,-
1781901495000,60.1888,-100.1316447,-,-
1781901546000,60.2777539,-97.8496965,-,-
1781901597000,60.1257043,-104.3855033,-,-
1781901648000,2302.1314771,-2295.0400342,-,-
1781901699000,1040.9526703,-1062.9228658,-,-
1781901750000,60.6188782,-105.5683675,-,-
1781901801000,59.7468713,-101.6012427,-,-
1781901852000,58.0916016,-95.0236214,-,-
1781901903000,61.9558443,-104.5302397,-,-
1781901954000,57.8284399,-94.0677759,-,-
1781902005000,59.5196818,-101.8573568,-,-
1781902056000,60.8704883,-105.0884587,-,-
1781902107000,56.4977181,-96.6307304,-,-
1781902158000,53.470918,-91.7184562,-,-
1781902209000,60.4013373,-104.8477596,-,-
1781902260000,62.2929159,-105.1009196,-,-
1781902311000,57.9614368,-94.4350037,-,-
1781902362000,69.3717004,-113.8419092,-,-
1781902413000,65.0542157,-106.2365999,-,-
1781902464000,58.4513566,-97.4877832,-,-
1781902515000,60.2492839,-104.9601501,-,-
1781902566000,60.1657882,-103.9516243,-,-
1781902617000,59.4576312,-93.7401139,-,-
1781902668000,60.8904411,-102.9764616,-,-
1781902719000,60.4361157,-105.0150004,-,-
1781902770000,58.5498983,-98.6635701,-,-
1781902821000,5189.7753076,-3669.1000378,-,-
1781902872000,11827.6677767,-9132.1682292,-,-
1781902923000,241.3742664,-4199.790979,-,-
1781902974000,80.4049422,-529.3464762,-,-
1781903025000,60.4795878,-103.0203267,-,-
1781903076000,58.3869442,-97.6062109,-,-
1781903127000,58.5409568,-98.2273462,-,-
1781903178000,60.1541878,-104.9153613,-,-
1781903229000,59.9172304,-103.2339799,-,-
1781903280000,58.7309692,-93.3622965,-,-
1781903331000,61.7968939,-103.5421533,-,-
1781903382000,54.4192265,-92.1102563,-,-
1781903433000,56.181664,-96.6892509,-,-
1781903484000,60.4504687,-105.0268896,-,-
1781903535000,60.01297,-101.9631673,-,-
1781903586000,58.674884,-94.1757829,-,-
1781903637000,60.3744171,-104.2979077,-,-
1781903688000,61.1772868,-101.9185417,-,-
1781903739000,59.2412463,-97.9660311,-,-
1781903790000,59.1241109,-100.3183919,-,-
1781903841000,59.4508044,-100.3241549,-,-
1781903892000,58.5526001,-95.1107031,-,-
1781903943000,60.1338033,-104.5459233,-,-
1781903994000,60.5414063,-104.9182202,-,-
1781904045000,59.9761088,-96.0399801,-,-
1781904096000,47220.8636768,-4062.0698242,-,-
1781904147000,43608.367526,-10999.063099,-,-
1781904198000,712.4613021,-14935.7241667,-,-
1781904249000,582.4855078,-11733.1971875,-,-
1781904300000,547.7481771,-10878.665625,-,-
1781904351000,678.4278743,-14450.5763542,-,-
1781904402000,605.4529167,-12363.0082292,-,-
1781904453000,498.0647673,-9711.7966146,-,-
1781904504000,289.2948519,-5134.5755664,-,-
1781904555000,58.1219666,-95.9623108,-,-
1781904606000,60.2259827,-105.0050423,-,-
1781904657000,60.2620392,-105.2099748,-,-
1781904708000,57.9318001,-95.2045426,-,-
1781904759000,59.8045072,-101.1091597,-,-
1781904810000,61.200647,-103.6580078,-,-
1781904861000,60.1746688,-99.9018827,-,-
1781904912000,58.5360303,-98.299707,-,-
1781904963000,59.9992556,-104.4731226,-,-
1781905014000,57.4168168,-93.9523389,-,-
1781905065000,60.1281219,-102.4690918,-,-
1781905116000,60.3913021,-105.1791048,-,-
