timestamp,load1 (threads),load5 (threads),load15 (threads),anomaly%,annotations
1781900067000,0.3582941,0.1563227,0.1126252,-,-
1781900118000,0.28035,0.1684,0.12,-,-
1781900169000,0.164175,0.1540875,0.111,-,-
1781900220000,0.107775,0.138,0.107,-,-
1781900271000,0.0569887,0.1163636,0.0990909,-,-
1781900322000,0.0634875,0.1098875,0.0928875,-,-
1781900373000,0.0268875,0.089,0.088,-,-
1781900424000,0.011,0.074,0.08,-,-
1781900475000,0.0577872,0.0751125,0.08,-,-
1781900526000,0.0752612,0.0755568,0.08,-,-
1781900577000,0.0358875,0.063,0.08,-,-
1781900628000,0.0148876,0.051,0.072,-,-
1781900679000,0.0926097,0.0617574,0.076,-,-
1781900730000,0.1208875,0.0778875,0.08,-,-
1781900781000,0.0905227,0.0727273,0.08,-,-
1781900832000,0.0514875,0.064,0.078,-,-
1781900883000,0.0791994,0.0643374,0.0741125,-,-
1781900934000,0.0907751,0.073,0.08,-,-
1781900985000,0.0767751,0.067,0.077,-,-
1781901036000,0.0471705,0.0589887,0.0727273,-,-
1781901087000,0.018,0.048,0.07,-,-
1781901138000,0.0058875,0.0394,0.062,-,-
1781901189000,1.0983,0.3027625,0.151225,-,-
1781901240000,0.973,0.416225,0.1971125,-,-
1781901291000,0.5011825,0.3742614,0.19,-,-
1781901342000,0.2699249,0.3304875,0.184,-,-
1781901393000,0.2540485,0.3154497,0.1851124,-,-
1781901444000,0.18575,0.287775,0.181,-,-
1781901495000,0.0798875,0.2408875,0.17,-,-
1781901546000,0.1802498,0.2390113,0.1728295,-,-
1781901597000,0.1994275,0.2361125,0.178,-,-
1781901648000,0.140865,0.2129325,0.173,-,-
1781901699000,0.062,0.179,0.164,-,-
1781901750000,0.026,0.1498875,0.155,-,-
1781901801000,0.0099795,0.1236364,0.1445455,-,-
1781901852000,0,0.101,0.134,-,-
1781901903000,0,0.0838875,0.1238875,-,-
1781901954000,0,0.067,0.115,-,-
1781902005000,0.008,0.057,0.106,-,-
1781902056000,0.1471107,0.0867112,0.11,-,-
1781902107000,0.2589242,0.1186748,0.1182249,-,-
1781902158000,0.3336376,0.167,0.132,-,-
1781902209000,0.18375,0.1508875,0.128,-,-
1781902260000,0.0788875,0.126,0.118,-,-
1781902311000,0.0309091,0.1043636,0.1072727,-,-
1781902362000,0.012,0.0838875,0.098,-,-
1781902413000,0.0314851,0.075,0.09,-,-
1781902464000,0.0408875,0.073,0.09,-,-
1781902515000,0.0148875,0.058,0.081,-,-
1781902566000,0.0045455,0.0472727,0.08,-,-
1781902617000,0,0.037,0.071,-,-
1781902668000,0.0048,0.0306,0.07,-,-
1781902719000,0.0574875,0.0396,0.07,-,-
1781902770000,0.1507875,0.064225,0.0781125,-,-
1781902821000,0.1416364,0.0754545,0.08,-,-
1781902872000,0.1424875,0.084,0.086,-,-
1781902923000,0.1989753,0.1083376,0.0921125,-,-
1781902974000,0.1454875,0.1040875,0.092,-,-
1781903025000,0.520775,0.198,0.124,-,-
1781903076000,0.5570228,0.2708068,0.1498182,-,-
1781903127000,0.260975,0.2326,0.14,-,-
1781903178000,0.1688625,0.2114,0.14,-,-
1781903229000,0.0940875,0.183,0.132,-,-
1781903280000,0.097,0.1698875,0.128,-,-
1781903331000,0.0398182,0.1398979,0.1172727,-,-
1781903382000,0.014,0.1158875,0.107,-,-
1781903433000,0.1173047,0.1232475,0.1071125,-,-
1781903484000,0.6316,0.2588,0.155,-,-
1781903535000,0.892,0.3921125,0.2061125,-,-
1781903586000,0.5179317,0.3715341,0.2081818,-,-
