timestamp,received (kilobits per second),sent (kilobits per second),anomaly%,annotations
1781900067000,28.210185,-66.0957423,-,-
1781900118000,29.115839,-75.6966634,-,-
1781900169000,28.5529976,-73.8725494,-,-
1781900220000,25.8793783,-62.8254028,-,-
1781900271000,29.0816709,-73.3960846,-,-
1781900322000,29.0756801,-75.3184196,-,-
1781900373000,28.4376498,-68.6568699,-,-
1781900424000,822.959008,-826.9333374,-,-
1781900475000,1517.3069743,-1494.5039439,-,-
1781900526000,24.1684442,-61.8142053,-,-
1781900577000,29.3673913,-74.2155068,-,-
1781900628000,29.1904415,-75.0739404,-,-
1781900679000,26.9540143,-66.7419468,-,-
1781900730000,28.5796997,-68.7241964,-,-
1781900781000,30.5529634,-75.1700155,-,-
1781900832000,28.5144535,-72.451508,-,-
1781900883000,26.382613,-62.5464016,-,-
1781900934000,28.7842002,-73.9355334,-,-
1781900985000,28.4479258,-72.6754374,-,-
1781901036000,27.3135429,-68.1746639,-,-
1781901087000,28.7650316,-70.2880275,-,-
1781901138000,31.4741296,-72.1939148,-,-
1781901189000,31.4700974,-65.444669,-,-
1781901240000,29.0828878,-75.304541,-,-
1781901291000,29.1136819,-75.2867773,-,-
1781901342000,26.7959229,-65.9442139,-,-
1781901393000,27.7022064,-69.0664246,-,-
1781901444000,29.0130729,-73.4457438,-,-
1781901495000,28.7089661,-70.0359385,-,-
1781901546000,28.9248901,-67.2052616,-,-
1781901597000,29.1336029,-74.6289305,-,-
1781901648000,2395.160426,-2320.4056234,-,-
1781901699000,1064.1874259,-1057.3013652,-,-
1781901750000,29.3193858,-75.5205485,-,-
1781901801000,28.2570574,-71.2798539,-,-
1781901852000,26.7763448,-64.8663851,-,-
1781901903000,30.8017428,-74.6037893,-,-
1781901954000,26.4034216,-63.7384298,-,-
1781902005000,28.2729457,-71.9411672,-,-
1781902056000,29.3860828,-74.9218376,-,-
1781902107000,26.8935315,-68.257062,-,-
1781902158000,25.1976668,-64.7095194,-,-
