timestamp,in (kibibytes per second),out (kibibytes per second),anomaly%,annotations
1781900067000,0.9264668,-10.9707917,-,-
1781900118000,0.54,-14.2635378,-,-
1781900169000,1.77,-18.0266667,-,-
1781900220000,1.6,-15.5333333,-,-
1781900271000,1.7133333,-14.9666667,-,-
1781900322000,1.36,-12.9533333,-,-
1781900373000,3.1066667,-26.9466667,-,-
1781900424000,2.8,-213.0666667,-,-
1781900475000,0.2166667,-358.4166667,-,-
1781900526000,0.84,-11.8933333,-,-
1781900577000,0.6133333,-15.52,-,-
1781900628000,0.12,-12.16,-,-
1781900679000,0,-11.2233333,-,-
1781900730000,0,-12.9666667,-,-
1781900781000,0,-14.6031187,-,-
1781900832000,0,-14.0176674,-,-
1781900883000,0,-12.6407895,-,-
1781900934000,0,-12.6003007,-,-
1781900985000,0,-11.0488843,-,-
1781901036000,0,-12.1239644,-,-
1781901087000,0,-13.4322235,-,-
1781901138000,0,-13.7262468,-,-
1781901189000,0,-13.2166171,-,-
1781901240000,0,-10.4462616,-,-
1781901291000,0,-12.6933099,-,-
1781901342000,2.0533333,-13.1941592,-,-
1781901393000,2.7866667,-13.3897309,-,-
1781901444000,2.5333333,-13.5293001,-,-
1781901495000,2.2666667,-13.2651245,-,-
1781901546000,2,-12.5356575,-,-
1781901597000,1.4333333,-13.6887458,-,-
1781901648000,0.8666667,-556.1727212,-,-
1781901699000,2.77,-250.0951986,-,-
1781901750000,2.7666667,-10.9805216,-,-
1781901801000,1.0833333,-11.4336446,-,-
1781901852000,0,-13.8224742,-,-
1781901903000,0.1033333,-10.746108,-,-
1781901954000,1.86,-15.6521637,-,-
1781902005000,0.9166667,-18.936278,-,-
1781902056000,0.2133333,-14.1151479,-,-
1781902107000,1.23,-11.7275526,-,-
1781902158000,2.1733333,-12.997908,-,-
1781902209000,0.7866667,-13.1912358,-,-
1781902260000,0.3333333,-20.5675374,-,-
1781902311000,0.9566667,-14.3790275,-,-
1781902362000,0.32,-18.1727479,-,-
1781902413000,0,-15.7566667,-,-
1781902464000,0,-12.0425236,-,-
1781902515000,0.15,-13.2364878,-,-
1781902566000,0.78,-16.2876552,-,-
1781902617000,2.31,-10.8530179,-,-
1781902668000,2.08,-12.1866667,-,-
1781902719000,2.0866667,-12.1233333,-,-
1781902770000,1.6,-12.0930908,-,-
1781902821000,1.3933333,-1843.9259399,-,-
1781902872000,1.6,-4199.57125,-,-
1781902923000,0.0633333,-15.6866667,-,-
1781902974000,1.14,-11.4933333,-,-
1781903025000,1.6666667,-11,-,-
1781903076000,1.8577497,-10.56,-,-
1781903127000,1.959625,-13.5829347,-,-
1781903178000,1.5459587,-16.2568814,-,-
1781903229000,0.724425,-13.2315873,-,-
1781903280000,2.5628337,-14.3252645,-,-
1781903331000,0.6426832,-11.8387897,-,-
1781903382000,0.0911499,-12.0533333,-,-
1781903433000,0.9533333,-14.159094,-,-
1781903484000,1.04,-13.6031919,-,-
1781903535000,0.1666667,-10.5844248,-,-
1781903586000,0.9317951,-11.4299547,-,-
1781903637000,3.185387,-17.1942567,-,-
1781903688000,0.995896,-11.08,-,-
1781903739000,0.6220504,-14.84,-,-
1781903790000,0.8333333,-15.2790792,-,-
1781903841000,1.0966667,-15.2807808,-,-
1781903892000,1.12,-18.3134733,-,-
1781903943000,0.09,-12.3166667,-,-
1781903994000,1.62,-14.3,-,-
1781904045000,0.8,-15.3333333,-,-
1781904096000,0.6666667,-17186.135,-,-
1781904147000,0.62,-15754.8559752,-,-
1781904198000,0.68,-14.6160541,-,-
1781904249000,16.1033333,-16.86,-,-
1781904300000,99.8,-30.8,-,-
1781904351000,16.0466667,-16.69,-,-
1781904402000,1.4066667,-14.7133333,-,-
1781904453000,1.8333333,-17.61,-,-
1781904504000,1.28,-16.6,-,-
1781904555000,0,-12.0011566,-,-
1781904606000,0,-13.1131742,-,-
1781904657000,0,-17.4358303,-,-
1781904708000,0,-15.1422355,-,-
1781904759000,0,-12.4001773,-,-
1781904810000,0,-12.0333333,-,-
1781904861000,0,-13.22,-,-
1781904912000,0,-13.8133333,-,-
1781904963000,0,-12.9566667,-,-
1781905014000,0,-11.0866667,-,-
1781905065000,0,-13.8166667,-,-
1781905116000,0,-13.92,-,-
1781905167000,0.93,-12.9146947,-,-
1781905218000,2.4466667,-13.7086674,-,-
1781905269000,3.3433333,-89.0681603,-,-
1781905320000,3.4,-498.8417969,-,-
1781905371000,4.7033333,-87.2929362,-,-
1781905422000,2.32,-25.4043195,-,-
1781905473000,0.54,-20.8489711,-,-
1781905524000,1.3066667,-13.8688751,-,-
1781905575000,2.7166667,-14.3778343,-,-
1781905626000,0.96,-13.5386113,-,-
1781905677000,0.0533333,-13.0168078,-,-
1781905728000,0,-11.0188243,-,-
1781905779000,0.8233333,-12.7975923,-,-
1781905830000,1.1,-15.6015915,-,-
1781905881000,1.2366667,-15.0048082,-,-
1781905932000,1.5466667,-12.1925362,-,-
1781905983000,0.6133333,-17.091173,-,-
1781906034000,1.9733333,-16.5324042,-,-
1781906085000,1.0833333,-11.6166667,-,-
1781906136000,0.6133333,-12.5516394,-,-
1781906187000,0.2933333,-12.7352732,-,-
1781906238000,0,-11.9964207,-,-
1781906289000,0,-14.01,-,-
1781906340000,0,-10.6666667,-,-
1781906391000,1.7566667,-11.7433333,-,-
1781906442000,1.2733333,-15.9813121,-,-
1781906493000,3.2433333,-445.4961262,-,-
1781906544000,3.6933333,-483.3210234,-,-
1781906595000,1.2333333,-14.3909849,-,-
1781906646000,0.3533333,-12.3172003,-,-
1781906697000,0.5233333,-11.6398445,-,-
1781906748000,0.1066667,-15.0133333,-,-
1781906799000,2.6,-13.9166667,-,-
1781906850000,2.3333333,-13.7813838,-,-
1781906901000,0.4333333,-14.8388303,-,-
1781906952000,0.4266667,-13.8964526,-,-
1781907003000,2.0566667,-9.3733333,-,-
1781907054000,0.7533333,-14.5866667,-,-
1781907105000,0.15,-13.65,-,-
1781907156000,0.52,-11.8933333,-,-
1781907207000,0.4766667,-12.5366667,-,-
1781907258000,0.1,-13.8733333,-,-
1781907309000,0.3233333,-13.15,-,-
1781907360000,0.2666667,-15.1333333,-,-
1781907411000,2.1366667,-12.8666667,-,-
1781907462000,2.0933333,-14.24,-,-
1781907513000,1.2,-14.7066667,-,-
1781907564000,1.1066667,-13.88,-,-
1781907615000,1.55,-12.8833333,-,-
1781907666000,0.6866667,-80.1891471,-,-
1781907717000,1.4233333,-655.2635645,-,-
1781907768000,2.2133333,-151.5237581,-,-
1781907819000,1.8366667,-13.5210013,-,-
1781907870000,1.1666667,-12.1550212,-,-
1781907921000,0.52,-14.6466667,-,-
1781907972000,0.16,-16.6458795,-,-
1781908023000,0.79,-10.5866952,-,-
1781908074000,0.62,-13.2607547,-,-
1781908125000,0.15,-10.1786191,-,-
1781908176000,0.32,-11.0697398,-,-
1781908227000,0.7133333,-13.7288596,-,-
1781908278000,0.6533333,-14.6311594,-,-
1781908329000,0,-12.4867442,-,-
1781908380000,0,-9.5782949,-,-
1781908431000,0,-11.5418602,-,-
1781908482000,0,-12.8065115,-,-
1781908533000,0,-14.3503098,-,-
1781908584000,0,-14.4449611,-,-
1781908635000,0,-13.3569809,-,-
1781908686000,0,-13.6285392,-,-
1781908737000,0,-11.3012267,-,-
1781908788000,0,-19.9419228,-,-
1781908839000,0,-16.9616683,-,-
1781908890000,0,-2517.8985957,-,-
1781908941000,0.0233333,-3270.4475521,-,-
1781908992000,0.5466667,-16.92,-,-
1781909043000,2.5566667,-11.6525641,-,-
1781909094000,4.0866667,-13.6794869,-,-
1781909145000,3.6666667,-13.2910258,-,-
1781909196000,3.5466667,-15.4328206,-,-
1781909247000,2.49,-16.46,-,-
1781909298000,0.7933333,-14.2,-,-
1781909349000,0.27,-11.0211053,-,-
1781909400000,1.8,-14.1629242,-,-
1781909451000,1.0633333,-14.0559531,-,-
1781909502000,0.28,-15.2559249,-,-
1781909553000,0,-13.5655045,-,-
1781909604000,0.6666667,-12.2176752,-,-
1781909655000,1.55,-12.3724772,-,-
1781909706000,1.1933333,-11.2666672,-,-
1781909757000,1.1366667,-15.6154508,-,-
1781909808000,2.6266667,-14.403419,-,-
1781909859000,1.05,-13.4701985,-,-
1781909910000,0.3333333,-12.8128067,-,-
1781909961000,0.4333333,-12.9292107,-,-
1781910012000,0,-13.7432385,-,-
1781910063000,0,-27.7845741,-,-
1781910114000,0,-270.3470587,-,-
1781910165000,1.4,-291.3209554,-,-
1781910216000,2.9066667,-123.44,-,-
1781910267000,2.19,-13.65,-,-
1781910318000,0.6666667,-14.3609637,-,-
1781910369000,1.1533333,-14.8655821,-,-
1781910420000,1.2666667,-15.5967875,-,-
1781910471000,0.9833333,-18.8861848,-,-
1781910522000,1.68,-16.06,-,-
1781910573000,0.9,-16.1280728,-,-
1781910624000,0.16,-15.6089966,-,-
1781910675000,1.3166667,-12.7162651,-,-
1781910726000,3.8666667,-12.1984658,-,-
1781910777000,2.1666667,-13.8854249,-,-
1781910828000,0.9466667,-12.3025387,-,-
1781910879000,1.9233333,-11.3087031,-,-
1781910930000,1.8,-14.1356476,-,-
1781910981000,0.65,-15.5647215,-,-
1781911032000,0.1866667,-13.0412614,-,-
1781911083000,0.9666667,-15.431334,-,-
1781911134000,1.5333333,-12.1419869,-,-
1781911185000,0.4,-12.3376099,-,-
1781911236000,0.72,-15.5866882,-,-
1781911287000,1.14,-17.692319,-,-
1781911338000,2.0066667,-190.7502002,-,-
1781911389000,3.61,-507.1554955,-,-
1781911440000,0.2666667,-13.0248962,-,-
1781911491000,6.2733333,-11.9625726,-,-
1781911542000,3.18,-20.0058645,-,-
1781911593000,1.2533333,-21.7,-,-
1781911644000,1.2238838,-16.3866667,-,-
1781911695000,3.0965213,-10.0666667,-,-
