timestamp,softirq (%),user (%),system (%),nice (%),iowait (%),anomaly%,annotations
01:28:48,-,-,-,-,-,-,-
01:30:24,-,-,-,-,-,-,-
01:32:00,-,-,-,-,-,-,-
01:33:36,-,-,-,-,-,-,-
01:35:12,-,-,-,-,-,-,-
01:36:48,8.52,34.78,51.31,0,4.08,-,-
01:38:24,0.33,8.6,8.32,0,0.5,-,-
01:40:00,0.06,3.28,3.87,0,0.01,-,-
01:41:36,0.06,3.04,4.11,0,0.01,-,-
01:43:12,0.48,20.2,14.78,0,0.24,-,-
01:44:48,1.27,29.08,17.72,0,0.66,-,-
01:46:24,3.83,47.08,22.04,0,1.51,-,-
01:48:00,13.62,16.58,48.41,0,15.6,-,-
01:49:36,14.15,14.37,49.01,0,17.45,-,-
01:51:12,12.48,12.39,47.14,0,21.19,-,-
01:52:48,14.42,13.42,46.07,0,20.95,-,-
01:54:24,11.95,11.49,38.4,0,29.44,-,-
01:56:00,14.27,16.68,43.22,0,20.86,-,-
01:57:36,17.17,16.75,50.28,0,11.21,-,-
01:59:12,1.67,34.91,14.16,0,2.01,-,-
02:00:48,0.91,12.41,10.35,0,1.19,-,-
02:02:24,0.11,9.26,7.48,0,1.07,-,-
02:04:00,0.17,10.25,8.15,0,0.13,-,-
02:05:36,0.17,12.11,9.19,0,0.11,-,-
02:07:12,0.16,12.26,8.84,0,0.12,-,-
02:08:48,0.13,11.02,8.39,0,0.15,-,-
02:10:24,0.16,11.59,8.58,0,0.07,-,-
02:12:00,0.42,12.32,9.59,0,0.54,-,-
02:13:36,0.14,10.25,8.17,0,0.16,-,-
02:15:12,0.08,9.51,7.59,0,0.06,-,-
02:16:48,0.15,10.89,8.04,0,0.1,-,-
02:18:24,0.23,13.33,9.85,0,0.18,-,-
02:20:00,0.93,19.32,13.28,0,0.11,-,-
02:21:36,0.19,12.63,9.21,1.01,0.14,-,-
02:23:12,0.17,11.33,8.32,0,0.2,-,-
02:24:48,0.11,9.9,7.84,0,0.03,-,-
02:26:24,0.11,10.14,7.72,0,0.04,-,-
02:28:00,0.11,10.7,8.02,0,0.03,-,-
02:29:36,0.13,9.99,7.82,0,0.04,-,-
02:31:12,0.12,9.64,7.61,0,0.04,-,-
02:32:48,0.12,11.17,7.96,0,0.02,-,-
02:34:24,0.11,9.64,7.72,0,0.03,-,-
02:36:00,0.09,9.16,7.25,0,0.04,-,-
02:37:36,0.08,8.98,7.24,0,0.05,-,-
02:39:12,0.12,11.89,8.47,0,0.04,-,-
02:40:48,0.13,11.62,8.77,0,0.05,-,-
02:42:24,0.13,10.75,8.28,0,0.05,-,-
02:44:00,0.14,11.05,8.52,0,0.03,-,-
02:45:36,0.12,10.78,8.22,0,0.02,-,-
02:47:12,0.09,10.23,7.92,0,0.03,-,-
02:48:48,0.12,11.11,8.6,0,0.02,-,-
02:50:24,0.12,10.87,8.45,0,0.03,-,-
02:52:00,0.1,10.14,7.99,0,0.03,-,-
02:53:36,0.12,11.18,8.48,0,0.03,-,-
02:55:12,0.13,11,8.61,0,0.02,-,-
02:56:48,0.13,11.01,8.45,0,0.03,-,-
02:58:24,0.11,10.96,8.42,0,0.04,-,-
03:00:00,0.23,16.43,10.19,0,0.05,-,-
03:01:36,0.12,10.86,8.42,0,0.03,-,-
03:03:12,0.1,10.83,8.41,0,0.03,-,-
03:04:48,0.1,10.95,8.45,0,0.04,-,-
03:06:24,0.11,10.73,8.24,0,0.03,-,-
03:08:00,0.12,10.61,8.15,0,0.04,-,-
03:09:36,0.14,11.09,8.6,0,0.02,-,-
03:11:12,0.11,11.03,8.56,0,0.03,-,-
03:12:48,0.1,10.02,8.08,0,0.03,-,-
03:14:24,0.13,11.16,8.65,0,0.04,-,-
03:16:00,0.11,11.19,8.4,0,0.03,-,-
03:17:36,0.11,11.19,8.61,0,0.02,-,-
03:19:12,0.16,11.95,8.74,0,0.03,-,-
03:20:48,0.13,12.64,9.36,0,0.03,-,-
03:22:24,0.09,10.6,8.23,0,0.03,-,-
03:24:00,0.12,11.21,8.57,0,0.02,-,-
03:25:36,0.11,10.82,8.38,0,0.04,-,-
03:27:12,0.1,10.31,8.12,0,0.04,-,-
03:28:48,0.14,11.09,8.49,0,0.02,-,-
03:30:24,0.12,10.72,8.4,0,0.01,-,-
03:32:00,0.09,11.28,8.5,0,0.02,-,-
03:33:36,0.13,10.99,8.48,0,0.03,-,-
03:35:12,0.11,11.57,8.74,0,0.03,-,-
03:36:48,0.11,10.69,8.42,0,0.03,-,-
03:38:24,0.13,11.12,8.58,0,0.03,-,-
03:40:00,0.11,11.09,8.48,0,0.02,-,-
03:41:36,0.18,14.07,9.82,0,0.02,-,-
03:43:12,0.1,10.64,8.21,0,0.02,-,-
03:44:48,0.13,10.99,8.34,0,0.02,-,-
03:46:24,0.1,10.38,8.24,0,0.02,-,-
03:48:00,0.12,10.35,8.17,0,0.02,-,-
03:49:36,0.13,11.5,8.85,0,0.02,-,-
03:51:12,0.13,11.25,8.81,0,0.01,-,-
03:52:48,0.22,12.68,9.49,0,0.03,-,-
03:54:24,0.17,10.21,8.03,0,0.08,-,-
03:56:00,0.09,9.61,7.59,0,0.02,-,-
03:57:36,0.1,9.23,7.47,0,0.01,-,-
03:59:12,0.1,8.94,7.38,0,0.01,-,-
04:00:48,0.27,14.48,9.42,0,0.05,-,-
04:02:24,0.09,9.94,7.9,0,0.02,-,-
04:04:00,0.11,10.08,7.71,0,0.04,-,-
04:05:36,0.08,9.16,7.28,0,0.04,-,-
04:07:12,0.11,9.22,7.27,0,0.02,-,-
04:08:48,0.13,9.48,7.48,0,0.03,-,-
04:10:24,0.08,9.65,7.63,0,0.01,-,-
04:12:00,0.11,9.7,7.75,0,0.03,-,-
04:13:36,0.1,9.39,7.41,0,0.01,-,-
04:15:12,0.11,9.2,7.46,0,0.02,-,-
04:16:48,0.11,9.11,7.33,0,0.02,-,-
04:18:24,0.1,9.6,7.68,0,0.02,-,-
04:20:00,0.1,9.53,7.5,0,0.02,-,-
04:21:36,0.59,26.51,12.45,0,0.12,-,-
04:23:12,0.1,10.13,8.4,0,0.01,-,-
04:24:48,0.1,10.15,8.12,0,0.02,-,-
04:26:24,0.14,10.47,8.23,0,0.05,-,-
04:28:00,0.12,10.14,7.88,0,0.03,-,-
04:29:36,0.1,9.56,7.56,0,0.02,-,-
04:31:12,0.12,9.55,7.58,0,0.01,-,-
04:32:48,0.08,9.59,7.48,0,0.02,-,-
04:34:24,0.09,9.56,7.48,0,0.02,-,-
04:36:00,0.13,10.06,7.81,0,0.02,-,-
04:37:36,0.08,9.26,7.53,0,0.02,-,-
04:39:12,0.12,10.93,8.23,0,0.02,-,-
04:40:48,0.12,11.15,8.64,0,0.02,-,-
04:42:24,0.37,15.51,10.81,0,0.06,-,-
04:44:00,0.13,10.97,8.45,0,0.01,-,-
04:45:36,0.11,12.23,8.76,0,0.02,-,-
04:47:12,0.13,14.77,9.23,0,0.02,-,-
04:48:48,0.12,11.36,8.62,0,0.02,-,-
04:50:24,0.12,11.41,8.62,0,0.02,-,-
04:52:00,0.11,11.86,9.17,0,0.01,-,-
04:53:36,0.14,11.4,8.68,0,0.01,-,-
04:55:12,0.13,11.57,8.8,0,0.02,-,-
