timestamp,guest_nice (percent),guest (percent),steal (percent),softirq (percent),irq (percent),user (percent),system (percent),nice (percent),iowait (percent),idle (percent),anomaly%,annotations
1781894016000,-,-,-,-,-,-,-,-,-,-,-,-
1781894112000,-,-,-,-,-,-,-,-,-,-,-,-
1781894208000,0,0,0,8.5222416,0,34.7813034,51.3052979,0,4.0792068,1.3119466,-,-
1781894304000,0,0,0,0.3333592,0,8.60125,8.3211391,0,0.5013169,82.242937,-,-
1781894400000,0,0,0,0.0618876,0,3.2780609,3.8667908,0,0.0089606,92.7843018,-,-
1781894496000,0,0,0,0.058569,0,3.0426959,4.1121607,0,0.013895,92.772679,-,-
1781894592000,0,0,0,0.4763458,0,20.1994021,14.776188,0,0.2361536,64.311912,-,-
1781894688000,0,0,0,1.2682769,0,29.0835715,17.7170071,0,0.6599803,51.2711637,-,-
1781894784000,0,0,0,3.8341582,0,47.0814783,22.036132,0,1.5119857,25.5362453,-,-
1781894880000,0,0,0,13.6216268,0,16.5784515,48.4072713,0,15.5981588,5.7944901,-,-
1781894976000,0,0,0,14.1498971,0,14.3696004,49.0064404,0,17.4546627,5.0194,-,-
1781895072000,0,0,0,12.4814979,0,12.3883175,47.1429236,0,21.1872744,6.7999857,-,-
1781895168000,0,0,0,14.4245426,0,13.418773,46.0656925,0,20.9482987,5.1426909,-,-
1781895264000,0,0,0,11.9450061,0,11.4894859,38.4034627,0,29.4375822,8.7244631,-,-
1781895360000,0,0,0,14.2708984,0,16.6838114,43.2171387,0,20.8620707,4.9660828,-,-
1781895456000,0,0,0,17.1680037,0,16.7513863,50.2750167,0,11.2077236,4.5978688,-,-
1781895552000,0,0,0,1.6677973,0,34.9136127,14.1627064,0,2.0057619,47.2501208,-,-
1781895648000,0,0,0,0.9111737,0,12.4100085,10.3533659,0,1.1859458,75.1395044,-,-
1781895744000,0,0,0,0.109296,0,9.2573598,7.4847783,0,1.0741933,82.0743701,-,-
1781895840000,0,0,0,0.1666148,0,10.2528524,8.148878,0,0.1342697,81.2973877,-,-
1781895936000,0,0,0,0.171594,0,12.111301,9.1906912,0,0.1118334,78.4145793,-,-
1781896032000,0,0,0,0.1553232,0,12.2649144,8.8362637,0,0.124431,78.6190658,-,-
1781896128000,0,0,0,0.1321694,0,11.0230117,8.391439,0,0.1468175,80.3065609,-,-
1781896224000,0,0,0,0.1584416,0,11.5888035,8.581866,0,0.0744018,79.5964844,-,-
1781896320000,0,0,0,0.4187293,0,12.3171458,9.5896515,0,0.5418809,77.1325928,-,-
1781896416000,0,0,0,0.1351751,0,10.2535262,8.1708021,0,0.1555763,81.2849211,-,-
1781896512000,0,0,0,0.0775494,0,9.5101303,7.5874639,0,0.0554981,82.7693547,-,-
1781896608000,0,0,0,0.1469104,0,10.8899351,8.0350518,0,0.1040594,80.8240413,-,-
1781896704000,0,0,0,0.228312,0,13.3313348,9.8471456,0,0.1818304,76.4113786,-,-
1781896800000,0,0,0,0.9310616,0,19.3248413,13.2826213,0,0.1053872,66.3560913,-,-
1781896896000,0,0,0,0.1928284,0,12.6332531,9.2145431,1.006505,0.1372238,76.8156453,-,-
1781896992000,0,0,0,0.1737859,0,11.3340919,8.3235713,0,0.1996746,79.9688794,-,-
1781897088000,0,0,0,0.1149744,0,9.8963182,7.844838,0,0.0305768,82.1132943,-,-
1781897184000,0,0,0,0.1140776,0,10.1368467,7.7189849,0,0.036607,81.9934831,-,-
1781897280000,0,0,0,0.1074915,0,10.7035075,8.0165461,0,0.0260436,81.1464111,-,-
1781897376000,0,0,0,0.1264541,0,9.9858696,7.8184489,0,0.0398761,82.0293522,-,-
1781897472000,0,0,0,0.1166592,0,9.6442539,7.6079852,0,0.0426544,82.5884505,-,-
1781897568000,0,0,0,0.1158652,0,11.1702848,7.9602576,0,0.0179683,80.7356266,-,-
1781897664000,0,0,0,0.1125774,0,9.6419507,7.7215859,0,0.0289493,82.4949382,-,-
1781897760000,0,0,0,0.0927236,0,9.1608673,7.2466385,0,0.0381195,83.4616536,-,-
1781897856000,0,0,0,0.0807116,0,8.9758093,7.2404057,0,0.0539809,83.6490926,-,-
1781897952000,0,0,0,0.1173465,0,11.8880204,8.4676291,0,0.0392874,79.4877157,-,-
1781898048000,0,0,0,0.1330842,0,11.6244283,8.7733337,0,0.0547426,79.4144141,-,-
